,QUARTER,TIME_REMAINING,HOUSTON_ACTION,ORLANDO_ACTION,HOUSTON_SCORE,ORLANDO_SCORE
0,1,11:39.0,J. Harden makes 2-pt jump shot from 16 ft,,2,0
1,1,11:15.0,,S. Ibaka makes 2-pt hook shot from 6 ft,2,2
2,1,11:00.0,R. Anderson misses 3-pt jump shot from 29 ft,,2,2
3,1,10:58.0,Offensive rebound by Team,,2,2
4,1,10:42.0,M. Harrell misses 2-pt jump shot from 18 ft,,2,2
5,1,10:40.0,,Defensive rebound by B. Biyombo,2,2
6,1,10:29.0,,E. Payton makes 2-pt jump shot from 5 ft (assist by B. Biyombo),2,4
7,1,10:16.0,T. Ariza misses 3-pt jump shot from 26 ft,,2,4
8,1,10:14.0,,Defensive rebound by B. Biyombo,2,4
9,1,10:10.0,,E. Fournier misses 2-pt jump shot from 8 ft,2,4
10,1,10:08.0,,Offensive rebound by E. Fournier,2,4
11,1,10:08.0,,E. Fournier makes 2-pt layup at rim,2,6
12,1,9:55.0,Turnover by J. Harden (offensive foul),,2,6
13,1,9:55.0,Loose ball foul by J. Harden (drawn by B. Biyombo),,2,6
14,1,9:42.0,,B. Biyombo makes 2-pt layup from 2 ft (assist by E. Fournier),2,8
15,1,9:31.0,Personal foul by E. Fournier (drawn by M. Harrell),,2,8
16,1,9:17.0,Turnover by P. Beverley (bad pass),,2,8
17,1,9:05.0,,E. Fournier misses 3-pt jump shot from 25 ft,2,8
18,1,9:05.0,Defensive rebound by Team,,2,8
19,1,8:53.0,R. Anderson misses 3-pt jump shot from 25 ft,,2,8
20,1,8:52.0,,Defensive rebound by S. Ibaka,2,8
21,1,8:42.0,,B. Biyombo misses 2-pt hook shot from 6 ft,2,8
22,1,8:41.0,Defensive rebound by R. Anderson,,2,8
23,1,8:33.0,J. Harden makes 2-pt jump shot from 14 ft,,4,8
24,1,8:21.0,,E. Payton makes 2-pt dunk at rim,4,10
25,1,7:56.0,P. Beverley makes 3-pt jump shot from 25 ft,,7,10
26,1,7:41.0,,S. Ibaka misses 2-pt jump shot from 17 ft,7,10
27,1,7:38.0,Defensive rebound by M. Harrell,,7,10
28,1,7:19.0,J. Harden misses 3-pt jump shot from 28 ft,,7,10
29,1,7:18.0,,Defensive rebound by B. Biyombo,7,10
30,1,7:09.0,,S. Ibaka misses 2-pt hook shot from 7 ft,7,10
31,1,7:07.0,Defensive rebound by T. Ariza,,7,10
32,1,6:59.0,T. Ariza misses 3-pt jump shot from 24 ft,,7,10
33,1,6:58.0,,Defensive rebound by E. Payton,7,10
34,1,6:53.0,,E. Fournier makes 2-pt layup from 3 ft (assist by E. Payton),7,12
35,1,6:33.0,Turnover by P. Beverley (bad pass; steal by B. Biyombo),,7,12
36,1,6:30.0,,S. Ibaka makes 2-pt layup from 2 ft (assist by A. Gordon),7,14
37,1,6:30.0,,Shooting foul by M. Harrell (drawn by S. Ibaka),7,14
38,1,6:30.0,,S. Ibaka misses free throw 1 of 1,7,14
