,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MILWAUKEE_ACTION,PORTLAND_SCORE,MILWAUKEE_SCORE
0,1,11:32.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by M. Harkless),,3,0
1,1,11:09.0,,J. Parker makes 2-pt jump shot from 8 ft,3,2
2,1,11:08.0,,Violation by Team (jump ball),3,2
3,1,10:48.0,M. Plumlee makes 2-pt hook shot from 4 ft (assist by M. Harkless),,5,2
4,1,10:35.0,,J. Parker misses 3-pt jump shot from 26 ft,5,2
5,1,10:33.0,,Offensive rebound by M. Dellavedova,5,2
6,1,10:30.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,5,2
7,1,10:29.0,Defensive rebound by M. Plumlee,,5,2
8,1,10:20.0,C. McCollum makes 2-pt jump shot from 16 ft (assist by M. Plumlee),,7,2
9,1,10:05.0,,J. Parker makes 2-pt hook shot from 5 ft (assist by M. Dellavedova),7,4
10,1,9:46.0,M. Harkless makes 3-pt jump shot from 24 ft (assist by D. Lillard),,10,4
11,1,9:20.0,,Turnover by G. Antetokounmpo (bad pass; steal by M. Harkless),10,4
12,1,9:06.0,C. McCollum misses 3-pt jump shot from 27 ft,,10,4
13,1,9:05.0,,Defensive rebound by M. Dellavedova,10,4
14,1,9:00.0,,M. Dellavedova misses 2-pt layup from 1 ft,10,4
15,1,8:58.0,,Offensive rebound by G. Antetokounmpo,10,4
16,1,8:58.0,,G. Antetokounmpo makes 2-pt dunk at rim,10,6
17,1,8:42.0,Shooting block foul by M. Dellavedova (drawn by D. Lillard),,10,6
18,1,8:42.0,D. Lillard makes free throw 1 of 2,,11,6
19,1,8:42.0,D. Lillard makes free throw 2 of 2,,12,6
20,1,8:31.0,,J. Parker misses 2-pt jump shot from 18 ft,12,6
21,1,8:30.0,Defensive rebound by D. Lillard,,12,6
22,1,8:21.0,M. Plumlee misses 2-pt jump shot from 5 ft,,12,6
23,1,8:20.0,,Defensive rebound by M. Dellavedova,12,6
24,1,8:13.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,12,8
25,1,8:03.0,M. Harkless makes 2-pt dunk at rim (assist by D. Lillard),,14,8
26,1,7:56.0,,Turnover by M. Dellavedova (bad pass; steal by M. Harkless),14,8
27,1,7:52.0,M. Harkless misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,14,8
28,1,7:52.0,Offensive rebound by Team,,14,8
29,1,7:43.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by M. Plumlee),,17,8
30,1,7:25.0,,M. Dellavedova misses 3-pt jump shot from 24 ft,17,8
31,1,7:24.0,Defensive rebound by M. Plumlee,,17,8
32,1,7:18.0,D. Lillard misses 3-pt jump shot from 30 ft,,17,8
33,1,7:17.0,,Defensive rebound by J. Henson,17,8
34,1,7:11.0,,G. Antetokounmpo misses 3-pt jump shot from 25 ft,17,8
35,1,7:09.0,Defensive rebound by E. Davis,,17,8
36,1,7:00.0,Turnover by Team (5 sec),,17,8
37,1,6:45.0,,J. Parker makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),17,10
38,1,6:26.0,M. Harkless misses 3-pt jump shot from 25 ft,,17,10
39,1,6:25.0,,Defensive rebound by T. Snell,17,10
40,1,6:19.0,,Turnover by M. Dellavedova (bad pass; steal by M. Plumlee),17,10
41,1,6:07.0,M. Harkless misses 3-pt jump shot from 25 ft,,17,10
42,1,6:06.0,,Defensive rebound by G. Antetokounmpo,17,10
43,1,6:01.0,,G. Antetokounmpo makes 2-pt layup at rim,17,12
44,1,5:46.0,Turnover by M. Harkless (traveling),,17,12
45,1,5:46.0,,Milwaukee full timeout,17,12
46,1,5:46.0,,G. Monroe enters the game for G. Antetokounmpo,17,12
47,1,5:46.0,,M. Beasley enters the game for J. Henson,17,12
48,1,5:31.0,,G. Monroe makes 2-pt hook shot from 5 ft,17,14
49,1,5:13.0,M. Plumlee misses 2-pt hook shot from 4 ft,,17,14
50,1,5:12.0,,Defensive rebound by G. Monroe,17,14
51,1,5:10.0,,Turnover by G. Monroe (bad pass; steal by M. Harkless),17,14
52,1,5:07.0,M. Harkless makes 2-pt layup at rim,,19,14
53,1,4:45.0,,G. Monroe makes 2-pt hook shot from 6 ft,19,16
54,1,4:27.0,M. Harkless misses 2-pt layup at rim,,19,16
55,1,4:25.0,Offensive rebound by E. Davis,,19,16
56,1,4:24.0,E. Davis misses 2-pt layup from 1 ft,,19,16
57,1,4:22.0,,Defensive rebound by M. Beasley,19,16
58,1,4:15.0,,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by T. Snell),19,19
59,1,3:44.0,D. Lillard makes 2-pt jump shot from 9 ft,,21,19
60,1,3:28.0,,Shooting foul by E. Davis (drawn by J. Parker),21,19
61,1,3:28.0,,J. Parker makes free throw 1 of 2,21,20
62,1,3:28.0,,J. Parker misses free throw 2 of 2,21,20
63,1,3:28.0,,M. Brogdon enters the game for M. Dellavedova,21,20
64,1,3:28.0,A. Aminu enters the game for M. Harkless,,21,20
65,1,3:28.0,A. Crabbe enters the game for M. Plumlee,,21,20
66,1,3:28.0,E. Turner enters the game for C. McCollum,,21,20
67,1,3:16.0,Defensive rebound by E. Davis,,21,20
68,1,3:12.0,E. Davis makes 2-pt dunk at rim (assist by A. Aminu),,23,20
69,1,2:58.0,,G. Monroe misses 2-pt layup from 1 ft,23,20
70,1,2:55.0,Defensive rebound by A. Crabbe,,23,20
71,1,2:50.0,D. Lillard misses 2-pt layup at rim,,23,20
72,1,2:48.0,,Defensive rebound by M. Beasley,23,20
73,1,2:44.0,,J. Parker makes 2-pt dunk at rim,23,22
74,1,2:44.0,Portland full timeout,,23,22
75,1,2:44.0,,R. Vaughn enters the game for T. Snell,23,22
76,1,2:44.0,M. Leonard enters the game for E. Davis,,23,22
77,1,2:29.0,M. Leonard makes 3-pt jump shot from 28 ft (assist by D. Lillard),,26,22
78,1,2:16.0,,J. Parker makes 2-pt layup from 1 ft (assist by M. Brogdon),26,24
79,1,1:59.0,Turnover by D. Lillard (lost ball; steal by G. Monroe),,26,24
80,1,1:56.0,,Shooting foul by M. Leonard (drawn by G. Monroe),26,24
81,1,1:56.0,,G. Monroe makes free throw 1 of 2,26,25
82,1,1:56.0,,G. Monroe makes free throw 2 of 2,26,26
83,1,1:42.0,M. Leonard misses 3-pt jump shot from 26 ft,,26,26
84,1,1:40.0,,Defensive rebound by M. Beasley,26,26
85,1,1:26.0,,G. Monroe misses 2-pt jump shot from 16 ft,26,26
86,1,1:25.0,Defensive rebound by D. Lillard,,26,26
87,1,1:17.0,D. Lillard misses 3-pt jump shot from 26 ft,,26,26
88,1,1:15.0,,Defensive rebound by Team,26,26
89,1,1:01.0,,J. Parker makes 2-pt hook shot from 5 ft (assist by M. Brogdon),26,28
90,1,0:45.0,A. Aminu misses 2-pt jump shot from 6 ft,,26,28
91,1,0:44.0,Offensive rebound by A. Aminu,,26,28
92,1,0:41.0,Turnover by A. Aminu (lost ball; steal by G. Monroe),,26,28
93,1,0:30.0,,R. Vaughn misses 3-pt jump shot from 24 ft,26,28
94,1,0:29.0,Defensive rebound by E. Turner,,26,28
95,1,0:19.0,Shooting foul by M. Beasley (drawn by D. Lillard),,26,28
96,1,0:19.0,D. Lillard makes free throw 1 of 2,,27,28
97,1,0:19.0,D. Lillard makes free throw 2 of 2,,28,28
98,1,0:01.0,,J. Parker misses 2-pt jump shot from 19 ft,28,28
99,1,0:00.0,,Offensive rebound by Team,28,28
100,2,11:50.0,,M. Beasley misses 2-pt jump shot from 20 ft,28,28
101,2,11:49.0,Defensive rebound by A. Crabbe,,28,28
102,2,11:33.0,M. Leonard misses 2-pt jump shot from 15 ft,,28,28
103,2,11:32.0,,Defensive rebound by G. Antetokounmpo,28,28
104,2,11:21.0,,Shooting foul by A. Aminu (drawn by M. Beasley),28,28
105,2,11:21.0,,M. Beasley misses free throw 1 of 2,28,28
106,2,11:21.0,,Offensive rebound by Team,28,28
107,2,11:21.0,,M. Beasley makes free throw 2 of 2,28,29
108,2,11:02.0,Turnover by A. Crabbe (bad pass; steal by G. Monroe),,28,29
109,2,10:46.0,,M. Brogdon makes 3-pt jump shot from 27 ft (assist by G. Monroe),28,32
110,2,10:32.0,E. Turner misses 2-pt jump shot from 9 ft,,28,32
111,2,10:31.0,,Defensive rebound by R. Vaughn,28,32
112,2,10:23.0,,M. Beasley makes 2-pt jump shot from 5 ft (assist by G. Antetokounmpo),28,34
113,2,10:02.0,E. Turner makes 2-pt jump shot from 12 ft,,30,34
114,2,9:51.0,,M. Brogdon misses 2-pt jump shot from 14 ft,30,34
115,2,9:49.0,Defensive rebound by A. Crabbe,,30,34
116,2,9:41.0,E. Turner misses 2-pt jump shot from 10 ft,,30,34
117,2,9:40.0,,Defensive rebound by M. Beasley,30,34
118,2,9:28.0,,Turnover by M. Beasley (lost ball; steal by E. Turner),30,34
119,2,9:16.0,E. Turner misses 3-pt jump shot from 23 ft,,30,34
120,2,9:14.0,,Defensive rebound by G. Antetokounmpo,30,34
121,2,9:03.0,,G. Monroe makes 2-pt layup from 2 ft,30,36
122,2,8:46.0,Shooting foul by M. Brogdon (drawn by C. McCollum),,30,36
123,2,8:46.0,Official timeout,,30,36
124,2,8:46.0,C. McCollum misses free throw 1 of 2,,30,36
125,2,8:46.0,Offensive rebound by Team,,30,36
126,2,8:46.0,C. McCollum makes free throw 2 of 2,,31,36
127,2,8:46.0,,G. Antetokounmpo misses 2-pt jump shot from 17 ft,31,36
128,2,8:29.0,Defensive rebound by C. McCollum,,31,36
129,2,8:19.0,C. McCollum makes 2-pt jump shot from 9 ft,,33,36
130,2,8:01.0,,G. Monroe makes 2-pt hook shot from 12 ft,33,38
131,2,7:43.0,A. Crabbe makes 3-pt jump shot from 23 ft (assist by A. Aminu),,36,38
132,2,7:31.0,,R. Vaughn misses 2-pt jump shot from 19 ft,36,38
133,2,7:30.0,Defensive rebound by M. Leonard,,36,38
134,2,7:19.0,M. Leonard makes 3-pt jump shot from 26 ft (assist by E. Turner),,39,38
