,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MIAMI_ACTION,WASHINGTON_SCORE,MIAMI_SCORE
0,1,11:57.0,,Turnover by Team (back court),0,0
1,1,11:46.0,M. Gortat misses 2-pt dunk at rim,,0,0
2,1,11:45.0,,Defensive rebound by J. McRoberts,0,0
3,1,11:22.0,,R. McGruder misses 2-pt jump shot from 13 ft,0,0
4,1,11:21.0,,Offensive rebound by J. McRoberts,0,0
5,1,11:13.0,,W. Ellington misses 3-pt jump shot from 25 ft,0,0
6,1,11:12.0,,Offensive rebound by R. McGruder,0,0
7,1,11:02.0,,H. Whiteside misses 2-pt hook shot from 7 ft,0,0
8,1,11:01.0,Defensive rebound by M. Morris,,0,0
9,1,10:52.0,J. Wall makes 2-pt jump shot from 20 ft,,2,0
10,1,10:30.0,,W. Ellington misses 3-pt jump shot from 24 ft,2,0
11,1,10:29.0,Defensive rebound by M. Morris,,2,0
12,1,10:23.0,O. Porter misses 3-pt jump shot from 24 ft,,2,0
13,1,10:22.0,,Defensive rebound by J. McRoberts,2,0
14,1,10:17.0,,W. Ellington makes 2-pt layup from 2 ft (assist by R. McGruder),2,2
15,1,10:17.0,,Shooting foul by B. Beal (drawn by W. Ellington),2,2
16,1,10:17.0,,W. Ellington makes free throw 1 of 1,2,3
17,1,10:01.0,B. Beal misses 3-pt jump shot from 26 ft,,2,3
18,1,10:00.0,,Defensive rebound by H. Whiteside,2,3
19,1,9:43.0,,G. Dragić makes 2-pt jump shot from 18 ft,2,5
20,1,9:34.0,O. Porter makes 2-pt jump shot from 16 ft (assist by M. Morris),,4,5
21,1,9:14.0,,J. McRoberts misses 2-pt hook shot from 6 ft,4,5
22,1,9:13.0,,Offensive rebound by J. McRoberts,4,5
23,1,9:07.0,,R. McGruder makes 2-pt jump shot from 14 ft (assist by J. McRoberts),4,7
24,1,9:01.0,J. Wall misses 2-pt layup from 3 ft,,4,7
25,1,9:00.0,,Defensive rebound by J. McRoberts,4,7
26,1,8:47.0,,J. McRoberts misses 3-pt jump shot from 25 ft,4,7
27,1,8:46.0,,Offensive rebound by Team,4,7
28,1,8:45.0,Loose ball foul by M. Gortat (drawn by H. Whiteside),,4,7
29,1,8:37.0,,Turnover by G. Dragić (bad pass; steal by B. Beal),4,7
30,1,8:34.0,B. Beal makes 2-pt layup from 1 ft,,6,7
31,1,8:34.0,Shooting foul by W. Ellington (drawn by B. Beal),,6,7
32,1,8:34.0,B. Beal makes free throw 1 of 1,,7,7
33,1,8:24.0,,Personal foul by J. Wall (drawn by G. Dragić),7,7
34,1,8:09.0,,R. McGruder misses 3-pt jump shot from 25 ft,7,7
35,1,8:08.0,Defensive rebound by Team,,7,7
36,1,7:52.0,Turnover by O. Porter (traveling),,7,7
37,1,7:35.0,,H. Whiteside makes 2-pt layup from 1 ft,7,9
38,1,7:30.0,J. Wall makes 2-pt layup from 2 ft (assist by M. Morris),,9,9
39,1,7:06.0,,H. Whiteside misses 2-pt hook shot from 10 ft,9,9
40,1,7:05.0,Defensive rebound by O. Porter,,9,9
41,1,6:52.0,J. Wall misses 2-pt layup from 3 ft (block by W. Ellington),,9,9
42,1,6:51.0,,Defensive rebound by H. Whiteside,9,9
43,1,6:44.0,,G. Dragić misses 2-pt layup from 3 ft,9,9
44,1,6:41.0,,Offensive rebound by J. McRoberts,9,9
45,1,6:41.0,,J. McRoberts makes 2-pt dunk at rim,9,11
46,1,6:38.0,J. Wall misses 2-pt layup from 2 ft (block by H. Whiteside),,9,11
47,1,6:37.0,Offensive rebound by Team,,9,11
48,1,6:37.0,Shooting foul by R. McGruder (drawn by M. Gortat),,9,11
49,1,6:37.0,M. Gortat misses free throw 1 of 2,,9,11
50,1,6:37.0,Offensive rebound by Team,,9,11
51,1,6:37.0,,T. Johnson enters the game for R. McGruder,9,11
52,1,6:37.0,M. Gortat makes free throw 2 of 2,,10,11
53,1,6:24.0,,H. Whiteside misses 2-pt hook shot from 6 ft,10,11
54,1,6:23.0,Defensive rebound by B. Beal,,10,11
55,1,6:13.0,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),,12,11
56,1,6:13.0,Shooting foul by J. McRoberts (drawn by B. Beal),,12,11
57,1,6:13.0,B. Beal makes free throw 1 of 1,,13,11
58,1,5:56.0,,W. Ellington misses 3-pt jump shot from 24 ft,13,11
59,1,5:55.0,Defensive rebound by M. Gortat,,13,11
60,1,5:48.0,J. Wall misses 2-pt jump shot from 5 ft,,13,11
61,1,5:47.0,Offensive rebound by J. Wall,,13,11
62,1,5:46.0,J. Wall makes 2-pt jump shot from 3 ft,,15,11
63,1,5:25.0,,J. McRoberts makes 3-pt jump shot from 25 ft (assist by T. Johnson),15,14
64,1,5:14.0,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),,18,14
65,1,4:54.0,,G. Dragić makes 2-pt jump shot from 17 ft (assist by W. Ellington),18,16
66,1,4:44.0,M. Gortat misses 2-pt layup from 2 ft (block by H. Whiteside),,18,16
67,1,4:43.0,Offensive rebound by M. Gortat,,18,16
68,1,4:42.0,Turnover by M. Gortat (bad pass),,18,16
69,1,4:42.0,,Miami full timeout,18,16
70,1,4:42.0,K. Oubre enters the game for M. Morris,,18,16
71,1,4:42.0,,J. Richardson enters the game for W. Ellington,18,16
72,1,4:42.0,,Violation by Team (jump ball),18,16
73,1,4:24.0,,Personal foul by O. Porter (drawn by J. McRoberts),18,16
74,1,4:24.0,,J. Johnson enters the game for J. McRoberts,18,16
75,1,4:16.0,,G. Dragić misses 3-pt jump shot from 25 ft,18,16
76,1,4:15.0,,Offensive rebound by H. Whiteside,18,16
77,1,4:14.0,,H. Whiteside makes 2-pt dunk at rim,18,18
78,1,3:58.0,M. Gortat makes 2-pt jump shot from 12 ft (assist by J. Wall),,20,18
79,1,3:36.0,,T. Johnson makes 3-pt jump shot from 25 ft (assist by J. Richardson),20,21
80,1,3:20.0,Shooting foul by T. Johnson (drawn by B. Beal),,20,21
81,1,3:20.0,B. Beal makes free throw 1 of 2,,21,21
82,1,3:20.0,B. Beal makes free throw 2 of 2,,22,21
