,QUARTER,TIME_REMAINING,PHOENIX_ACTION,LA CLIPPERS_ACTION,PHOENIX_SCORE,LA CLIPPERS_SCORE
0,1,11:42.0,B. Knight makes 2-pt jump shot from 18 ft,,2,0
1,1,11:25.0,,C. Paul makes 2-pt jump shot from 12 ft,2,2
2,1,11:17.0,Turnover by J. Dudley (traveling),,2,2
3,1,11:05.0,,J. Redick misses 2-pt jump shot from 20 ft,2,2
4,1,11:03.0,Defensive rebound by J. Dudley,,2,2
5,1,10:40.0,E. Bledsoe misses 2-pt jump shot from 12 ft,,2,2
6,1,10:39.0,Offensive rebound by J. Dudley,,2,2
7,1,10:27.0,B. Knight makes 3-pt jump shot from 24 ft,,5,2
8,1,10:24.0,,Personal foul by J. Dudley (drawn by B. Griffin),5,2
9,1,10:16.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by D. Jordan),5,4
10,1,9:56.0,T. Chandler misses 2-pt jump shot from 19 ft,,5,4
11,1,9:55.0,,Defensive rebound by B. Griffin,5,4
12,1,9:47.0,,B. Griffin misses 2-pt layup from 2 ft,5,4
13,1,9:46.0,,Offensive rebound by D. Jordan,5,4
14,1,9:46.0,,D. Jordan makes 2-pt layup from 1 ft,5,6
15,1,9:29.0,T. Warren misses 2-pt jump shot from 21 ft,,5,6
16,1,9:28.0,,Defensive rebound by B. Griffin,5,6
17,1,9:21.0,,C. Paul misses 2-pt jump shot from 16 ft,5,6
18,1,9:19.0,Defensive rebound by E. Bledsoe,,5,6
19,1,9:10.0,T. Warren misses 3-pt jump shot from 24 ft,,5,6
20,1,9:10.0,,Defensive rebound by J. Redick,5,6
21,1,9:01.0,,J. Redick misses 3-pt jump shot from 25 ft,5,6
22,1,9:00.0,Defensive rebound by T. Chandler,,5,6
23,1,8:51.0,J. Dudley misses 3-pt jump shot from 25 ft,,5,6
24,1,8:50.0,,Defensive rebound by Team,5,6
25,1,8:43.0,,L. Mbah a Moute misses 2-pt layup from 2 ft,5,6
26,1,8:41.0,Defensive rebound by T. Chandler,,5,6
27,1,8:18.0,E. Bledsoe misses 2-pt jump shot from 20 ft,,5,6
28,1,8:16.0,,Defensive rebound by C. Paul,5,6
29,1,8:12.0,,D. Jordan misses 2-pt dunk at rim,5,6
30,1,8:10.0,Defensive rebound by E. Bledsoe,,5,6
31,1,8:10.0,Personal foul by C. Paul (drawn by E. Bledsoe),,5,6
32,1,8:00.0,B. Knight makes 2-pt jump shot from 17 ft (assist by T. Chandler),,7,6
33,1,7:42.0,,B. Griffin misses 2-pt jump shot from 18 ft,7,6
34,1,7:39.0,,Offensive rebound by D. Jordan,7,6
35,1,7:39.0,,D. Jordan makes 2-pt layup from 2 ft,7,8
36,1,7:17.0,T. Warren makes 2-pt jump shot from 12 ft (assist by J. Dudley),,9,8
37,1,7:03.0,,C. Paul misses 2-pt jump shot from 17 ft,9,8
38,1,7:02.0,Defensive rebound by E. Bledsoe,,9,8
39,1,6:55.0,E. Bledsoe misses 2-pt jump shot from 17 ft,,9,8
40,1,6:54.0,,Defensive rebound by B. Griffin,9,8
41,1,6:51.0,,Personal foul by T. Chandler (drawn by B. Griffin),9,8
42,1,6:51.0,,B. Griffin makes free throw 1 of 2,9,9
43,1,6:51.0,A. Len enters the game for T. Chandler,,9,9
44,1,6:51.0,T. Ulis enters the game for E. Bledsoe,,9,9
45,1,6:51.0,,B. Griffin makes free throw 2 of 2,9,10
46,1,6:31.0,A. Len misses 2-pt jump shot from 10 ft,,9,10
47,1,6:28.0,,Defensive rebound by B. Griffin,9,10
48,1,6:28.0,,Personal foul by A. Len (drawn by D. Jordan),9,10
49,1,6:19.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),9,12
50,1,5:57.0,B. Knight misses 3-pt jump shot from 25 ft,,9,12
51,1,5:56.0,,Defensive rebound by L. Mbah a Moute,9,12
52,1,5:44.0,,B. Griffin makes 3-pt jump shot from 24 ft (assist by C. Paul),9,15
53,1,5:41.0,Phoenix full timeout,,9,15
54,1,5:41.0,M. Chriss enters the game for T. Warren,,9,15
55,1,5:41.0,P. Tucker enters the game for J. Dudley,,9,15
56,1,5:35.0,A. Len makes 2-pt jump shot from 14 ft (assist by T. Ulis),,11,15
57,1,5:12.0,,C. Paul misses 2-pt jump shot from 14 ft,11,15
58,1,5:11.0,Defensive rebound by Team,,11,15
59,1,5:03.0,T. Ulis misses 3-pt jump shot from 24 ft,,11,15
60,1,5:03.0,,Defensive rebound by Team,11,15
61,1,4:54.0,,Turnover by B. Griffin (bad pass; steal by P. Tucker),11,15
62,1,4:44.0,B. Knight misses 2-pt jump shot from 10 ft,,11,15
63,1,4:44.0,,Defensive rebound by B. Griffin,11,15
64,1,4:39.0,,Personal block foul by T. Ulis (drawn by C. Paul),11,15
65,1,4:39.0,T. Warren enters the game for B. Knight,,11,15
66,1,4:39.0,,A. Rivers enters the game for J. Redick,11,15
67,1,4:31.0,,Turnover by B. Griffin (lost ball; steal by M. Chriss),11,15
68,1,4:25.0,Turnover by A. Len (bad pass; steal by L. Mbah a Moute),,11,15
69,1,4:12.0,,Turnover by B. Griffin (bad pass; steal by T. Ulis),11,15
70,1,4:05.0,M. Chriss makes 2-pt layup from 2 ft (assist by T. Ulis),,13,15
71,1,3:44.0,,C. Paul makes 2-pt jump shot from 9 ft,13,17
72,1,3:34.0,A. Len makes 2-pt jump shot from 18 ft (assist by T. Ulis),,15,17
73,1,3:09.0,,L. Mbah a Moute misses 3-pt jump shot from 24 ft,15,17
74,1,3:09.0,,Offensive rebound by Team,15,17
75,1,3:09.0,Loose ball foul by M. Chriss (drawn by B. Griffin),,15,17
76,1,3:09.0,,B. Griffin makes free throw 1 of 2,15,18
77,1,3:09.0,,J. Crawford enters the game for L. Mbah a Moute,15,18
78,1,3:09.0,,M. Speights enters the game for D. Jordan,15,18
79,1,3:09.0,,R. Felton enters the game for C. Paul,15,18
80,1,3:09.0,,B. Griffin makes free throw 2 of 2,15,19
81,1,2:50.0,A. Len makes 2-pt dunk at rim (assist by T. Warren),,17,19
82,1,2:31.0,,A. Rivers misses 2-pt layup from 1 ft,17,19
83,1,2:28.0,Defensive rebound by M. Chriss,,17,19
84,1,2:22.0,T. Warren makes 2-pt jump shot from 13 ft (assist by T. Ulis),,19,19
85,1,2:07.0,,Turnover by J. Crawford (bad pass; steal by T. Warren),19,19
86,1,2:02.0,T. Ulis misses 2-pt layup from 2 ft (block by R. Felton),,19,19
87,1,2:02.0,Offensive rebound by Team,,19,19
88,1,2:02.0,,LA Clippers full timeout,19,19
89,1,2:02.0,L. Barbosa enters the game for T. Warren,,19,19
90,1,2:02.0,,W. Johnson enters the game for B. Griffin,19,19
91,1,1:56.0,L. Barbosa makes 2-pt layup from 2 ft,,21,19
