,QUARTER,TIME_REMAINING,DALLAS_ACTION,NEW ORLEANS_ACTION,DALLAS_SCORE,NEW ORLEANS_SCORE
0,1,11:39.0,,A. Davis makes 2-pt jump shot from 17 ft (assist by J. Holiday),0,2
1,1,11:24.0,Turnover by W. Matthews (bad pass),,0,2
2,1,11:05.0,,S. Hill makes 3-pt jump shot from 24 ft (assist by A. Davis),0,5
3,1,10:49.0,D. Williams makes 2-pt layup from 1 ft (assist by D. Finney-Smith),,2,5
4,1,10:40.0,,B. Hield makes 2-pt layup from 2 ft (assist by J. Holiday),2,7
5,1,10:18.0,D. Nowitzki misses 2-pt jump shot from 18 ft,,2,7
6,1,10:17.0,,Defensive rebound by S. Hill,2,7
7,1,9:58.0,,Personal foul by D. Finney-Smith (drawn by J. Holiday),2,7
8,1,9:52.0,,J. Holiday makes 2-pt jump shot from 5 ft,2,9
9,1,9:30.0,D. Nowitzki misses 2-pt jump shot from 4 ft (block by A. Davis),,2,9
10,1,9:30.0,Offensive rebound by Team,,2,9
11,1,9:25.0,W. Matthews makes 2-pt layup from 1 ft (assist by D. Williams),,4,9
12,1,9:17.0,,J. Holiday misses 2-pt layup from 3 ft,4,9
13,1,9:13.0,,Offensive rebound by A. Davis,4,9
14,1,9:13.0,,Turnover by A. Davis (offensive goaltending),4,9
15,1,8:54.0,H. Barnes makes 2-pt jump shot from 11 ft (assist by D. Williams),,6,9
16,1,8:45.0,,B. Hield makes 2-pt layup from 2 ft,6,11
17,1,8:19.0,D. Williams misses 2-pt jump shot from 23 ft,,6,11
18,1,8:18.0,,Defensive rebound by A. Davis,6,11
19,1,8:12.0,,Shooting foul by D. Finney-Smith (drawn by A. Davis),6,11
20,1,8:12.0,,A. Davis makes free throw 1 of 2,6,12
21,1,8:12.0,,A. Davis misses free throw 2 of 2,6,12
22,1,8:12.0,D. Harris enters the game for D. Finney-Smith,,6,12
23,1,8:11.0,Defensive rebound by D. Nowitzki,,6,12
24,1,7:48.0,D. Nowitzki makes 2-pt jump shot from 14 ft (assist by D. Harris),,8,12
