,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PORTLAND_ACTION,MINNESOTA_SCORE,PORTLAND_SCORE
0,1,11:49.0,,C. McCollum makes 2-pt layup from 1 ft (assist by J. Nurkić),0,2
1,1,11:30.0,K. Towns makes 2-pt jump shot from 15 ft,,2,2
2,1,11:13.0,,C. McCollum misses 3-pt jump shot from 25 ft,2,2
3,1,11:12.0,Defensive rebound by B. Rush,,2,2
4,1,11:04.0,Shooting foul by C. McCollum (drawn by G. Dieng),,2,2
5,1,11:04.0,G. Dieng makes free throw 1 of 2,,3,2
6,1,11:04.0,G. Dieng makes free throw 2 of 2,,4,2
7,1,10:41.0,,J. Nurkić misses 2-pt layup from 1 ft,4,2
8,1,10:40.0,,Offensive rebound by J. Nurkić,4,2
9,1,10:32.0,,D. Lillard makes 3-pt jump shot from 23 ft,4,5
10,1,10:04.0,Turnover by R. Rubio (lost ball; steal by D. Lillard),,4,5
11,1,9:58.0,,N. Vonleh makes 2-pt dunk at rim (assist by D. Lillard),4,7
12,1,9:39.0,A. Wiggins misses 3-pt jump shot from 25 ft,,4,7
13,1,9:38.0,,Defensive rebound by D. Lillard,4,7
14,1,9:28.0,,D. Lillard makes 2-pt layup at rim,4,9
15,1,9:03.0,K. Towns makes 2-pt hook shot from 5 ft,,6,9
16,1,8:50.0,,Turnover by C. McCollum (lost ball; steal by R. Rubio),6,9
17,1,8:44.0,A. Wiggins makes 2-pt layup from 2 ft,,8,9
18,1,8:29.0,,D. Lillard makes 2-pt jump shot from 15 ft (assist by C. McCollum),8,11
19,1,8:13.0,R. Rubio makes 2-pt layup from 1 ft,,10,11
20,1,8:01.0,,J. Nurkić misses 2-pt layup from 2 ft,10,11
21,1,7:59.0,Defensive rebound by K. Towns,,10,11
22,1,7:49.0,R. Rubio misses 2-pt jump shot from 20 ft,,10,11
23,1,7:48.0,,Defensive rebound by D. Lillard,10,11
24,1,7:40.0,,D. Lillard misses 3-pt jump shot from 26 ft,10,11
25,1,7:39.0,Defensive rebound by K. Towns,,10,11
26,1,7:15.0,A. Wiggins misses 2-pt jump shot from 19 ft,,10,11
27,1,7:15.0,Offensive rebound by G. Dieng,,10,11
28,1,7:11.0,Turnover by A. Wiggins (lost ball; steal by D. Lillard),,10,11
29,1,7:02.0,,Personal foul by B. Rush (drawn by N. Vonleh),10,11
30,1,6:53.0,,J. Nurkić makes 2-pt jump shot from 20 ft (assist by D. Lillard),10,13
31,1,6:37.0,R. Rubio makes 2-pt jump shot from 13 ft,,12,13
32,1,6:21.0,,Turnover by D. Lillard (bad pass),12,13
