,QUARTER,TIME_REMAINING,UTAH_ACTION,DENVER_ACTION,UTAH_SCORE,DENVER_SCORE
0,1,11:35.0,J. Ingles misses 3-pt jump shot from 24 ft,,0,0
1,1,11:35.0,Offensive rebound by G. Hayward,,0,0
2,1,11:29.0,R. Gobert misses 2-pt layup from 2 ft,,0,0
3,1,11:28.0,,Defensive rebound by N. Jokić,0,0
4,1,11:19.0,,K. Faried misses 2-pt layup from 2 ft,0,0
5,1,11:18.0,,Offensive rebound by K. Faried,0,0
6,1,11:17.0,,Shooting foul by R. Gobert (drawn by K. Faried),0,0
7,1,11:17.0,,K. Faried misses free throw 1 of 2,0,0
8,1,11:17.0,,Offensive rebound by Team,0,0
9,1,11:17.0,,K. Faried makes free throw 2 of 2,0,1
10,1,10:59.0,G. Hayward makes 3-pt jump shot from 25 ft,,3,1
11,1,10:41.0,,D. Gallinari misses 2-pt jump shot from 15 ft,3,1
12,1,10:40.0,,Offensive rebound by K. Faried,3,1
13,1,10:33.0,,J. Nelson makes 3-pt jump shot from 25 ft (assist by K. Faried),3,4
14,1,10:14.0,G. Hayward misses 2-pt jump shot from 10 ft,,3,4
15,1,10:13.0,,Defensive rebound by N. Jokić,3,4
16,1,10:10.0,,Turnover by N. Jokić (bad pass; steal by J. Ingles),3,4
17,1,9:56.0,Turnover by R. Gobert (lost ball; steal by N. Jokić),,3,4
18,1,9:45.0,,Turnover by D. Gallinari (bad pass; steal by D. Favors),3,4
19,1,9:30.0,D. Favors misses 2-pt jump shot from 19 ft,,3,4
20,1,9:29.0,,Defensive rebound by K. Faried,3,4
21,1,9:22.0,,D. Gallinari misses 2-pt jump shot from 11 ft,3,4
22,1,9:21.0,Defensive rebound by G. Hill,,3,4
23,1,9:15.0,G. Hayward misses 2-pt jump shot from 3 ft,,3,4
24,1,9:14.0,,Defensive rebound by K. Faried,3,4
25,1,9:04.0,,D. Gallinari misses 2-pt jump shot from 20 ft,3,4
26,1,9:03.0,Defensive rebound by G. Hill,,3,4
27,1,8:51.0,Turnover by R. Gobert (3 sec),,3,4
28,1,8:40.0,,Turnover by D. Gallinari (traveling),3,4
29,1,8:26.0,J. Ingles misses 3-pt jump shot from 23 ft,,3,4
30,1,8:25.0,,Defensive rebound by N. Jokić,3,4
31,1,8:20.0,,G. Harris misses 3-pt jump shot from 25 ft,3,4
32,1,8:19.0,Defensive rebound by Team,,3,4
33,1,8:07.0,Turnover by R. Gobert (bad pass; steal by N. Jokić),,3,4
34,1,8:04.0,,Turnover by N. Jokić (bad pass; steal by G. Hill),3,4
35,1,7:48.0,J. Ingles makes 3-pt jump shot from 27 ft (assist by R. Gobert),,6,4
36,1,7:33.0,,N. Jokić makes 2-pt hook shot from 3 ft,6,6
37,1,7:10.0,G. Hayward misses 2-pt jump shot from 17 ft,,6,6
38,1,7:09.0,,Defensive rebound by Team,6,6
39,1,7:09.0,T. Lyles enters the game for D. Favors,,6,6
40,1,7:09.0,R. Neto enters the game for G. Hill,,6,6
41,1,6:44.0,,D. Gallinari misses 2-pt jump shot from 18 ft,6,6
42,1,6:42.0,Defensive rebound by J. Ingles,,6,6
43,1,6:34.0,R. Neto misses 2-pt jump shot from 17 ft,,6,6
44,1,6:32.0,,Defensive rebound by D. Gallinari,6,6
45,1,6:25.0,,G. Harris misses 2-pt layup from 1 ft (block by R. Gobert),6,6
46,1,6:23.0,Defensive rebound by J. Ingles,,6,6
47,1,6:18.0,T. Lyles makes 3-pt jump shot from 24 ft (assist by J. Ingles),,9,6
48,1,6:18.0,,Denver full timeout,9,6
49,1,6:18.0,J. Johnson enters the game for J. Ingles,,9,6
50,1,6:18.0,,W. Chandler enters the game for K. Faried,9,6
51,1,5:59.0,,D. Gallinari misses 2-pt jump shot from 12 ft,9,6
52,1,5:59.0,Defensive rebound by J. Johnson,,9,6
53,1,5:49.0,G. Hayward makes 3-pt jump shot from 22 ft (assist by J. Johnson),,12,6
54,1,5:39.0,,W. Chandler misses 2-pt jump shot from 6 ft,12,6
55,1,5:38.0,Defensive rebound by J. Johnson,,12,6
56,1,5:29.0,J. Johnson misses 3-pt jump shot from 25 ft,,12,6
57,1,5:28.0,,Defensive rebound by N. Jokić,12,6
58,1,5:20.0,,N. Jokić makes 2-pt layup from 2 ft,12,8
