,QUARTER,TIME_REMAINING,HOUSTON_ACTION,UTAH_ACTION,HOUSTON_SCORE,UTAH_SCORE
0,1,11:36.0,T. Ariza makes 2-pt jump shot from 17 ft,,2,0
1,1,11:26.0,,Personal foul by J. Harden (drawn by G. Hill),2,0
2,1,11:19.0,,G. Hill misses 2-pt layup from 2 ft (block by T. Ariza),2,0
3,1,11:18.0,Defensive rebound by P. Beverley,,2,0
4,1,11:11.0,T. Ariza misses 3-pt jump shot from 24 ft,,2,0
5,1,11:11.0,,Defensive rebound by R. Gobert,2,0
6,1,10:55.0,,R. Hood misses 2-pt layup from 2 ft,2,0
7,1,10:54.0,,Offensive rebound by R. Gobert,2,0
8,1,10:53.0,,R. Gobert makes 2-pt layup from 2 ft,2,2
9,1,10:38.0,Shooting foul by R. Hood (drawn by J. Harden),,2,2
10,1,10:38.0,J. Harden makes free throw 1 of 3,,3,2
11,1,10:38.0,J. Harden misses free throw 2 of 3,,3,2
12,1,10:38.0,Offensive rebound by Team,,3,2
13,1,10:38.0,J. Harden makes free throw 3 of 3,,4,2
14,1,10:24.0,,G. Hayward makes 2-pt dunk at rim,4,4
15,1,10:05.0,P. Beverley misses 2-pt jump shot from 6 ft,,4,4
16,1,10:04.0,Offensive rebound by C. Capela,,4,4
17,1,10:02.0,C. Capela misses 2-pt layup from 2 ft,,4,4
18,1,10:00.0,,Defensive rebound by G. Hayward,4,4
19,1,9:52.0,,Turnover by G. Hill (bad pass; steal by J. Harden),4,4
20,1,9:43.0,R. Anderson makes 3-pt jump shot from 24 ft (assist by J. Harden),,7,4
21,1,9:27.0,,B. Diaw makes 2-pt layup from 2 ft,7,6
22,1,9:16.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by J. Harden),,10,6
23,1,9:01.0,,Turnover by R. Hood (bad pass; steal by T. Ariza),10,6
24,1,8:56.0,T. Ariza makes 2-pt layup from 1 ft,,12,6
25,1,8:30.0,,R. Hood makes 3-pt jump shot from 27 ft (assist by G. Hill),12,9
26,1,8:22.0,P. Beverley makes 2-pt layup from 3 ft,,14,9
27,1,7:58.0,,G. Hayward misses 2-pt jump shot from 18 ft,14,9
28,1,7:56.0,Defensive rebound by P. Beverley,,14,9
29,1,7:52.0,C. Capela makes 2-pt layup from 2 ft (assist by P. Beverley),,16,9
30,1,7:52.0,,Utah full timeout,16,9
31,1,7:28.0,,R. Hood makes 3-pt jump shot from 24 ft,16,12
32,1,7:17.0,T. Ariza misses 3-pt jump shot from 23 ft,,16,12
33,1,7:16.0,,Defensive rebound by G. Hayward,16,12
34,1,7:06.0,,Shooting foul by C. Capela (drawn by G. Hayward),16,12
35,1,7:06.0,,G. Hayward makes free throw 1 of 2,16,13
36,1,7:06.0,,G. Hayward makes free throw 2 of 2,16,14
37,1,6:53.0,R. Anderson misses 2-pt jump shot from 21 ft,,16,14
38,1,6:53.0,,Defensive rebound by G. Hayward,16,14
39,1,6:48.0,,B. Diaw makes 2-pt layup from 2 ft (assist by G. Hayward),16,16
40,1,6:36.0,Personal foul by B. Diaw (drawn by J. Harden),,16,16
41,1,6:36.0,E. Gordon enters the game for P. Beverley,,16,16
42,1,6:24.0,J. Harden makes 2-pt jump shot from 5 ft,,18,16
43,1,6:06.0,,R. Gobert makes 2-pt dunk at rim (assist by G. Hill),18,18
44,1,5:53.0,Turnover by T. Ariza (dbl dribble),,18,18
45,1,5:53.0,,T. Lyles enters the game for B. Diaw,18,18
46,1,5:32.0,,T. Lyles makes 2-pt jump shot from 11 ft,18,20
47,1,5:27.0,Personal foul by T. Lyles (drawn by E. Gordon),,18,20
48,1,5:27.0,,J. Johnson enters the game for G. Hayward,18,20
49,1,5:09.0,J. Harden misses 2-pt jump shot from 12 ft (block by R. Hood),,18,20
50,1,5:08.0,,Defensive rebound by R. Gobert,18,20
51,1,5:01.0,,R. Hood makes 2-pt layup from 3 ft,18,22
52,1,4:49.0,E. Gordon makes 2-pt jump shot from 15 ft,,20,22
