,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SAN ANTONIO_ACTION,MEMPHIS_SCORE,SAN ANTONIO_SCORE
0,1,11:37.0,J. Ennis makes 3-pt jump shot from 24 ft (assist by M. Gasol),,3,0
1,1,11:12.0,,Turnover by T. Parker (lost ball; steal by M. Conley),3,0
2,1,11:11.0,Turnover by M. Conley (lost ball; steal by T. Parker),,3,0
3,1,11:09.0,,T. Parker makes 2-pt layup from 1 ft,3,2
4,1,10:48.0,V. Carter misses 2-pt jump shot from 7 ft,,3,2
5,1,10:45.0,,Defensive rebound by D. Lee,3,2
6,1,10:36.0,,L. Aldridge misses 2-pt jump shot from 17 ft,3,2
7,1,10:35.0,Defensive rebound by V. Carter,,3,2
8,1,10:17.0,J. Ennis makes 2-pt dunk at rim (assist by V. Carter),,5,2
9,1,9:55.0,,T. Parker misses 3-pt jump shot from 24 ft,5,2
10,1,9:54.0,Defensive rebound by Z. Randolph,,5,2
11,1,9:39.0,Z. Randolph misses 2-pt jump shot from 22 ft,,5,2
12,1,9:38.0,Offensive rebound by J. Ennis,,5,2
13,1,9:26.0,V. Carter misses 2-pt jump shot from 12 ft,,5,2
14,1,9:25.0,,Defensive rebound by T. Parker,5,2
15,1,9:17.0,,T. Parker misses 2-pt jump shot from 20 ft,5,2
16,1,9:15.0,,Offensive rebound by D. Lee,5,2
17,1,9:11.0,,D. Lee makes 2-pt layup from 2 ft,5,4
18,1,8:53.0,Def 3 sec tech foul by K. Leonard,,5,4
19,1,8:53.0,M. Conley misses technical free throw,,5,4
20,1,8:53.0,Offensive rebound by Team,,5,4
21,1,8:45.0,M. Conley makes 3-pt jump shot from 25 ft,,8,4
22,1,8:27.0,,L. Aldridge misses 2-pt jump shot from 14 ft,8,4
23,1,8:25.0,Defensive rebound by Z. Randolph,,8,4
24,1,8:12.0,J. Ennis misses 2-pt layup from 1 ft,,8,4
25,1,8:10.0,,Defensive rebound by D. Green,8,4
26,1,7:50.0,,D. Lee misses 2-pt jump shot from 10 ft,8,4
27,1,7:50.0,Defensive rebound by V. Carter,,8,4
28,1,7:44.0,Personal foul by K. Leonard (drawn by M. Gasol),,8,4
29,1,7:30.0,Z. Randolph misses 2-pt jump shot from 18 ft,,8,4
30,1,7:29.0,,Defensive rebound by L. Aldridge,8,4
31,1,7:18.0,,Turnover by K. Leonard (bad pass; steal by M. Conley),8,4
32,1,7:05.0,M. Conley makes 2-pt jump shot from 10 ft,,10,4
33,1,7:04.0,,San Antonio full timeout,10,4
34,1,6:43.0,,D. Lee makes 2-pt dunk at rim (assist by K. Leonard),10,6
35,1,6:23.0,Turnover by M. Gasol (bad pass; steal by L. Aldridge),,10,6
36,1,6:18.0,,Personal foul by J. Ennis (drawn by K. Leonard),10,6
37,1,6:06.0,,L. Aldridge misses 3-pt jump shot from 23 ft,10,6
38,1,6:05.0,Defensive rebound by V. Carter,,10,6
39,1,5:54.0,Z. Randolph makes 2-pt layup from 1 ft (assist by V. Carter),,12,6
40,1,5:30.0,,Shooting foul by Z. Randolph (drawn by T. Parker),12,6
41,1,5:30.0,,T. Parker makes free throw 1 of 2,12,7
42,1,5:30.0,J. Green enters the game for Z. Randolph,,12,7
43,1,5:30.0,A. Harrison enters the game for M. Conley,,12,7
44,1,5:30.0,,M. Ginóbili enters the game for D. Green,12,7
45,1,5:30.0,,P. Gasol enters the game for D. Lee,12,7
46,1,5:30.0,,T. Parker makes free throw 2 of 2,12,8
47,1,5:17.0,A. Harrison makes 2-pt jump shot from 22 ft,,14,8
48,1,5:04.0,,T. Parker misses 2-pt jump shot from 8 ft,14,8
49,1,5:03.0,Defensive rebound by A. Harrison,,14,8
50,1,4:45.0,A. Harrison misses 3-pt jump shot from 26 ft,,14,8
51,1,4:45.0,,Defensive rebound by P. Gasol,14,8
52,1,4:40.0,,M. Ginóbili makes 2-pt jump shot from 6 ft,14,10
53,1,4:40.0,,Shooting foul by J. Green (drawn by M. Ginóbili),14,10
54,1,4:40.0,,P. Mills enters the game for T. Parker,14,10
55,1,4:40.0,,M. Ginóbili makes free throw 1 of 1,14,11
56,1,4:27.0,Turnover by V. Carter (bad pass),,14,11
57,1,4:17.0,Violation by M. Gasol (kicked ball),,14,11
58,1,4:17.0,W. Selden enters the game for V. Carter,,14,11
59,1,4:07.0,,M. Ginóbili makes 3-pt jump shot from 24 ft (assist by P. Gasol),14,14
60,1,4:01.0,Memphis full timeout,,14,14
61,1,4:01.0,,D. Bertāns enters the game for L. Aldridge,14,14
62,1,4:01.0,M. Conley enters the game for J. Ennis,,14,14
63,1,4:00.0,Turnover by W. Selden (bad pass; steal by K. Leonard),,14,14
64,1,4:00.0,,Clear path foul by M. Conley,14,14
65,1,4:00.0,,K. Leonard makes clear path free throw 1 of 2,14,15
66,1,4:00.0,,K. Leonard makes clear path free throw 2 of 2,14,16
67,1,3:53.0,,Personal block foul by M. Gasol (drawn by K. Leonard),14,16
68,1,3:53.0,,K. Leonard misses free throw 1 of 2,14,16
69,1,3:53.0,,Offensive rebound by Team,14,16
70,1,3:53.0,,K. Leonard makes free throw 2 of 2,14,17
71,1,3:31.0,M. Gasol misses 2-pt jump shot from 10 ft,,14,17
72,1,3:30.0,,Defensive rebound by P. Gasol,14,17
73,1,3:23.0,,M. Ginóbili makes 2-pt layup from 2 ft,14,19
74,1,3:09.0,Personal block foul by P. Gasol (drawn by M. Gasol),,14,19
75,1,2:59.0,J. Green misses 3-pt jump shot from 23 ft,,14,19
76,1,2:58.0,Offensive rebound by Team,,14,19
77,1,2:44.0,M. Gasol makes 2-pt jump shot from 21 ft (assist by M. Conley),,16,19
78,1,2:24.0,,Turnover by K. Leonard (bad pass; steal by M. Conley),16,19
79,1,2:19.0,M. Conley misses 2-pt jump shot from 15 ft,,16,19
80,1,2:16.0,,Defensive rebound by K. Leonard,16,19
81,1,2:11.0,,K. Leonard makes 2-pt jump shot from 10 ft,16,21
82,1,1:56.0,M. Gasol makes 2-pt jump shot from 7 ft (assist by W. Selden),,18,21
83,1,1:56.0,Shooting foul by P. Gasol (drawn by M. Gasol),,18,21
84,1,1:56.0,M. Gasol makes free throw 1 of 1,,19,21
85,1,1:37.0,,P. Gasol makes 2-pt hook shot from 7 ft (assist by K. Leonard),19,23
86,1,1:23.0,,D. Lee enters the game for P. Gasol,19,23
87,1,1:14.0,Shooting foul by M. Ginóbili (drawn by W. Selden),,19,23
88,1,1:14.0,W. Selden makes free throw 1 of 2,,20,23
89,1,1:14.0,W. Selden makes free throw 2 of 2,,21,23
