,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,ORLANDO_ACTION,LA LAKERS_SCORE,ORLANDO_SCORE
0,1,11:48.0,Personal foul by D. Augustin (drawn by T. Mozgov),,0,0
1,1,11:34.0,T. Mozgov misses 2-pt jump shot from 8 ft (block by S. Ibaka),,0,0
2,1,11:32.0,,Defensive rebound by J. Meeks,0,0
3,1,11:20.0,,D. Augustin makes 3-pt jump shot from 25 ft,0,3
4,1,11:11.0,T. Mozgov misses 2-pt jump shot from 7 ft (block by S. Ibaka),,0,3
5,1,11:08.0,,Defensive rebound by S. Ibaka,0,3
6,1,11:00.0,,B. Biyombo makes 2-pt jump shot from 5 ft (assist by S. Ibaka),0,5
7,1,10:40.0,Turnover by B. Ingram (lost ball; steal by S. Ibaka),,0,5
8,1,10:36.0,,S. Ibaka misses 2-pt layup from 1 ft (block by L. Deng),0,5
9,1,10:36.0,,Offensive rebound by Team,0,5
10,1,10:27.0,,A. Gordon misses 2-pt jump shot from 17 ft,0,5
11,1,10:25.0,Defensive rebound by L. Deng,,0,5
12,1,10:16.0,B. Ingram misses 2-pt jump shot from 19 ft,,0,5
13,1,10:13.0,,Defensive rebound by J. Meeks,0,5
14,1,10:06.0,,S. Ibaka misses 3-pt jump shot from 25 ft,0,5
15,1,10:05.0,Defensive rebound by L. Deng,,0,5
16,1,9:57.0,D. Russell misses 3-pt jump shot from 25 ft,,0,5
17,1,9:55.0,,Defensive rebound by B. Biyombo,0,5
18,1,9:51.0,,A. Gordon misses 2-pt layup from 1 ft,0,5
19,1,9:50.0,,Offensive rebound by A. Gordon,0,5
20,1,9:50.0,,A. Gordon misses 2-pt layup at rim,0,5
21,1,9:49.0,Defensive rebound by L. Deng,,0,5
22,1,9:34.0,D. Russell misses 2-pt layup from 1 ft (block by A. Gordon),,0,5
23,1,9:33.0,Offensive rebound by Team,,0,5
24,1,9:26.0,T. Mozgov misses 2-pt layup at rim (block by S. Ibaka),,0,5
25,1,9:23.0,,Defensive rebound by J. Meeks,0,5
26,1,9:10.0,,D. Augustin makes 2-pt jump shot from 4 ft,0,7
27,1,8:49.0,D. Russell misses 2-pt layup from 3 ft (block by B. Biyombo),,0,7
28,1,8:46.0,,Defensive rebound by S. Ibaka,0,7
29,1,8:40.0,,D. Augustin makes 3-pt jump shot from 27 ft,0,10
30,1,8:40.0,LA Lakers full timeout,,0,10
31,1,8:24.0,Personal foul by D. Augustin (drawn by T. Mozgov),,0,10
32,1,8:24.0,,E. Payton enters the game for D. Augustin,0,10
33,1,8:11.0,T. Mozgov misses 2-pt jump shot from 10 ft,,0,10
34,1,8:10.0,,Defensive rebound by A. Gordon,0,10
35,1,7:57.0,,S. Ibaka misses 2-pt hook shot from 10 ft,0,10
36,1,7:55.0,Defensive rebound by T. Mozgov,,0,10
37,1,7:38.0,B. Ingram misses 2-pt jump shot from 13 ft,,0,10
38,1,7:36.0,Offensive rebound by N. Young,,0,10
39,1,7:31.0,N. Young misses 2-pt jump shot from 22 ft,,0,10
40,1,7:29.0,,Defensive rebound by A. Gordon,0,10
41,1,7:11.0,,B. Biyombo misses 2-pt jump shot from 16 ft,0,10
42,1,7:09.0,Defensive rebound by L. Deng,,0,10
43,1,7:01.0,J. Clarkson enters the game for B. Ingram,,0,10
44,1,6:51.0,N. Young makes 3-pt jump shot from 23 ft (assist by D. Russell),,3,10
45,1,6:36.0,,S. Ibaka makes 2-pt hook shot from 10 ft,3,12
46,1,6:21.0,Turnover by D. Russell (bad pass),,3,12
47,1,6:08.0,,S. Ibaka misses 3-pt jump shot from 24 ft,3,12
48,1,6:07.0,Defensive rebound by T. Mozgov,,3,12
49,1,5:55.0,N. Young makes 2-pt jump shot from 11 ft,,5,12
50,1,5:37.0,,J. Meeks misses 3-pt jump shot from 25 ft,5,12
51,1,5:36.0,Defensive rebound by N. Young,,5,12
52,1,5:22.0,N. Young misses 2-pt layup from 2 ft (block by B. Biyombo),,5,12
53,1,5:18.0,Offensive rebound by D. Russell,,5,12
54,1,5:12.0,J. Clarkson misses 3-pt jump shot from 25 ft (block by E. Payton),,5,12
55,1,5:08.0,,Defensive rebound by J. Meeks,5,12
56,1,4:59.0,,E. Payton makes 2-pt jump shot from 15 ft (assist by B. Biyombo),5,14
57,1,4:41.0,Turnover by L. Deng (bad pass; steal by A. Gordon),,5,14
58,1,4:35.0,,Personal foul by D. Russell (drawn by S. Ibaka),5,14
59,1,4:35.0,L. Williams enters the game for D. Russell,,5,14
60,1,4:31.0,,J. Meeks misses 3-pt jump shot from 25 ft,5,14
61,1,4:30.0,Defensive rebound by T. Mozgov,,5,14
62,1,4:09.0,L. Deng misses 2-pt layup from 2 ft (block by B. Biyombo),,5,14
63,1,4:09.0,Offensive rebound by Team,,5,14
64,1,4:09.0,I. Zubac enters the game for T. Mozgov,,5,14
65,1,4:09.0,T. Robinson enters the game for L. Deng,,5,14
66,1,4:07.0,Turnover by Team (shot clock),,5,14
67,1,3:45.0,,A. Gordon misses 2-pt hook shot from 10 ft,5,14
68,1,3:42.0,Defensive rebound by T. Robinson,,5,14
69,1,3:38.0,L. Williams misses 2-pt layup from 2 ft,,5,14
70,1,3:35.0,,Defensive rebound by B. Biyombo,5,14
71,1,3:27.0,,J. Meeks makes 3-pt jump shot from 25 ft (assist by E. Payton),5,17
72,1,3:04.0,T. Robinson misses 2-pt jump shot from 12 ft,,5,17
73,1,3:01.0,,Defensive rebound by A. Gordon,5,17
74,1,2:52.0,,A. Gordon makes 2-pt layup from 1 ft,5,19
75,1,2:51.0,LA Lakers full timeout,,5,19
76,1,2:51.0,,Orlando full timeout,5,19
77,1,2:51.0,B. Ingram enters the game for N. Young,,5,19
78,1,2:51.0,,J. Green enters the game for B. Biyombo,5,19
79,1,2:51.0,,N. Vučević enters the game for J. Meeks,5,19
80,1,2:40.0,Personal foul by E. Payton,,5,19
81,1,2:37.0,Shooting foul by J. Green (drawn by B. Ingram),,5,19
82,1,2:37.0,B. Ingram makes free throw 1 of 2,,6,19
83,1,2:37.0,B. Ingram makes free throw 2 of 2,,7,19
84,1,2:25.0,,E. Payton makes 2-pt jump shot from 7 ft,7,21
85,1,2:07.0,L. Williams misses 2-pt layup from 2 ft (block by S. Ibaka),,7,21
86,1,2:04.0,,Defensive rebound by S. Ibaka,7,21
87,1,2:00.0,,Shooting foul by I. Zubac (drawn by A. Gordon),7,21
88,1,2:00.0,,A. Gordon makes free throw 1 of 2,7,22
89,1,2:00.0,,C. Watson enters the game for S. Ibaka,7,22
90,1,2:00.0,,A. Gordon makes free throw 2 of 2,7,23
91,1,1:38.0,B. Ingram makes 2-pt layup from 2 ft,,9,23
92,1,1:38.0,Shooting foul by A. Gordon (drawn by B. Ingram),,9,23
93,1,1:38.0,B. Ingram makes free throw 1 of 1,,10,23
94,1,1:27.0,,A. Gordon makes 3-pt jump shot from 24 ft (assist by N. Vučević),10,26
95,1,1:08.0,I. Zubac misses 2-pt jump shot from 10 ft,,10,26
96,1,1:08.0,,Defensive rebound by A. Gordon,10,26
97,1,0:52.0,,N. Vučević misses 2-pt jump shot from 8 ft,10,26
98,1,0:50.0,Defensive rebound by J. Clarkson,,10,26
99,1,0:43.0,I. Zubac makes 2-pt hook shot from 3 ft (assist by J. Clarkson),,12,26
100,1,0:34.0,,E. Payton makes 2-pt jump shot from 7 ft,12,28
101,1,0:15.0,L. Williams misses 2-pt jump shot from 5 ft,,12,28
102,1,0:15.0,Offensive rebound by I. Zubac,,12,28
103,1,0:15.0,I. Zubac makes 2-pt layup from 2 ft,,14,28
104,1,0:02.0,,E. Payton makes 2-pt jump shot from 20 ft,14,30
105,1,0:00.0,L. Williams misses 3-pt jump shot from 43 ft,,14,30
106,1,0:00.0,Offensive rebound by Team,,14,30
107,2,11:50.0,,Shooting foul by B. Ingram (drawn by J. Green),14,30
108,2,11:50.0,,J. Green misses free throw 1 of 2,14,30
109,2,11:50.0,,Offensive rebound by Team,14,30
110,2,11:50.0,,J. Green makes free throw 2 of 2,14,31
111,2,11:25.0,B. Ingram makes 2-pt layup from 3 ft (assist by J. Clarkson),,16,31
112,2,11:10.0,,B. Biyombo misses 2-pt hook shot from 10 ft,16,31
113,2,11:09.0,Defensive rebound by T. Robinson,,16,31
114,2,11:02.0,J. Clarkson makes 2-pt jump shot from 19 ft,,18,31
115,2,10:52.0,,N. Vučević misses 2-pt jump shot from 20 ft,18,31
116,2,10:51.0,Defensive rebound by J. Clarkson,,18,31
117,2,10:38.0,J. Clarkson makes 2-pt jump shot from 10 ft (assist by I. Zubac),,20,31
118,2,10:32.0,,B. Biyombo makes 2-pt dunk at rim (assist by E. Payton),20,33
119,2,10:16.0,,Violation by B. Biyombo (kicked ball),20,33
120,2,10:10.0,J. Clarkson misses 2-pt hook shot from 8 ft,,20,33
121,2,10:08.0,Offensive rebound by T. Robinson,,20,33
122,2,10:08.0,T. Robinson makes 2-pt dunk at rim,,22,33
123,2,9:57.0,,J. Green makes 3-pt jump shot from 25 ft (assist by E. Payton),22,36
124,2,9:45.0,Turnover by J. Clarkson (bad pass; steal by N. Vučević),,22,36
125,2,9:27.0,,E. Payton makes 3-pt jump shot from 24 ft (assist by C. Watson),22,39
