,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DENVER_ACTION,LA CLIPPERS_SCORE,DENVER_SCORE
0,1,11:40.0,,M. Plumlee misses 2-pt layup from 2 ft,0,0
1,1,11:39.0,Defensive rebound by M. Speights,,0,0
2,1,11:30.0,A. Rivers misses 2-pt jump shot from 18 ft,,0,0
3,1,11:30.0,,Defensive rebound by M. Plumlee,0,0
4,1,11:21.0,,N. Jokić makes 2-pt layup from 2 ft (assist by M. Plumlee),0,2
5,1,11:05.0,L. Mbah a Moute makes 2-pt jump shot from 17 ft (assist by C. Paul),,2,2
6,1,10:52.0,,J. Hernangómez makes 2-pt layup from 1 ft (assist by N. Jokić),2,4
7,1,10:33.0,M. Speights misses 3-pt jump shot from 23 ft,,2,4
8,1,10:32.0,,Defensive rebound by N. Jokić,2,4
9,1,10:23.0,,G. Harris makes 2-pt layup from 1 ft (assist by M. Plumlee),2,6
10,1,10:02.0,L. Mbah a Moute misses 2-pt jump shot from 16 ft,,2,6
11,1,10:01.0,,Defensive rebound by J. Hernangómez,2,6
12,1,9:40.0,,M. Plumlee misses 2-pt hook shot from 7 ft,2,6
13,1,9:38.0,Defensive rebound by C. Paul,,2,6
14,1,9:27.0,J. Redick makes 2-pt jump shot from 20 ft (assist by C. Paul),,4,6
15,1,9:11.0,,Turnover by G. Harris (bad pass; steal by J. Redick),4,6
16,1,9:03.0,L. Mbah a Moute misses 2-pt layup from 2 ft,,4,6
17,1,9:02.0,,Defensive rebound by J. Nelson,4,6
18,1,8:53.0,,M. Plumlee misses 2-pt jump shot from 7 ft,4,6
19,1,8:51.0,Defensive rebound by C. Paul,,4,6
20,1,8:44.0,L. Mbah a Moute misses 2-pt layup from 3 ft,,4,6
21,1,8:43.0,,Defensive rebound by M. Plumlee,4,6
22,1,8:32.0,,M. Plumlee makes 2-pt layup from 2 ft (assist by N. Jokić),4,8
23,1,8:24.0,Personal foul by J. Hernangómez,,4,8
24,1,8:11.0,C. Paul makes 2-pt jump shot from 19 ft,,6,8
25,1,8:04.0,,Shooting foul by M. Speights (drawn by M. Plumlee),6,8
26,1,8:04.0,,M. Plumlee misses free throw 1 of 2,6,8
27,1,8:04.0,,Offensive rebound by Team,6,8
28,1,8:04.0,,M. Plumlee misses free throw 2 of 2,6,8
29,1,8:01.0,Defensive rebound by L. Mbah a Moute,,6,8
30,1,7:52.0,Turnover by C. Paul (bad pass; steal by J. Nelson),,6,8
31,1,7:46.0,,J. Hernangómez misses 2-pt layup from 2 ft,6,8
32,1,7:45.0,Defensive rebound by M. Speights,,6,8
33,1,7:28.0,C. Paul makes 2-pt jump shot from 19 ft,,8,8
34,1,7:03.0,,J. Nelson misses 3-pt jump shot from 25 ft,8,8
35,1,7:02.0,,Offensive rebound by M. Plumlee,8,8
36,1,6:55.0,,M. Plumlee misses 2-pt hook shot from 6 ft,8,8
37,1,6:53.0,Defensive rebound by M. Speights,,8,8
38,1,6:47.0,M. Speights makes 3-pt jump shot from 25 ft (assist by A. Rivers),,11,8
39,1,6:29.0,,G. Harris makes 2-pt layup from 1 ft,11,10
40,1,6:29.0,,Shooting foul by L. Mbah a Moute (drawn by G. Harris),11,10
41,1,6:29.0,,G. Harris makes free throw 1 of 1,11,11
42,1,6:14.0,Offensive foul by M. Speights (drawn by M. Plumlee),,11,11
43,1,6:14.0,Turnover by M. Speights (offensive foul),,11,11
44,1,6:02.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,11,11
45,1,6:02.0,Defensive rebound by J. Redick,,11,11
46,1,5:52.0,C. Paul misses 3-pt jump shot from 25 ft,,11,11
47,1,5:51.0,,Defensive rebound by J. Hernangómez,11,11
48,1,5:35.0,,N. Jokić makes 2-pt hook shot from 4 ft,11,13
49,1,5:27.0,L. Mbah a Moute makes 2-pt dunk at rim (assist by C. Paul),,13,13
50,1,5:11.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by N. Jokić),13,15
51,1,5:06.0,LA Clippers full timeout,,13,15
52,1,5:06.0,W. Johnson enters the game for L. Mbah a Moute,,13,15
53,1,5:06.0,B. Bass enters the game for M. Speights,,13,15
54,1,5:06.0,,W. Barton enters the game for J. Hernangómez,13,15
55,1,5:06.0,,J. Murray enters the game for G. Harris,13,15
56,1,4:51.0,C. Paul misses 2-pt jump shot from 17 ft,,13,15
57,1,4:49.0,,Defensive rebound by J. Murray,13,15
58,1,4:44.0,,Personal foul by A. Rivers (drawn by M. Plumlee),13,15
59,1,4:44.0,R. Felton enters the game for A. Rivers,,13,15
