,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,SACRAMENTO_ACTION,WASHINGTON_SCORE,SACRAMENTO_SCORE
0,1,11:42.0,M. Gortat makes 2-pt layup from 3 ft (assist by J. Wall),,2,0
1,1,11:18.0,,W. Cauley-Stein misses 2-pt jump shot from 8 ft,2,0
2,1,11:17.0,Defensive rebound by M. Gortat,,2,0
3,1,11:11.0,O. Porter misses 3-pt jump shot from 23 ft,,2,0
4,1,11:10.0,,Defensive rebound by W. Cauley-Stein,2,0
5,1,10:55.0,,A. Afflalo makes 3-pt jump shot from 24 ft (assist by D. Collison),2,3
6,1,10:41.0,M. Gortat misses 2-pt jump shot from 9 ft,,2,3
7,1,10:40.0,,Defensive rebound by W. Cauley-Stein,2,3
8,1,10:30.0,,D. Collison makes 2-pt jump shot from 8 ft,2,5
9,1,10:21.0,B. Beal makes 2-pt dunk at rim,,4,5
10,1,10:04.0,,Turnover by B. Hield (lost ball; steal by O. Porter),4,5
11,1,9:58.0,O. Porter makes 2-pt layup from 4 ft (assist by M. Morris),,6,5
12,1,9:39.0,,K. Koufos misses 2-pt jump shot from 12 ft,6,5
13,1,9:38.0,,Offensive rebound by K. Koufos,6,5
14,1,9:36.0,,B. Hield misses 3-pt jump shot from 24 ft,6,5
15,1,9:35.0,Defensive rebound by O. Porter,,6,5
16,1,9:30.0,O. Porter makes 2-pt jump shot from 9 ft,,8,5
17,1,9:12.0,,B. Hield makes 3-pt jump shot from 25 ft,8,8
18,1,9:08.0,Personal foul by B. Hield (drawn by B. Beal),,8,8
19,1,9:08.0,B. Beal makes free throw 1 of 2,,9,8
20,1,9:08.0,B. Beal makes free throw 2 of 2,,10,8
21,1,8:57.0,,Sacramento full timeout,10,8
22,1,8:48.0,,B. Hield makes 2-pt jump shot from 12 ft (assist by D. Collison),10,10
23,1,8:29.0,M. Morris misses 2-pt layup from 2 ft,,10,10
24,1,8:28.0,,Defensive rebound by W. Cauley-Stein,10,10
25,1,8:16.0,,K. Koufos misses 2-pt hook shot from 13 ft,10,10
26,1,8:15.0,Defensive rebound by M. Gortat,,10,10
27,1,8:08.0,J. Wall misses 2-pt jump shot from 16 ft,,10,10
28,1,8:07.0,,Defensive rebound by K. Koufos,10,10
29,1,7:50.0,,W. Cauley-Stein misses 2-pt hook shot from 9 ft,10,10
30,1,7:50.0,Defensive rebound by M. Gortat,,10,10
31,1,7:39.0,M. Morris misses 2-pt jump shot from 17 ft,,10,10
32,1,7:38.0,,Defensive rebound by B. Hield,10,10
33,1,7:27.0,,B. Hield makes 3-pt jump shot from 26 ft (assist by A. Afflalo),10,13
34,1,7:12.0,O. Porter makes 2-pt jump shot from 17 ft (assist by J. Wall),,12,13
35,1,6:56.0,,Def 3 sec tech foul by M. Gortat,12,13
36,1,6:56.0,,A. Afflalo misses technical free throw,12,13
37,1,6:56.0,,Offensive rebound by Team,12,13
38,1,6:41.0,,B. Hield misses 3-pt jump shot from 25 ft,12,13
39,1,6:41.0,Defensive rebound by M. Morris,,12,13
40,1,6:33.0,B. Beal misses 3-pt jump shot from 23 ft,,12,13
41,1,6:33.0,,Defensive rebound by B. Hield,12,13
42,1,6:22.0,,K. Koufos makes 2-pt dunk at rim (assist by D. Collison),12,15
43,1,5:58.0,B. Beal misses 2-pt jump shot from 8 ft,,12,15
44,1,5:57.0,,Defensive rebound by W. Cauley-Stein,12,15
45,1,5:41.0,,W. Cauley-Stein makes 2-pt layup from 4 ft (assist by K. Koufos),12,17
46,1,5:36.0,Washington full timeout,,12,17
47,1,5:36.0,J. Smith enters the game for M. Morris,,12,17
48,1,5:27.0,J. Wall makes 2-pt layup from 3 ft,,14,17
49,1,5:10.0,,W. Cauley-Stein misses 2-pt jump shot from 4 ft,14,17
50,1,5:09.0,Defensive rebound by B. Beal,,14,17
51,1,5:04.0,J. Smith makes 2-pt dunk at rim (assist by J. Wall),,16,17
52,1,4:45.0,,B. Hield makes 2-pt layup from 3 ft (assist by W. Cauley-Stein),16,19
53,1,4:30.0,Turnover by J. Wall (bad pass; steal by K. Koufos),,16,19
54,1,4:22.0,,D. Collison makes 2-pt jump shot from 15 ft,16,21
55,1,4:03.0,B. Beal misses 3-pt jump shot from 25 ft,,16,21
56,1,4:03.0,,Defensive rebound by K. Koufos,16,21
57,1,3:52.0,,K. Koufos makes 2-pt dunk at rim (assist by W. Cauley-Stein),16,23
58,1,3:38.0,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Wall),,19,23
59,1,3:24.0,,K. Koufos misses 2-pt jump shot from 18 ft,19,23
60,1,3:24.0,,Offensive rebound by D. Collison,19,23
61,1,3:02.0,,K. Koufos makes 2-pt jump shot from 9 ft (assist by D. Collison),19,25
62,1,2:44.0,J. Wall misses 2-pt jump shot from 10 ft,,19,25
63,1,2:44.0,,Defensive rebound by W. Cauley-Stein,19,25
64,1,2:34.0,,K. Koufos misses 2-pt jump shot from 13 ft,19,25
65,1,2:33.0,Defensive rebound by M. Gortat,,19,25
66,1,2:27.0,B. Beal makes 2-pt layup from 3 ft (assist by O. Porter),,21,25
67,1,2:27.0,Shooting foul by K. Koufos (drawn by B. Beal),,21,25
68,1,2:27.0,,S. Labissière enters the game for A. Afflalo,21,25
69,1,2:27.0,,G. Temple enters the game for K. Koufos,21,25
70,1,2:27.0,I. Mahinmi enters the game for O. Porter,,21,25
71,1,2:27.0,B. Bogdanović enters the game for M. Gortat,,21,25
72,1,2:27.0,B. Beal makes free throw 1 of 1,,22,25
73,1,2:09.0,,D. Collison makes 2-pt jump shot from 13 ft,22,27
74,1,1:51.0,J. Wall misses 3-pt jump shot from 25 ft,,22,27
75,1,1:50.0,,Defensive rebound by S. Labissière,22,27
76,1,1:36.0,,G. Temple misses 2-pt jump shot from 20 ft,22,27
77,1,1:34.0,Defensive rebound by B. Beal,,22,27
78,1,1:23.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,22,27
79,1,1:22.0,Offensive rebound by I. Mahinmi,,22,27
80,1,1:18.0,B. Bogdanović makes 2-pt layup from 5 ft (assist by I. Mahinmi),,24,27
81,1,1:11.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by D. Collison),24,30
82,1,1:00.0,B. Jennings enters the game for B. Beal,,24,30
83,1,1:00.0,,T. Lawson enters the game for D. Collison,24,30
84,1,0:51.0,J. Wall makes 2-pt layup from 3 ft,,26,30
85,1,0:38.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,26,30
86,1,0:37.0,Defensive rebound by J. Smith,,26,30
87,1,0:32.0,J. Wall makes 2-pt layup from 3 ft,,28,30
88,1,0:26.0,,S. Labissière makes 2-pt dunk at rim (assist by G. Temple),28,32
89,1,0:06.0,Personal foul by G. Temple (drawn by J. Wall),,28,32
90,1,0:00.0,J. Wall misses 2-pt jump shot from 20 ft,,28,32
91,1,0:00.0,Offensive rebound by Team,,28,32
92,2,11:38.0,,B. Hield makes 3-pt jump shot from 22 ft (assist by T. Lawson),28,35
93,2,11:25.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,28,35
94,2,11:25.0,Offensive rebound by Team,,28,35
95,2,11:25.0,,Loose ball foul by S. Labissière (drawn by I. Mahinmi),28,35
96,2,11:20.0,Turnover by I. Mahinmi (offensive foul),,28,35
97,2,11:20.0,Offensive foul by I. Mahinmi (drawn by T. Lawson),,28,35
98,2,11:00.0,,G. Temple misses 2-pt jump shot from 6 ft (block by I. Mahinmi),28,35
99,2,10:58.0,,Offensive rebound by B. Hield,28,35
100,2,10:56.0,,B. Hield misses 2-pt jump shot from 19 ft,28,35
101,2,10:55.0,Defensive rebound by B. Jennings,,28,35
102,2,10:51.0,Shooting foul by T. Lawson (drawn by B. Bogdanović),,28,35
103,2,10:51.0,B. Bogdanović misses free throw 1 of 2,,28,35
104,2,10:51.0,Offensive rebound by Team,,28,35
105,2,10:51.0,,B. McLemore enters the game for B. Hield,28,35
106,2,10:51.0,B. Bogdanović makes free throw 2 of 2,,29,35
107,2,10:35.0,,B. McLemore misses 2-pt jump shot from 16 ft,29,35
108,2,10:35.0,Defensive rebound by J. Smith,,29,35
109,2,10:28.0,B. Bogdanović misses 2-pt jump shot from 15 ft,,29,35
110,2,10:26.0,Offensive rebound by K. Oubre,,29,35
111,2,10:24.0,K. Oubre misses 3-pt jump shot from 25 ft,,29,35
112,2,10:22.0,Offensive rebound by I. Mahinmi,,29,35
113,2,10:21.0,I. Mahinmi misses 2-pt jump shot from 8 ft,,29,35
114,2,10:20.0,,Defensive rebound by A. Tolliver,29,35
115,2,10:09.0,,T. Lawson misses 2-pt jump shot from 17 ft,29,35
116,2,10:09.0,Defensive rebound by I. Mahinmi,,29,35
117,2,10:01.0,B. Jennings misses 2-pt jump shot from 10 ft,,29,35
118,2,10:00.0,,Defensive rebound by B. McLemore,29,35
119,2,9:54.0,,B. McLemore misses 2-pt layup from 3 ft,29,35
120,2,9:53.0,Defensive rebound by J. Smith,,29,35
121,2,9:43.0,I. Mahinmi makes 2-pt jump shot from 4 ft (assist by B. Jennings),,31,35
122,2,9:28.0,,S. Labissière makes 2-pt jump shot from 18 ft (assist by T. Lawson),31,37
123,2,9:14.0,Turnover by B. Jennings (lost ball; steal by S. Labissière),,31,37
124,2,9:09.0,,G. Temple misses 2-pt layup from 3 ft,31,37
125,2,9:08.0,Defensive rebound by I. Mahinmi,,31,37
126,2,9:02.0,K. Oubre makes 2-pt layup from 3 ft,,33,37
127,2,8:43.0,,Sacramento full timeout,33,37
128,2,8:43.0,M. Morris enters the game for J. Smith,,33,37
129,2,8:39.0,,B. McLemore misses 2-pt jump shot from 20 ft,33,37
130,2,8:38.0,Defensive rebound by I. Mahinmi,,33,37
131,2,8:26.0,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by B. Jennings),,35,37
132,2,8:17.0,,Personal foul by B. Jennings (drawn by S. Labissière),35,37
133,2,8:12.0,,Personal foul by M. Morris (drawn by S. Labissière),35,37
134,2,8:03.0,,S. Labissière makes 2-pt dunk at rim (assist by G. Temple),35,39
135,2,7:46.0,M. Morris misses 2-pt jump shot from 16 ft,,35,39
136,2,7:45.0,,Defensive rebound by S. Labissière,35,39
