,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CLEVELAND_ACTION,ATLANTA_SCORE,CLEVELAND_SCORE
0,1,11:44.0,,K. Love misses 2-pt jump shot from 14 ft,0,0
1,1,11:43.0,Defensive rebound by E. İlyasova,,0,0
2,1,11:28.0,J. Calderón misses 2-pt jump shot from 19 ft,,0,0
3,1,11:27.0,Offensive rebound by J. Calderón,,0,0
4,1,11:20.0,K. Humphries makes 3-pt jump shot from 26 ft (assist by J. Calderón),,3,0
5,1,11:06.0,,C. Frye makes 3-pt jump shot from 25 ft (assist by L. James),3,3
6,1,10:59.0,T. Hardaway misses 3-pt jump shot from 25 ft,,3,3
7,1,10:58.0,,Defensive rebound by C. Frye,3,3
8,1,10:37.0,,C. Frye misses 3-pt jump shot from 22 ft,3,3
9,1,10:37.0,Defensive rebound by Team,,3,3
10,1,10:37.0,,Loose ball foul by K. Love (drawn by K. Humphries),3,3
11,1,10:18.0,E. İlyasova makes 2-pt jump shot from 18 ft (assist by J. Calderón),,5,3
12,1,9:55.0,,C. Frye makes 2-pt jump shot from 16 ft (assist by K. Irving),5,5
13,1,9:38.0,Turnover by T. Prince (offensive foul),,5,5
14,1,9:38.0,,Offensive charge foul by T. Prince (drawn by C. Frye),5,5
15,1,9:25.0,,K. Love misses 3-pt jump shot from 25 ft,5,5
16,1,9:24.0,Defensive rebound by T. Prince,,5,5
17,1,9:10.0,K. Humphries misses 2-pt layup from 1 ft,,5,5
18,1,9:08.0,,Defensive rebound by C. Frye,5,5
19,1,9:01.0,,J. Smith misses 3-pt jump shot from 25 ft,5,5
20,1,9:01.0,Defensive rebound by K. Humphries,,5,5
21,1,8:53.0,T. Hardaway makes 2-pt layup from 1 ft,,7,5
22,1,8:33.0,,Turnover by K. Irving (bad pass; steal by E. İlyasova),7,5
23,1,8:25.0,T. Prince misses 2-pt layup at rim,,7,5
24,1,8:24.0,,Defensive rebound by K. Love,7,5
25,1,8:13.0,,K. Love misses 3-pt jump shot from 24 ft,7,5
26,1,8:13.0,Defensive rebound by J. Calderón,,7,5
27,1,8:07.0,E. İlyasova misses 3-pt jump shot from 26 ft,,7,5
28,1,8:06.0,,Defensive rebound by J. Smith,7,5
29,1,7:54.0,,K. Irving makes 2-pt jump shot from 16 ft,7,7
30,1,7:40.0,Turnover by J. Calderón (step out of bounds),,7,7
31,1,7:22.0,,C. Frye makes 2-pt layup from 1 ft (assist by K. Irving),7,9
32,1,7:00.0,E. İlyasova misses 3-pt jump shot from 24 ft,,7,9
33,1,7:00.0,,Defensive rebound by L. James,7,9
34,1,6:40.0,,C. Frye misses 3-pt jump shot from 23 ft,7,9
35,1,6:39.0,Defensive rebound by J. Calderón,,7,9
36,1,6:27.0,K. Humphries misses 3-pt jump shot from 24 ft,,7,9
37,1,6:27.0,,Defensive rebound by K. Love,7,9
38,1,6:19.0,,Shooting foul by T. Prince (drawn by L. James),7,9
39,1,6:19.0,Atlanta full timeout,,7,9
40,1,6:19.0,,L. James misses free throw 1 of 2,7,9
41,1,6:19.0,,Offensive rebound by Team,7,9
42,1,6:19.0,M. Muscala enters the game for K. Humphries,,7,9
43,1,6:19.0,M. Delaney enters the game for J. Calderón,,7,9
44,1,6:19.0,,L. James makes free throw 2 of 2,7,10
45,1,6:07.0,E. İlyasova makes 2-pt jump shot from 20 ft (assist by M. Muscala),,9,10
46,1,5:54.0,,L. James makes 3-pt jump shot from 26 ft (assist by K. Love),9,13
47,1,5:31.0,T. Hardaway makes 3-pt jump shot from 28 ft (assist by T. Prince),,12,13
48,1,5:15.0,,L. James misses 3-pt jump shot from 24 ft,12,13
49,1,5:15.0,Defensive rebound by E. İlyasova,,12,13
