,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW YORK_ACTION,SAN ANTONIO_SCORE,NEW YORK_SCORE
0,1,11:37.0,L. Aldridge misses 3-pt jump shot from 23 ft,,0,0
1,1,11:35.0,,Defensive rebound by D. Rose,0,0
2,1,11:13.0,,C. Anthony makes 2-pt jump shot from 17 ft (assist by K. Porziņģis),0,2
3,1,10:54.0,K. Leonard misses 3-pt jump shot from 25 ft,,0,2
4,1,10:52.0,,Defensive rebound by W. Hernangómez,0,2
5,1,10:47.0,,D. Rose makes 2-pt jump shot from 15 ft,0,4
6,1,10:26.0,D. Green misses 2-pt layup from 2 ft,,0,4
7,1,10:24.0,,Defensive rebound by K. Porziņģis,0,4
8,1,10:15.0,,Turnover by D. Rose (bad pass),0,4
9,1,10:00.0,L. Aldridge makes 2-pt jump shot from 14 ft,,2,4
10,1,9:46.0,,Turnover by C. Lee (bad pass; steal by D. Dedmon),2,4
11,1,9:39.0,K. Leonard makes 2-pt jump shot from 15 ft (assist by T. Parker),,4,4
12,1,9:18.0,,W. Hernangómez makes 2-pt jump shot from 4 ft (assist by K. Porziņģis),4,6
13,1,9:04.0,L. Aldridge misses 2-pt jump shot from 15 ft,,4,6
14,1,9:02.0,Offensive rebound by D. Dedmon,,4,6
15,1,8:46.0,D. Dedmon misses 2-pt layup from 2 ft,,4,6
16,1,8:44.0,Offensive rebound by L. Aldridge,,4,6
17,1,8:43.0,L. Aldridge makes 2-pt layup from 1 ft,,6,6
18,1,8:32.0,,C. Anthony misses 2-pt jump shot from 15 ft,6,6
19,1,8:30.0,Defensive rebound by D. Dedmon,,6,6
20,1,8:23.0,T. Parker misses 2-pt jump shot from 17 ft (block by D. Rose),,6,6
21,1,8:21.0,Offensive rebound by L. Aldridge,,6,6
22,1,8:20.0,L. Aldridge misses 2-pt layup from 1 ft,,6,6
23,1,8:18.0,,Defensive rebound by W. Hernangómez,6,6
24,1,8:16.0,,Shooting foul by T. Parker (drawn by D. Rose),6,6
25,1,8:16.0,,D. Rose makes free throw 1 of 2,6,7
26,1,8:16.0,,D. Rose makes free throw 2 of 2,6,8
27,1,8:02.0,D. Green makes 3-pt jump shot from 26 ft (assist by T. Parker),,9,8
28,1,7:47.0,,K. Porziņģis makes 3-pt jump shot from 28 ft (assist by C. Anthony),9,11
29,1,7:28.0,Turnover by D. Green (bad pass; steal by K. Porziņģis),,9,11
30,1,7:20.0,,C. Lee makes 2-pt jump shot from 15 ft,9,13
31,1,7:02.0,K. Leonard misses 3-pt jump shot from 24 ft,,9,13
32,1,7:00.0,,Defensive rebound by W. Hernangómez,9,13
33,1,6:48.0,,Turnover by K. Porziņģis (lost ball; steal by K. Leonard),9,13
34,1,6:43.0,D. Green misses 3-pt jump shot from 25 ft,,9,13
35,1,6:41.0,Offensive rebound by K. Leonard,,9,13
36,1,6:23.0,K. Leonard misses 2-pt layup from 2 ft,,9,13
37,1,6:21.0,Offensive rebound by L. Aldridge,,9,13
38,1,6:21.0,L. Aldridge makes 2-pt layup from 1 ft,,11,13
39,1,6:21.0,,New York full timeout,11,13
40,1,6:09.0,,Turnover by D. Rose (bad pass; steal by D. Dedmon),11,13
41,1,5:49.0,D. Green misses 3-pt jump shot from 23 ft,,11,13
42,1,5:47.0,,Defensive rebound by D. Rose,11,13
43,1,5:42.0,,C. Anthony makes 2-pt dunk at rim (assist by D. Rose),11,15
44,1,5:15.0,Turnover by K. Leonard (lost ball),,11,15
45,1,5:15.0,P. Mills enters the game for K. Leonard,,11,15
46,1,5:15.0,M. Ginóbili enters the game for D. Green,,11,15
47,1,5:15.0,D. Lee enters the game for D. Dedmon,,11,15
48,1,4:53.0,,K. Porziņģis misses 2-pt jump shot from 12 ft,11,15
49,1,4:51.0,Defensive rebound by L. Aldridge,,11,15
50,1,4:43.0,L. Aldridge makes 2-pt jump shot from 22 ft (assist by P. Mills),,13,15
51,1,4:26.0,,D. Rose misses 2-pt jump shot from 21 ft,13,15
52,1,4:24.0,Defensive rebound by D. Lee,,13,15
53,1,4:10.0,L. Aldridge misses 2-pt jump shot from 6 ft,,13,15
54,1,4:08.0,,Defensive rebound by W. Hernangómez,13,15
55,1,3:59.0,,Turnover by C. Anthony (lost ball),13,15
56,1,3:59.0,San Antonio full timeout,,13,15
57,1,3:59.0,,B. Jennings enters the game for K. Porziņģis,13,15
58,1,3:59.0,,K. O'Quinn enters the game for D. Rose,13,15
59,1,3:59.0,K. Anderson enters the game for T. Parker,,13,15
60,1,3:35.0,D. Lee makes 2-pt jump shot from 17 ft (assist by M. Ginóbili),,15,15
61,1,3:15.0,,C. Anthony misses 2-pt jump shot from 16 ft,15,15
62,1,3:13.0,Defensive rebound by K. Anderson,,15,15
63,1,3:01.0,P. Mills makes 3-pt jump shot from 23 ft (assist by L. Aldridge),,18,15
64,1,2:39.0,,K. O'Quinn misses 2-pt jump shot from 21 ft,18,15
65,1,2:37.0,Defensive rebound by M. Ginóbili,,18,15
66,1,2:27.0,K. Anderson misses 2-pt jump shot from 22 ft,,18,15
67,1,2:25.0,Offensive rebound by L. Aldridge,,18,15
68,1,2:22.0,M. Ginóbili misses 3-pt jump shot from 24 ft,,18,15
69,1,2:20.0,Offensive rebound by D. Lee,,18,15
70,1,2:18.0,Personal foul by W. Hernangómez (drawn by L. Aldridge),,18,15
71,1,2:18.0,D. Dedmon enters the game for L. Aldridge,,18,15
72,1,2:14.0,Turnover by P. Mills (bad pass; steal by W. Hernangómez),,18,15
73,1,2:11.0,,Personal foul by M. Ginóbili (drawn by B. Jennings),18,15
74,1,2:02.0,,Offensive foul by K. O'Quinn (drawn by M. Ginóbili),18,15
75,1,2:02.0,,Turnover by K. O'Quinn (offensive foul),18,15
76,1,1:52.0,D. Lee misses 2-pt jump shot from 5 ft (block by K. O'Quinn),,18,15
77,1,1:50.0,Offensive rebound by D. Lee,,18,15
78,1,1:47.0,Turnover by D. Lee (lost ball; steal by W. Hernangómez),,18,15
79,1,1:37.0,,Turnover by C. Anthony (lost ball; steal by D. Lee),18,15
80,1,1:28.0,P. Mills misses 2-pt jump shot from 18 ft,,18,15
81,1,1:26.0,Offensive rebound by P. Mills,,18,15
82,1,1:15.0,P. Mills misses 3-pt jump shot from 25 ft,,18,15
83,1,1:13.0,,Defensive rebound by B. Jennings,18,15
84,1,1:04.0,,Turnover by B. Jennings (bad pass; steal by P. Mills),18,15
85,1,1:01.0,K. Anderson makes 2-pt jump shot from 6 ft (assist by M. Ginóbili),,20,15
86,1,1:01.0,Shooting foul by C. Lee (drawn by K. Anderson),,20,15
87,1,1:01.0,,K. Porziņģis enters the game for W. Hernangómez,20,15
88,1,1:01.0,,J. Holiday enters the game for C. Lee,20,15
89,1,1:01.0,K. Anderson makes free throw 1 of 1,,21,15
90,1,0:43.0,,J. Holiday makes 3-pt jump shot from 22 ft (assist by B. Jennings),21,18
91,1,0:27.0,M. Ginóbili misses 3-pt jump shot from 25 ft,,21,18
