,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BROOKLYN_ACTION,CLEVELAND_SCORE,BROOKLYN_SCORE
0,1,11:48.0,,B. Lopez misses 2-pt jump shot from 13 ft,0,0
1,1,11:47.0,Defensive rebound by K. Love,,0,0
2,1,11:27.0,K. Love misses 2-pt jump shot from 17 ft,,0,0
3,1,11:25.0,,Defensive rebound by S. Dinwiddie,0,0
4,1,11:19.0,,B. Lopez makes 2-pt layup from 2 ft (assist by B. Bogdanović),0,2
5,1,11:03.0,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),,3,2
6,1,10:52.0,,J. Harris misses 3-pt jump shot from 24 ft,3,2
7,1,10:51.0,Defensive rebound by L. James,,3,2
8,1,10:38.0,D. Liggins misses 3-pt jump shot from 24 ft,,3,2
9,1,10:37.0,,Defensive rebound by S. Dinwiddie,3,2
10,1,10:22.0,,J. Harris misses 3-pt jump shot from 25 ft,3,2
11,1,10:21.0,Defensive rebound by L. James,,3,2
12,1,10:08.0,K. Love misses 2-pt hook shot from 5 ft,,3,2
13,1,10:07.0,,Defensive rebound by S. Dinwiddie,3,2
14,1,9:57.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,3,2
15,1,9:56.0,Defensive rebound by K. Love,,3,2
16,1,9:55.0,Personal foul by B. Bogdanović (drawn by L. James),,3,2
17,1,9:44.0,K. Love misses 3-pt jump shot from 23 ft,,3,2
18,1,9:43.0,,Defensive rebound by B. Bogdanović,3,2
19,1,9:40.0,,T. Booker makes 2-pt dunk at rim (assist by B. Bogdanović),3,4
20,1,9:29.0,Turnover by L. James (bad pass; steal by B. Bogdanović),,3,4
21,1,9:25.0,,B. Bogdanović makes 2-pt layup from 2 ft,3,6
22,1,9:24.0,Cleveland full timeout,,3,6
23,1,9:08.0,T. Thompson makes 2-pt jump shot from 4 ft (assist by K. Irving),,5,6
24,1,8:50.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),5,9
25,1,8:30.0,K. Irving misses 3-pt jump shot from 24 ft,,5,9
26,1,8:29.0,Offensive rebound by K. Love,,5,9
27,1,8:17.0,Personal foul by S. Dinwiddie (drawn by T. Thompson),,5,9
28,1,8:10.0,L. James makes 2-pt jump shot from 16 ft,,7,9
29,1,7:48.0,,B. Lopez misses 2-pt hook shot from 9 ft,7,9
30,1,7:47.0,Defensive rebound by T. Thompson,,7,9
31,1,7:28.0,K. Love misses 2-pt layup from 5 ft,,7,9
32,1,7:26.0,,Defensive rebound by T. Booker,7,9
