,QUARTER,TIME_REMAINING,MIAMI_ACTION,UTAH_ACTION,MIAMI_SCORE,UTAH_SCORE
0,1,11:38.0,,J. Johnson misses 3-pt jump shot from 23 ft,0,0
1,1,11:37.0,Defensive rebound by J. McRoberts,,0,0
2,1,11:20.0,J. McRoberts makes 2-pt jump shot from 10 ft (assist by G. Dragić),,2,0
3,1,10:53.0,,B. Diaw misses 2-pt jump shot from 18 ft,2,0
4,1,10:52.0,Defensive rebound by G. Dragić,,2,0
5,1,10:29.0,H. Whiteside misses 2-pt jump shot from 7 ft,,2,0
6,1,10:28.0,,Defensive rebound by J. Johnson,2,0
7,1,10:20.0,,G. Hayward misses 3-pt jump shot from 25 ft,2,0
8,1,10:19.0,Defensive rebound by H. Whiteside,,2,0
9,1,10:07.0,R. McGruder makes 3-pt jump shot from 23 ft (assist by G. Dragić),,5,0
10,1,9:46.0,,D. Exum makes 3-pt jump shot from 24 ft (assist by G. Hayward),5,3
11,1,9:26.0,H. Whiteside misses 2-pt layup from 1 ft (block by R. Gobert),,5,3
12,1,9:25.0,,Defensive rebound by R. Gobert,5,3
13,1,9:12.0,,D. Exum misses 2-pt layup from 2 ft,5,3
14,1,9:12.0,,Offensive rebound by D. Exum,5,3
15,1,9:12.0,,D. Exum misses 2-pt layup from 2 ft,5,3
16,1,9:11.0,,Offensive rebound by G. Hayward,5,3
17,1,9:06.0,,D. Exum misses 3-pt jump shot from 23 ft,5,3
18,1,9:06.0,,Offensive rebound by Team,5,3
19,1,8:48.0,,Personal foul by L. Babbitt (drawn by B. Diaw),5,3
20,1,8:36.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by J. Johnson),5,6
21,1,8:15.0,R. McGruder misses 3-pt jump shot from 26 ft,,5,6
22,1,8:15.0,Offensive rebound by G. Dragić,,5,6
23,1,7:54.0,G. Dragić misses 2-pt jump shot from 15 ft,,5,6
24,1,7:53.0,,Defensive rebound by B. Diaw,5,6
25,1,7:36.0,,B. Diaw misses 3-pt jump shot from 25 ft,5,6
26,1,7:35.0,Defensive rebound by G. Dragić,,5,6
27,1,7:23.0,H. Whiteside misses 2-pt layup from 3 ft,,5,6
28,1,7:23.0,,Defensive rebound by J. Johnson,5,6
29,1,7:18.0,,Turnover by D. Exum (lost ball; steal by L. Babbitt),5,6
30,1,7:17.0,Clear path foul by R. Gobert,,5,6
31,1,7:17.0,R. McGruder makes clear path free throw 1 of 2,,6,6
32,1,7:17.0,R. McGruder makes clear path free throw 2 of 2,,7,6
33,1,7:04.0,G. Dragić makes 2-pt layup from 3 ft,,9,6
34,1,6:44.0,,R. Gobert misses 2-pt jump shot from 8 ft,9,6
35,1,6:44.0,Defensive rebound by H. Whiteside,,9,6
36,1,6:35.0,G. Dragić makes 2-pt layup from 3 ft,,11,6
37,1,6:09.0,,J. Johnson misses 2-pt jump shot from 17 ft,11,6
38,1,6:08.0,,Offensive rebound by R. Gobert,11,6
39,1,6:07.0,,R. Gobert makes 2-pt layup from 1 ft,11,8
40,1,5:55.0,G. Dragić makes 2-pt layup from 3 ft,,13,8
41,1,5:49.0,,Shooting foul by G. Dragić (drawn by D. Exum),13,8
42,1,5:49.0,,Utah full timeout,13,8
43,1,5:49.0,,D. Exum makes free throw 1 of 2,13,9
44,1,5:49.0,,T. Lyles enters the game for B. Diaw,13,8
45,1,5:49.0,,D. Exum makes free throw 2 of 2,13,10
46,1,5:34.0,Turnover by G. Dragić (lost ball; steal by T. Lyles),,13,10
47,1,5:19.0,,T. Lyles makes 2-pt layup from 2 ft,13,12
48,1,4:57.0,Shooting foul by J. Johnson (drawn by L. Babbitt),,13,12
49,1,4:57.0,L. Babbitt misses free throw 1 of 2,,13,12
50,1,4:57.0,Offensive rebound by Team,,13,12
51,1,4:57.0,,S. Mack enters the game for D. Exum,13,12
52,1,4:57.0,L. Babbitt makes free throw 2 of 2,,14,12
53,1,4:37.0,,G. Hayward makes 2-pt jump shot from 22 ft,14,14
54,1,4:19.0,J. McRoberts misses 2-pt jump shot from 18 ft,,14,14
55,1,4:18.0,,Defensive rebound by Team,14,14
56,1,4:18.0,Loose ball foul by H. Whiteside (drawn by R. Gobert),,14,14
57,1,4:18.0,T. Johnson enters the game for R. McGruder,,14,14
58,1,4:08.0,,G. Hayward makes 2-pt dunk at rim (assist by S. Mack),14,16
59,1,4:08.0,Miami full timeout,,14,16
60,1,4:08.0,W. Ellington enters the game for L. Babbitt,,14,16
61,1,3:46.0,W. Ellington makes 2-pt layup from 1 ft (assist by J. McRoberts),,16,16
62,1,3:30.0,,J. Johnson makes 2-pt jump shot from 2 ft (assist by T. Lyles),16,18
63,1,3:10.0,T. Johnson misses 2-pt layup from 2 ft,,16,18
64,1,3:10.0,Offensive rebound by H. Whiteside,,16,18
65,1,3:08.0,H. Whiteside makes 2-pt dunk at rim,,18,18
66,1,2:51.0,,J. Johnson makes 3-pt jump shot from 24 ft (assist by S. Mack),18,21
67,1,2:29.0,J. McRoberts makes 2-pt layup from 2 ft (assist by G. Dragić),,20,21
68,1,2:12.0,,Turnover by T. Lyles (traveling),20,21
69,1,2:12.0,J. Johnson enters the game for H. Whiteside,,20,21
70,1,2:12.0,W. Reed enters the game for J. McRoberts,,20,21
71,1,2:12.0,,J. Ingles enters the game for J. Johnson,20,21
72,1,2:12.0,,J. Withey enters the game for R. Gobert,20,21
73,1,1:54.0,G. Dragić misses 2-pt layup from 2 ft (block by J. Withey),,20,21
74,1,1:53.0,,Defensive rebound by S. Mack,20,21
75,1,1:44.0,,Personal foul by T. Johnson (drawn by G. Hayward),20,21
76,1,1:44.0,R. McGruder enters the game for G. Dragić,,20,21
77,1,1:40.0,,Personal foul by J. Johnson (drawn by G. Hayward),20,21
78,1,1:40.0,,G. Hayward makes free throw 1 of 2,20,22
79,1,1:40.0,,G. Hayward misses free throw 2 of 2,20,22
80,1,1:40.0,Defensive rebound by W. Reed,,20,22
81,1,1:30.0,W. Reed makes 2-pt dunk at rim (assist by T. Johnson),,22,22
82,1,1:13.0,,T. Lyles makes 3-pt jump shot from 25 ft (assist by J. Ingles),22,25
83,1,0:54.0,J. Johnson makes 2-pt layup from 1 ft,,24,25
84,1,0:41.0,,S. Mack misses 2-pt jump shot from 18 ft,24,25
85,1,0:40.0,Defensive rebound by W. Reed,,24,25
86,1,0:31.0,Shooting foul by S. Mack (drawn by T. Johnson),,24,25
87,1,0:31.0,T. Johnson makes free throw 1 of 2,,25,25
88,1,0:31.0,T. Johnson makes free throw 2 of 2,,26,25
89,1,0:10.0,,G. Hayward makes 2-pt jump shot from 19 ft,26,27
90,1,0:01.0,T. Johnson misses 2-pt jump shot from 7 ft,,26,27
91,1,0:00.0,Offensive rebound by Team,,26,27
92,2,12:00.0,Violation by Team (jump ball),,26,27
93,2,11:42.0,W. Ellington misses 3-pt jump shot from 24 ft,,26,27
94,2,11:42.0,,Defensive rebound by J. Ingles,26,27
95,2,11:28.0,,T. Lyles makes 3-pt jump shot from 25 ft (assist by J. Johnson),26,30
96,2,11:10.0,W. Ellington makes 3-pt jump shot from 25 ft,,29,30
97,2,10:51.0,,J. Ingles misses 2-pt jump shot from 18 ft,29,30
98,2,10:51.0,Defensive rebound by J. Johnson,,29,30
99,2,10:40.0,J. Johnson misses 3-pt jump shot from 24 ft,,29,30
100,2,10:39.0,,Defensive rebound by J. Ingles,29,30
101,2,10:27.0,,T. Lyles misses 2-pt jump shot from 8 ft,29,30
102,2,10:26.0,Defensive rebound by T. Johnson,,29,30
103,2,10:17.0,T. Johnson misses 3-pt jump shot from 24 ft,,29,30
104,2,10:17.0,,Defensive rebound by J. Ingles,29,30
105,2,10:06.0,,S. Mack misses 2-pt jump shot from 9 ft,29,30
106,2,10:06.0,,Offensive rebound by Team,29,30
107,2,9:59.0,,Turnover by S. Mack (bad pass),29,30
108,2,9:45.0,R. McGruder misses 2-pt jump shot from 4 ft,,29,30
109,2,9:44.0,Offensive rebound by W. Reed,,29,30
110,2,9:44.0,W. Reed misses 2-pt layup from 2 ft,,29,30
111,2,9:43.0,Offensive rebound by W. Reed,,29,30
112,2,9:42.0,W. Reed misses 2-pt layup from 3 ft (block by J. Withey),,29,30
113,2,9:40.0,,Defensive rebound by J. Withey,29,30
114,2,9:27.0,,J. Withey makes 2-pt layup from 3 ft (assist by J. Ingles),29,32
115,2,9:10.0,W. Ellington makes 2-pt jump shot from 23 ft (assist by T. Johnson),,31,32
116,2,8:54.0,,J. Ingles makes 2-pt layup from 3 ft,31,34
117,2,8:32.0,J. Johnson makes 2-pt jump shot from 15 ft,,33,34
118,2,8:07.0,,Turnover by S. Mack (lost ball; steal by J. Johnson),33,34
119,2,8:06.0,Clear path foul by J. Ingles,,33,34
120,2,8:06.0,Miami full timeout,,33,34
121,2,8:06.0,W. Ellington makes clear path free throw 1 of 2,,34,34
122,2,8:06.0,,R. Gobert enters the game for J. Withey,33,34
123,2,8:06.0,,G. Hayward enters the game for J. Johnson,33,34
124,2,8:06.0,W. Ellington makes clear path free throw 2 of 2,,35,34
125,2,7:52.0,W. Ellington makes 2-pt jump shot from 20 ft,,37,34
126,2,7:33.0,,D. Exum enters the game for J. Ingles,37,34
127,2,7:28.0,,Turnover by D. Exum (lost ball),37,34
128,2,7:09.0,R. McGruder makes 2-pt jump shot from 8 ft,,39,34
129,2,6:51.0,,Shooting foul by R. McGruder (drawn by G. Hayward),39,34
130,2,6:51.0,,G. Hayward makes free throw 1 of 2,39,35
131,2,6:51.0,H. Whiteside enters the game for W. Reed,,39,35
132,2,6:51.0,G. Dragić enters the game for T. Johnson,,39,35
133,2,6:51.0,,B. Diaw enters the game for T. Lyles,39,35
134,2,6:51.0,,J. Johnson enters the game for S. Mack,39,35
135,2,6:51.0,,G. Hayward makes free throw 2 of 2,39,36
