,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ORLANDO_ACTION,CLEVELAND_SCORE,ORLANDO_SCORE
0,1,11:45.0,,N. Vučević makes 2-pt layup from 2 ft (assist by E. Fournier),0,2
1,1,11:28.0,T. Thompson makes 2-pt dunk at rim (assist by K. Irving),,2,2
2,1,11:06.0,,N. Vučević misses 2-pt jump shot from 15 ft,2,2
3,1,11:05.0,Defensive rebound by L. James,,2,2
4,1,10:42.0,R. Jefferson misses 3-pt jump shot from 24 ft,,2,2
5,1,10:41.0,,Defensive rebound by A. Gordon,2,2
6,1,10:31.0,,A. Gordon misses 2-pt jump shot from 15 ft,2,2
7,1,10:29.0,Defensive rebound by I. Shumpert,,2,2
8,1,10:15.0,K. Irving misses 3-pt jump shot from 25 ft,,2,2
9,1,10:14.0,,Defensive rebound by N. Vučević,2,2
10,1,10:07.0,,E. Payton makes 2-pt layup from 3 ft,2,4
11,1,9:56.0,Cleveland full timeout,,2,4
12,1,9:51.0,Turnover by L. James (lost ball; steal by E. Payton),,2,4
13,1,9:47.0,,Shooting foul by K. Irving (drawn by E. Fournier),2,4
14,1,9:47.0,,E. Fournier makes free throw 1 of 2,2,5
15,1,9:47.0,,E. Fournier makes free throw 2 of 2,2,6
16,1,9:31.0,K. Irving misses 3-pt jump shot from 23 ft,,2,6
17,1,9:27.0,,Defensive rebound by T. Ross,2,6
18,1,9:20.0,,E. Payton misses 2-pt layup from 5 ft,2,6
19,1,9:18.0,Defensive rebound by T. Thompson,,2,6
20,1,9:11.0,I. Shumpert makes 3-pt jump shot from 25 ft,,5,6
21,1,9:02.0,,N. Vučević makes 2-pt jump shot from 12 ft,5,8
22,1,8:46.0,L. James misses 2-pt jump shot from 19 ft,,5,8
23,1,8:45.0,,Defensive rebound by E. Payton,5,8
24,1,8:39.0,,Shooting foul by R. Jefferson (drawn by T. Ross),5,8
25,1,8:39.0,,T. Ross makes free throw 1 of 2,5,9
26,1,8:39.0,,T. Ross misses free throw 2 of 2,5,9
27,1,8:38.0,Defensive rebound by T. Thompson,,5,9
28,1,8:24.0,R. Jefferson misses 3-pt jump shot from 24 ft,,5,9
29,1,8:22.0,,Defensive rebound by N. Vučević,5,9
30,1,8:06.0,,E. Payton misses 2-pt jump shot from 13 ft,5,9
31,1,8:05.0,,Offensive rebound by N. Vučević,5,9
32,1,8:04.0,,N. Vučević misses 2-pt layup from 1 ft,5,9
33,1,7:59.0,,Offensive rebound by N. Vučević,5,9
34,1,7:57.0,,N. Vučević misses 2-pt jump shot from 12 ft,5,9
35,1,7:56.0,Defensive rebound by T. Thompson,,5,9
36,1,7:54.0,I. Shumpert makes 2-pt layup from 1 ft,,7,9
37,1,7:33.0,,A. Gordon misses 2-pt jump shot from 10 ft,7,9
38,1,7:32.0,Defensive rebound by T. Thompson,,7,9
39,1,7:23.0,I. Shumpert makes 2-pt jump shot from 16 ft (assist by L. James),,9,9
40,1,7:10.0,,T. Ross misses 2-pt jump shot from 15 ft,9,9
41,1,7:08.0,Defensive rebound by L. James,,9,9
42,1,7:02.0,I. Shumpert makes 3-pt jump shot from 25 ft (assist by L. James),,12,9
43,1,7:01.0,,Orlando full timeout,12,9
44,1,6:50.0,,N. Vučević misses 3-pt jump shot from 25 ft,12,9
45,1,6:49.0,Defensive rebound by K. Irving,,12,9
46,1,6:34.0,K. Irving misses 2-pt layup from 1 ft,,12,9
47,1,6:32.0,Offensive rebound by T. Thompson,,12,9
48,1,6:31.0,T. Thompson misses 2-pt layup from 1 ft,,12,9
49,1,6:29.0,Offensive rebound by R. Jefferson,,12,9
