,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PORTLAND_ACTION,NEW ORLEANS_SCORE,PORTLAND_SCORE
0,1,11:41.0,A. Ajinça misses 2-pt hook shot from 6 ft,,0,0
1,1,11:38.0,,Defensive rebound by M. Leonard,0,0
2,1,11:26.0,,E. Turner misses 2-pt jump shot from 12 ft,0,0
3,1,11:23.0,Defensive rebound by A. Ajinça,,0,0
4,1,11:14.0,A. Ajinça misses 2-pt jump shot from 20 ft,,0,0
5,1,11:13.0,,Defensive rebound by E. Turner,0,0
6,1,10:53.0,,S. Napier misses 2-pt jump shot from 15 ft,0,0
7,1,10:52.0,Defensive rebound by D. Cunningham,,0,0
8,1,10:35.0,J. Holiday makes 2-pt layup from 2 ft,,2,0
9,1,10:18.0,,Turnover by N. Vonleh (bad pass),2,0
10,1,10:04.0,A. Ajinça misses 2-pt hook shot from 6 ft,,2,0
11,1,10:00.0,,Defensive rebound by E. Turner,2,0
12,1,9:54.0,,E. Turner misses 2-pt layup from 2 ft,2,0
13,1,9:51.0,Defensive rebound by A. Ajinça,,2,0
14,1,9:46.0,D. Cunningham makes 3-pt jump shot from 24 ft (assist by J. Holiday),,5,0
15,1,9:34.0,,Turnover by J. Layman (bad pass),5,0
16,1,9:27.0,T. Frazier misses 3-pt jump shot from 24 ft,,5,0
17,1,9:26.0,Offensive rebound by Team,,5,0
18,1,9:23.0,,Loose ball foul by M. Leonard (drawn by A. Ajinça),5,0
19,1,9:14.0,J. Holiday misses 2-pt jump shot from 17 ft,,5,0
20,1,9:13.0,,Defensive rebound by N. Vonleh,5,0
21,1,9:02.0,,Turnover by S. Napier (bad pass),5,0
22,1,8:57.0,D. Cunningham makes 2-pt layup from 2 ft (assist by T. Frazier),,7,0
23,1,8:57.0,,Portland full timeout,7,0
24,1,8:45.0,,S. Napier makes 3-pt jump shot from 26 ft,7,3
25,1,8:27.0,J. Holiday misses 2-pt jump shot from 15 ft,,7,3
26,1,8:24.0,,Defensive rebound by J. Layman,7,3
27,1,8:05.0,,M. Leonard makes 3-pt jump shot from 25 ft (assist by S. Napier),7,6
28,1,7:52.0,A. Ajinça misses 2-pt jump shot from 20 ft,,7,6
29,1,7:51.0,,Defensive rebound by E. Turner,7,6
30,1,7:41.0,,J. Layman misses 2-pt jump shot from 17 ft,7,6
31,1,7:40.0,Defensive rebound by J. Holiday,,7,6
32,1,7:24.0,S. Hill makes 2-pt jump shot from 18 ft,,9,6
33,1,7:09.0,,E. Turner misses 2-pt jump shot from 14 ft,9,6
34,1,7:08.0,Defensive rebound by J. Holiday,,9,6
35,1,7:00.0,J. Holiday makes 2-pt jump shot from 17 ft,,11,6
36,1,6:53.0,,Turnover by S. Napier (lost ball; steal by D. Cunningham),11,6
37,1,6:41.0,D. Cunningham misses 3-pt jump shot from 23 ft,,11,6
38,1,6:40.0,,Defensive rebound by S. Napier,11,6
39,1,6:34.0,,S. Napier makes 2-pt jump shot from 7 ft,11,8
40,1,6:34.0,,Shooting foul by A. Ajinça (drawn by S. Napier),11,8
41,1,6:34.0,,S. Napier makes free throw 1 of 1,11,9
42,1,6:28.0,Turnover by J. Holiday (step out of bounds),,11,9
43,1,6:16.0,,N. Vonleh makes 2-pt jump shot from 20 ft,11,11
44,1,6:07.0,Turnover by S. Hill (bad pass; steal by S. Napier),,11,11
45,1,6:02.0,,S. Napier makes 2-pt layup at rim,11,13
46,1,5:55.0,New Orleans full timeout,,11,13
47,1,5:55.0,D. Motiejūnas enters the game for A. Ajinça,,11,13
48,1,5:55.0,E. Moore enters the game for T. Frazier,,11,13
49,1,5:55.0,,P. Connaughton enters the game for E. Turner,11,13
50,1,5:44.0,E. Moore makes 2-pt jump shot from 5 ft (assist by J. Holiday),,13,13
51,1,5:32.0,,P. Connaughton misses 3-pt jump shot from 25 ft,13,13
52,1,5:28.0,Defensive rebound by D. Cunningham,,13,13
53,1,5:20.0,J. Holiday misses 3-pt jump shot from 26 ft,,13,13
54,1,5:18.0,,Defensive rebound by M. Leonard,13,13
55,1,4:57.0,,Turnover by P. Connaughton (traveling),13,13
56,1,4:57.0,,M. Harkless enters the game for N. Vonleh,13,13
57,1,4:47.0,E. Moore misses 2-pt jump shot from 7 ft,,13,13
58,1,4:43.0,,Defensive rebound by M. Leonard,13,13
59,1,4:27.0,,M. Leonard misses 3-pt jump shot from 25 ft,13,13
60,1,4:25.0,,Offensive rebound by J. Layman,13,13
61,1,4:25.0,,J. Layman makes 2-pt layup at rim,13,15
62,1,4:15.0,J. Holiday misses 2-pt jump shot from 7 ft,,13,15
63,1,4:11.0,,Defensive rebound by S. Napier,13,15
64,1,4:07.0,,P. Connaughton makes 3-pt jump shot from 26 ft (assist by S. Napier),13,18
65,1,3:51.0,D. Motiejūnas makes 2-pt jump shot from 8 ft (assist by J. Holiday),,15,18
66,1,3:51.0,Shooting foul by P. Connaughton (drawn by D. Motiejūnas),,15,18
67,1,3:51.0,D. Motiejūnas misses free throw 1 of 1,,15,18
68,1,3:50.0,Offensive rebound by D. Motiejūnas,,15,18
69,1,3:45.0,S. Hill misses 3-pt jump shot from 25 ft,,15,18
70,1,3:45.0,,Defensive rebound by Team,15,18
71,1,3:30.0,,M. Leonard makes 2-pt jump shot from 19 ft,15,20
72,1,3:16.0,Shooting foul by J. Layman (drawn by S. Hill),,15,20
73,1,3:16.0,S. Hill makes free throw 1 of 3,,16,20
74,1,3:16.0,S. Hill makes free throw 2 of 3,,17,20
75,1,3:16.0,Q. Cook enters the game for J. Holiday,,17,20
76,1,3:16.0,,E. Turner enters the game for S. Napier,17,20
77,1,3:16.0,,T. Quarterman enters the game for J. Layman,17,20
78,1,3:16.0,S. Hill makes free throw 3 of 3,,18,20
79,1,3:04.0,,Turnover by E. Turner (bad pass; steal by D. Motiejūnas),18,20
80,1,3:04.0,Turnover by Q. Cook (bad pass),,18,20
81,1,2:49.0,,M. Leonard misses 3-pt jump shot from 27 ft,18,20
82,1,2:48.0,Defensive rebound by D. Cunningham,,18,20
83,1,2:40.0,D. Motiejūnas misses 2-pt hook shot from 7 ft,,18,20
84,1,2:37.0,,Defensive rebound by M. Leonard,18,20
85,1,2:31.0,,Personal foul by Q. Cook (drawn by M. Harkless),18,20
86,1,2:31.0,C. Diallo enters the game for D. Cunningham,,18,20
87,1,2:28.0,,P. Connaughton makes 2-pt layup from 1 ft (assist by E. Turner),18,22
88,1,2:17.0,S. Hill misses 2-pt jump shot from 7 ft,,18,22
89,1,2:13.0,,Defensive rebound by P. Connaughton,18,22
90,1,2:04.0,,M. Harkless makes 2-pt dunk at rim (assist by E. Turner),18,24
91,1,1:51.0,Q. Cook misses 2-pt jump shot from 14 ft,,18,24
92,1,1:51.0,,Defensive rebound by Team,18,24
93,1,1:37.0,,T. Quarterman misses 2-pt jump shot from 11 ft,18,24
94,1,1:36.0,Defensive rebound by Team,,18,24
95,1,1:36.0,,N. Vonleh enters the game for M. Leonard,18,24
96,1,1:21.0,D. Motiejūnas misses 2-pt jump shot at rim,,18,24
97,1,1:17.0,,Defensive rebound by N. Vonleh,18,24
98,1,1:13.0,,E. Turner misses 2-pt layup from 1 ft (block by S. Hill),18,24
99,1,1:11.0,,Offensive rebound by T. Quarterman,18,24
100,1,1:07.0,,P. Connaughton makes 3-pt jump shot from 26 ft (assist by T. Quarterman),18,27
101,1,0:53.0,D. Motiejūnas makes 2-pt jump shot from 10 ft (assist by E. Moore),,20,27
