,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW ORLEANS_ACTION,BROOKLYN_SCORE,NEW ORLEANS_SCORE
25,1,8:11.0,J. Hamilton misses 2-pt jump shot from 4 ft,,11,10
26,1,8:10.0,,Defensive rebound by A. Davis,11,10
27,1,8:02.0,,Shooting foul by B. Lopez (drawn by A. Davis),11,10
28,1,8:02.0,,A. Davis misses free throw 1 of 2,11,10
29,1,8:02.0,,Offensive rebound by Team,11,10
30,1,8:02.0,,A. Davis makes free throw 2 of 2,11,11
31,1,7:49.0,B. Bogdanović misses 2-pt jump shot from 3 ft (block by S. Hill),,11,11
32,1,7:47.0,,Defensive rebound by A. Davis,11,11
33,1,7:41.0,,A. Davis misses 2-pt layup from 2 ft (block by B. Lopez),11,11
34,1,7:39.0,,Offensive rebound by B. Hield,11,11
35,1,7:31.0,,J. Holiday misses 2-pt layup from 2 ft,11,11
36,1,7:30.0,Defensive rebound by J. Hamilton,,11,11
37,1,7:25.0,B. Lopez misses 3-pt jump shot from 24 ft,,11,11
38,1,7:22.0,,Defensive rebound by J. Holiday,11,11
39,1,7:07.0,,J. Holiday makes 2-pt layup from 2 ft (assist by A. Davis),11,13
40,1,7:05.0,Brooklyn full timeout,,11,13
41,1,6:54.0,Shooting foul by D. Cunningham (drawn by S. Dinwiddie),,11,13
42,1,6:54.0,S. Dinwiddie makes free throw 1 of 2,,12,13
43,1,6:54.0,S. Dinwiddie makes free throw 2 of 2,,13,13
44,1,6:39.0,,A. Davis makes 2-pt layup from 1 ft,13,15
45,1,6:20.0,J. Hamilton misses 3-pt jump shot from 24 ft,,13,15
46,1,6:19.0,,Defensive rebound by B. Hield,13,15
47,1,6:06.0,,D. Cunningham misses 3-pt jump shot from 26 ft,13,15
48,1,6:04.0,Defensive rebound by B. Bogdanović,,13,15
49,1,5:53.0,B. Lopez makes 2-pt layup from 2 ft (assist by J. Harris),,15,15
50,1,5:45.0,,J. Holiday makes 3-pt jump shot from 26 ft,15,18
51,1,5:34.0,J. Harris makes 2-pt layup from 2 ft,,17,18
52,1,5:21.0,,J. Holiday misses 3-pt jump shot from 26 ft,17,18
53,1,5:19.0,Defensive rebound by Team,,17,18
54,1,5:19.0,C. LeVert enters the game for J. Harris,,17,18
55,1,5:19.0,,E. Moore enters the game for B. Hield,17,18
56,1,5:12.0,Turnover by B. Bogdanović (bad pass),,17,18
57,1,5:12.0,,T. Jones enters the game for D. Cunningham,17,18
58,1,5:03.0,,A. Davis misses 2-pt jump shot from 17 ft,17,18
59,1,5:02.0,Defensive rebound by B. Lopez,,17,18
60,1,4:47.0,J. Hamilton misses 3-pt jump shot from 23 ft,,17,18
61,1,4:46.0,,Defensive rebound by T. Jones,17,18
62,1,4:39.0,,E. Moore makes 3-pt jump shot from 24 ft (assist by J. Holiday),17,21
63,1,4:18.0,B. Lopez misses 3-pt jump shot from 23 ft,,17,21
64,1,4:17.0,,Defensive rebound by T. Jones,17,21
65,1,4:09.0,,S. Hill makes 2-pt layup from 2 ft,17,23
