,QUARTER,TIME_REMAINING,ATLANTA_ACTION,MIAMI_ACTION,ATLANTA_SCORE,MIAMI_SCORE
0,1,11:33.0,Turnover by D. Schröder (lost ball; steal by H. Whiteside),,0,0
1,1,11:14.0,,Turnover by Team (back court),0,0
2,1,11:06.0,K. Bazemore makes 2-pt dunk at rim (assist by P. Millsap),,2,0
3,1,10:49.0,,H. Whiteside misses 2-pt jump shot from 20 ft,2,0
4,1,10:48.0,Defensive rebound by D. Howard,,2,0
5,1,10:28.0,D. Schröder makes 2-pt layup from 2 ft,,4,0
6,1,10:17.0,,Turnover by L. Babbitt (bad pass; steal by P. Millsap),4,0
7,1,10:02.0,P. Millsap misses 3-pt jump shot from 25 ft,,4,0
8,1,10:01.0,,Defensive rebound by H. Whiteside,4,0
9,1,9:50.0,,G. Dragić misses 2-pt jump shot from 16 ft,4,0
10,1,9:49.0,Defensive rebound by D. Howard,,4,0
11,1,9:40.0,T. Hardaway misses 2-pt layup from 1 ft (block by H. Whiteside),,4,0
12,1,9:39.0,,Defensive rebound by G. Dragić,4,0
13,1,9:33.0,,G. Dragić makes 2-pt layup from 2 ft,4,2
14,1,9:20.0,P. Millsap makes 2-pt jump shot from 15 ft (assist by K. Bazemore),,6,2
15,1,9:20.0,Shooting foul by L. Babbitt (drawn by P. Millsap),,6,2
16,1,9:20.0,P. Millsap makes free throw 1 of 1,,7,2
17,1,9:02.0,,L. Babbitt makes 3-pt jump shot from 24 ft (assist by D. Waiters),7,5
18,1,8:49.0,T. Hardaway misses 3-pt jump shot from 24 ft,,7,5
19,1,8:48.0,,Defensive rebound by G. Dragić,7,5
20,1,8:42.0,,D. Waiters makes 3-pt jump shot from 25 ft (assist by G. Dragić),7,8
21,1,8:30.0,Turnover by K. Bazemore (bad pass; steal by D. Waiters),,7,8
22,1,8:23.0,,L. Babbitt makes 3-pt jump shot from 23 ft (assist by R. McGruder),7,11
23,1,8:22.0,Atlanta full timeout,,7,11
24,1,8:15.0,,Violation by G. Dragić (kicked ball),7,11
25,1,8:06.0,Turnover by D. Schröder (bad pass; steal by L. Babbitt),,7,11
