,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,INDIANA_ACTION,SACRAMENTO_SCORE,INDIANA_SCORE
0,1,11:35.0,D. Collison makes 3-pt jump shot from 27 ft (assist by G. Temple),,3,0
1,1,11:13.0,,C. Miles makes 3-pt jump shot from 23 ft (assist by M. Turner),3,3
2,1,10:51.0,A. Afflalo misses 3-pt jump shot from 26 ft,,3,3
3,1,10:50.0,,Defensive rebound by T. Young,3,3
4,1,10:35.0,,J. Teague makes 3-pt jump shot from 26 ft (assist by M. Turner),3,6
5,1,10:19.0,Personal foul by T. Young (drawn by D. Cousins),,3,6
6,1,10:18.0,Turnover by G. Temple (lost ball; steal by C. Miles),,3,6
7,1,10:10.0,,M. Turner makes 2-pt dunk at rim (assist by P. George),3,8
8,1,9:51.0,Turnover by D. Collison (bad pass; steal by T. Young),,3,8
9,1,9:30.0,,P. George misses 2-pt jump shot from 18 ft,3,8
10,1,9:30.0,Defensive rebound by D. Cousins,,3,8
11,1,9:14.0,A. Afflalo makes 3-pt jump shot from 24 ft (assist by D. Collison),,6,8
12,1,9:01.0,,Turnover by C. Miles (bad pass; steal by D. Collison),6,8
13,1,9:01.0,Sacramento full timeout,,6,8
14,1,8:46.0,Turnover by G. Temple (lost ball; steal by T. Young),,6,8
15,1,8:29.0,,T. Young misses 3-pt jump shot from 24 ft,6,8
16,1,8:29.0,Defensive rebound by A. Afflalo,,6,8
17,1,8:17.0,A. Afflalo makes 2-pt jump shot from 16 ft (assist by D. Cousins),,8,8
18,1,7:58.0,,C. Miles makes 3-pt jump shot from 23 ft (assist by J. Teague),8,11
19,1,7:39.0,D. Cousins makes 2-pt jump shot from 7 ft,,10,11
20,1,7:32.0,,P. George misses 3-pt jump shot from 26 ft,10,11
21,1,7:32.0,Defensive rebound by D. Cousins,,10,11
22,1,7:11.0,G. Temple misses 3-pt jump shot from 26 ft,,10,11
23,1,7:11.0,,Defensive rebound by J. Teague,10,11
24,1,6:59.0,,Indiana full timeout,10,11
25,1,6:59.0,W. Cauley-Stein enters the game for K. Koufos,,10,11
26,1,6:50.0,,T. Young makes 2-pt dunk from 3 ft (assist by J. Teague),10,13
27,1,6:26.0,W. Cauley-Stein misses 2-pt layup from 4 ft,,10,13
28,1,6:25.0,Offensive rebound by W. Cauley-Stein,,10,13
29,1,6:21.0,A. Afflalo makes 3-pt jump shot from 24 ft (assist by W. Cauley-Stein),,13,13
30,1,6:04.0,,Personal foul by W. Cauley-Stein (drawn by P. George),13,13
31,1,5:59.0,,P. George misses 2-pt jump shot from 5 ft (block by D. Cousins),13,13
32,1,5:59.0,Defensive rebound by D. Cousins,,13,13
33,1,5:40.0,D. Collison makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),,16,13
34,1,5:16.0,,J. Teague makes 2-pt jump shot from 9 ft,16,15
35,1,4:49.0,D. Collison misses 3-pt jump shot from 29 ft,,16,15
36,1,4:48.0,,Defensive rebound by T. Young,16,15
37,1,4:38.0,,J. Teague makes 2-pt jump shot from 16 ft,16,17
38,1,4:27.0,Offensive foul by D. Cousins (drawn by T. Young),,16,17
39,1,4:27.0,Turnover by D. Cousins (offensive foul),,16,17
40,1,4:27.0,,L. Allen enters the game for T. Young,16,17
41,1,4:27.0,,M. Ellis enters the game for C. Miles,16,17
42,1,4:04.0,,M. Turner makes 2-pt jump shot from 21 ft (assist by P. George),16,19
