,QUARTER,TIME_REMAINING,PHOENIX_ACTION,TORONTO_ACTION,PHOENIX_SCORE,TORONTO_SCORE
0,1,11:41.0,E. Bledsoe makes 3-pt jump shot from 24 ft (assist by D. Booker),,3,0
1,1,11:25.0,,D. DeRozan makes 2-pt jump shot from 9 ft (assist by K. Lowry),3,2
2,1,11:12.0,Turnover by E. Bledsoe (bad pass; steal by D. DeRozan),,3,2
3,1,11:03.0,,Shooting foul by M. Chriss (drawn by D. DeRozan),3,2
4,1,11:03.0,,D. DeRozan makes free throw 1 of 2,3,3
5,1,11:03.0,,D. DeRozan makes free throw 2 of 2,3,4
6,1,10:54.0,Turnover by T. Chandler (bad pass; steal by L. Nogueira),,3,4
7,1,10:49.0,,L. Nogueira makes 2-pt dunk at rim (assist by K. Lowry),3,6
8,1,10:24.0,M. Chriss misses 3-pt jump shot from 24 ft,,3,6
9,1,10:24.0,,Defensive rebound by J. Valančiūnas,3,6
10,1,10:18.0,,Personal foul by T. Warren,3,6
11,1,10:07.0,,D. Carroll misses 2-pt layup from 3 ft,3,6
12,1,10:07.0,,Offensive rebound by J. Valančiūnas,3,6
13,1,10:04.0,,J. Valančiūnas makes 2-pt layup from 1 ft,3,8
14,1,9:56.0,Turnover by T. Chandler (bad pass; steal by D. Carroll),,3,8
15,1,9:50.0,,L. Nogueira makes 2-pt layup from 1 ft (assist by K. Lowry),3,10
16,1,9:50.0,Phoenix full timeout,,3,10
17,1,9:32.0,D. Booker misses 3-pt jump shot from 25 ft,,3,10
18,1,9:31.0,,Defensive rebound by J. Valančiūnas,3,10
19,1,9:25.0,,L. Nogueira makes 2-pt dunk at rim (assist by K. Lowry),3,12
20,1,9:06.0,T. Warren makes 2-pt jump shot from 8 ft,,5,12
21,1,8:46.0,,D. DeRozan misses 2-pt jump shot from 20 ft,5,12
22,1,8:45.0,,Offensive rebound by J. Valančiūnas,5,12
23,1,8:43.0,,J. Valančiūnas misses 2-pt layup at rim,5,12
24,1,8:42.0,,Offensive rebound by J. Valančiūnas,5,12
25,1,8:39.0,,J. Valančiūnas makes 2-pt layup from 1 ft,5,14
26,1,8:30.0,E. Bledsoe makes 2-pt jump shot from 6 ft,,7,14
27,1,8:17.0,,Turnover by K. Lowry (bad pass; steal by D. Booker),7,14
28,1,8:12.0,D. Booker makes 2-pt layup from 3 ft,,9,14
29,1,7:58.0,,Turnover by D. DeRozan (bad pass; steal by M. Chriss),9,14
30,1,7:53.0,T. Warren makes 2-pt dunk at rim (assist by E. Bledsoe),,11,14
31,1,7:30.0,,J. Valančiūnas makes 2-pt hook shot from 6 ft,11,16
32,1,7:26.0,,Violation by Team (jump ball),11,16
33,1,7:10.0,Turnover by D. Booker (lost ball; steal by J. Valančiūnas),,11,16
34,1,7:05.0,,D. Carroll misses 2-pt layup from 2 ft,11,16
35,1,7:05.0,Defensive rebound by E. Bledsoe,,11,16
36,1,6:58.0,T. Warren misses 3-pt jump shot from 25 ft,,11,16
37,1,6:57.0,,Defensive rebound by K. Lowry,11,16
38,1,6:51.0,,K. Lowry misses 3-pt jump shot from 26 ft,11,16
39,1,6:51.0,Defensive rebound by Team,,11,16
40,1,6:51.0,A. Len enters the game for M. Chriss,,11,16
41,1,6:36.0,Shooting foul by K. Lowry (drawn by T. Chandler),,11,16
42,1,6:36.0,T. Chandler makes free throw 1 of 2,,12,16
43,1,6:36.0,T. Chandler makes free throw 2 of 2,,13,16
44,1,6:18.0,,D. Carroll makes 3-pt jump shot from 25 ft (assist by L. Nogueira),13,19
45,1,6:10.0,D. Booker misses 2-pt layup from 3 ft (block by L. Nogueira),,13,19
