,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,WASHINGTON_ACTION,GOLDEN STATE_SCORE,WASHINGTON_SCORE
0,1,11:47.0,,Turnover by M. Gortat (lost ball; steal by S. Curry),0,0
1,1,11:40.0,K. Durant misses 2-pt layup from 3 ft (block by M. Gortat),,0,0
2,1,11:39.0,,Defensive rebound by M. Gortat,0,0
3,1,11:34.0,,O. Porter makes 2-pt jump shot from 4 ft,0,2
4,1,11:17.0,Turnover by K. Durant (bad pass; steal by O. Porter),,0,2
5,1,11:03.0,,M. Morris misses 2-pt jump shot from 13 ft,0,2
6,1,11:03.0,Defensive rebound by Team,,0,2
7,1,11:03.0,,Loose ball foul by M. Gortat (drawn by Z. Pachulia),0,2
8,1,10:55.0,Z. Pachulia makes 2-pt jump shot from 10 ft (assist by S. Curry),,2,2
9,1,10:43.0,,B. Beal makes 3-pt jump shot from 23 ft (assist by J. Wall),2,5
10,1,10:27.0,Golden State full timeout,,2,5
11,1,10:27.0,P. McCaw enters the game for K. Durant,,2,5
12,1,10:22.0,S. Curry misses 2-pt jump shot from 22 ft,,2,5
13,1,10:21.0,,Defensive rebound by O. Porter,2,5
14,1,10:16.0,,M. Morris makes 2-pt layup from 1 ft (assist by O. Porter),2,7
15,1,10:05.0,Turnover by D. Green (lost ball; steal by B. Beal),,2,7
16,1,10:00.0,,Shooting foul by K. Thompson (drawn by M. Gortat),2,7
17,1,10:00.0,,M. Gortat makes free throw 1 of 2,2,8
18,1,10:00.0,,M. Gortat makes free throw 2 of 2,2,9
19,1,9:43.0,Z. Pachulia makes 2-pt layup at rim (assist by D. Green),,4,9
20,1,9:31.0,,M. Gortat makes 2-pt jump shot from 9 ft (assist by B. Beal),4,11
21,1,9:19.0,Z. Pachulia misses 2-pt layup from 2 ft,,4,11
22,1,9:18.0,,Defensive rebound by M. Gortat,4,11
23,1,9:07.0,,M. Morris misses 3-pt jump shot from 26 ft,4,11
24,1,9:06.0,Defensive rebound by K. Thompson,,4,11
25,1,8:59.0,Offensive foul by Z. Pachulia (drawn by M. Gortat),,4,11
