,QUARTER,TIME_REMAINING,PORTLAND_ACTION,ATLANTA_ACTION,PORTLAND_SCORE,ATLANTA_SCORE
0,1,11:42.0,M. Harkless makes 2-pt hook shot from 5 ft (assist by C. McCollum),,2,0
1,1,11:26.0,,D. Schröder misses 2-pt layup from 3 ft (block by J. Nurkić),2,0
2,1,11:23.0,Defensive rebound by D. Lillard,,2,0
3,1,11:11.0,D. Lillard makes 3-pt jump shot from 24 ft (assist by J. Nurkić),,5,0
4,1,11:11.0,Shooting foul by K. Bazemore (drawn by D. Lillard),,5,0
5,1,11:11.0,D. Lillard makes free throw 1 of 1,,6,0
6,1,10:50.0,,K. Bazemore misses 2-pt jump shot from 12 ft,6,0
7,1,10:48.0,Defensive rebound by J. Nurkić,,6,0
8,1,10:37.0,Turnover by M. Harkless (bad pass; steal by D. Schröder),,6,0
9,1,10:25.0,,D. Schröder misses 2-pt layup from 1 ft,6,0
10,1,10:23.0,Defensive rebound by N. Vonleh,,6,0
11,1,10:16.0,D. Lillard makes 2-pt layup from 2 ft,,8,0
12,1,9:54.0,,E. İlyasova makes 3-pt jump shot from 23 ft (assist by T. Sefolosha),8,3
13,1,9:33.0,Turnover by M. Harkless (bad pass; steal by D. Schröder),,8,3
14,1,9:13.0,,T. Sefolosha misses 3-pt jump shot from 23 ft,8,3
15,1,9:12.0,Defensive rebound by M. Harkless,,8,3
16,1,9:03.0,D. Lillard makes 3-pt jump shot from 28 ft,,11,3
17,1,9:03.0,,Atlanta full timeout,11,3
18,1,8:40.0,,D. Schröder misses 2-pt jump shot from 4 ft,11,3
19,1,8:38.0,Defensive rebound by J. Nurkić,,11,3
20,1,8:30.0,Turnover by N. Vonleh (bad pass; steal by D. Howard),,11,3
21,1,8:25.0,,K. Bazemore misses 2-pt layup from 1 ft,11,3
22,1,8:22.0,Defensive rebound by N. Vonleh,,11,3
23,1,8:18.0,C. McCollum makes 2-pt jump shot from 18 ft,,13,3
24,1,8:03.0,,E. İlyasova misses 3-pt jump shot from 25 ft,13,3
25,1,8:00.0,Defensive rebound by C. McCollum,,13,3
26,1,7:46.0,N. Vonleh makes 2-pt jump shot from 18 ft (assist by C. McCollum),,15,3
27,1,7:30.0,,Turnover by E. İlyasova (bad pass; steal by M. Harkless),15,3
28,1,7:25.0,J. Nurkić makes 2-pt dunk at rim (assist by M. Harkless),,17,3
29,1,7:07.0,,E. İlyasova misses 2-pt layup from 4 ft (block by C. McCollum),17,3
30,1,7:07.0,Defensive rebound by M. Harkless,,17,3
31,1,7:02.0,D. Lillard misses 3-pt jump shot from 24 ft,,17,3
32,1,7:01.0,,Defensive rebound by T. Sefolosha,17,3
33,1,6:49.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by D. Schröder),17,5
34,1,6:26.0,D. Lillard makes 2-pt jump shot from 18 ft (assist by M. Harkless),,19,5
35,1,6:11.0,,D. Howard misses 2-pt hook shot from 3 ft,19,5
36,1,6:09.0,,Offensive rebound by T. Sefolosha,19,5
37,1,6:08.0,,T. Sefolosha misses 2-pt layup from 1 ft,19,5
38,1,6:06.0,Defensive rebound by M. Harkless,,19,5
39,1,5:52.0,,T. Hardaway enters the game for K. Bazemore,19,5
40,1,5:44.0,J. Nurkić makes 2-pt layup from 2 ft (assist by M. Harkless),,21,5
41,1,5:34.0,,T. Sefolosha misses 3-pt jump shot from 25 ft,21,5
42,1,5:33.0,Defensive rebound by J. Nurkić,,21,5
43,1,5:24.0,Turnover by D. Lillard (bad pass; steal by T. Hardaway),,21,5
44,1,5:20.0,,Turnover by T. Hardaway (bad pass; steal by C. McCollum),21,5
45,1,5:16.0,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),,23,5
46,1,5:16.0,,Atlanta full timeout,23,5
47,1,5:16.0,,M. Muscala enters the game for T. Sefolosha,23,5
48,1,5:16.0,,T. Prince enters the game for D. Howard,23,5
49,1,5:16.0,A. Aminu enters the game for N. Vonleh,,23,5
50,1,5:16.0,A. Crabbe enters the game for C. McCollum,,23,5
51,1,5:04.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by D. Schröder),23,8
52,1,4:43.0,M. Harkless makes 3-pt jump shot from 24 ft (assist by J. Nurkić),,26,8
53,1,4:33.0,,Shooting foul by A. Crabbe (drawn by D. Schröder),26,8
54,1,4:33.0,,D. Schröder makes free throw 1 of 2,26,9
55,1,4:33.0,N. Vonleh enters the game for J. Nurkić,,26,9
56,1,4:33.0,,D. Schröder makes free throw 2 of 2,26,10
57,1,4:15.0,A. Aminu misses 3-pt jump shot from 23 ft,,26,10
58,1,4:13.0,,Defensive rebound by D. Schröder,26,10
59,1,4:08.0,,T. Hardaway misses 3-pt jump shot from 25 ft,26,10
60,1,4:05.0,Defensive rebound by D. Lillard,,26,10
61,1,4:00.0,Turnover by D. Lillard (bad pass; steal by D. Schröder),,26,10
62,1,3:56.0,,D. Schröder misses 2-pt layup from 1 ft,26,10
63,1,3:54.0,,Offensive rebound by T. Prince,26,10
64,1,3:54.0,,T. Prince makes 2-pt layup from 1 ft,26,12
65,1,3:35.0,Shooting foul by T. Prince (drawn by A. Aminu),,26,12
66,1,3:35.0,A. Aminu makes free throw 1 of 2,,27,12
67,1,3:35.0,,M. Delaney enters the game for D. Schröder,27,12
