,QUARTER,TIME_REMAINING,HOUSTON_ACTION,ATLANTA_ACTION,HOUSTON_SCORE,ATLANTA_SCORE
0,1,11:44.0,,K. Korver misses 2-pt jump shot from 18 ft (block by T. Ariza),0,0
1,1,11:42.0,Defensive rebound by E. Gordon,,0,0
2,1,11:30.0,J. Harden makes 2-pt layup from 1 ft,,2,0
3,1,11:19.0,,D. Schröder misses 3-pt jump shot from 24 ft,2,0
4,1,11:16.0,Defensive rebound by C. Capela,,2,0
5,1,11:10.0,Personal foul by K. Bazemore (drawn by J. Harden),,2,0
6,1,10:55.0,R. Anderson misses 2-pt jump shot from 18 ft,,2,0
7,1,10:52.0,,Defensive rebound by D. Howard,2,0
8,1,10:42.0,,P. Millsap makes 2-pt jump shot from 5 ft,2,2
9,1,10:32.0,R. Anderson misses 3-pt jump shot from 26 ft,,2,2
10,1,10:31.0,,Defensive rebound by D. Schröder,2,2
11,1,10:27.0,,P. Millsap makes 2-pt layup from 2 ft (assist by D. Schröder),2,4
12,1,10:06.0,Personal foul by P. Millsap (drawn by J. Harden),,2,4
13,1,9:53.0,Turnover by C. Capela (lost ball; steal by D. Howard),,2,4
14,1,9:43.0,,P. Millsap makes 2-pt layup at rim (assist by K. Bazemore),2,6
15,1,9:38.0,J. Harden makes 3-pt jump shot from 26 ft (assist by T. Ariza),,5,6
16,1,9:18.0,,K. Korver makes 3-pt jump shot from 25 ft (assist by D. Howard),5,9
17,1,9:07.0,C. Capela makes 2-pt layup from 2 ft (assist by J. Harden),,7,9
18,1,8:43.0,,P. Millsap misses 2-pt jump shot from 17 ft,7,9
19,1,8:40.0,Defensive rebound by C. Capela,,7,9
20,1,8:33.0,R. Anderson makes 3-pt jump shot from 26 ft (assist by J. Harden),,10,9
21,1,8:16.0,,Personal foul by J. Harden (drawn by K. Bazemore),10,9
22,1,8:11.0,,Offensive foul by D. Howard (drawn by T. Ariza),10,9
23,1,8:11.0,,Turnover by D. Howard (offensive foul),10,9
24,1,8:02.0,E. Gordon misses 3-pt jump shot from 26 ft,,10,9
25,1,8:01.0,,Defensive rebound by Team,10,9
26,1,7:50.0,,D. Schröder misses 2-pt jump shot from 5 ft,10,9
