,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,BROOKLYN_ACTION,GOLDEN STATE_SCORE,BROOKLYN_SCORE
0,1,11:44.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by K. Looney),,3,0
1,1,11:26.0,,B. Lopez makes 2-pt layup from 3 ft,3,2
2,1,11:10.0,K. Thompson misses 2-pt jump shot from 19 ft,,3,2
3,1,11:09.0,,Defensive rebound by B. Lopez,3,2
4,1,10:59.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by J. Lin),3,5
5,1,10:40.0,K. Thompson misses 3-pt jump shot from 25 ft,,3,5
6,1,10:39.0,,Defensive rebound by B. Lopez,3,5
7,1,10:31.0,,J. Lin misses 3-pt jump shot from 25 ft,3,5
8,1,10:30.0,,Offensive rebound by T. Booker,3,5
9,1,10:28.0,,T. Booker misses 2-pt layup from 2 ft,3,5
10,1,10:27.0,Defensive rebound by Z. Pachulia,,3,5
11,1,10:18.0,K. Durant makes 3-pt jump shot from 24 ft (assist by Z. Pachulia),,6,5
12,1,10:03.0,,Turnover by J. Lin (lost ball; steal by K. Thompson),6,5
13,1,10:03.0,Turnover by K. Thompson (lost ball; steal by J. Lin),,6,5
14,1,10:00.0,,B. Bogdanović makes 3-pt jump shot from 27 ft,6,8
15,1,9:46.0,K. Looney misses 2-pt layup from 2 ft (block by B. Lopez),,6,8
16,1,9:44.0,Offensive rebound by K. Looney,,6,8
17,1,9:39.0,K. Looney makes 2-pt dunk at rim (assist by K. Durant),,8,8
18,1,9:29.0,,B. Lopez misses 3-pt jump shot from 25 ft,8,8
19,1,9:27.0,Defensive rebound by K. Looney,,8,8
20,1,9:18.0,Turnover by S. Curry (bad pass; steal by T. Booker),,8,8
21,1,9:07.0,,B. Lopez makes 2-pt jump shot from 9 ft,8,10
22,1,8:55.0,Personal block foul by B. Lopez (drawn by K. Durant),,8,10
23,1,8:50.0,K. Thompson misses 2-pt jump shot from 14 ft,,8,10
24,1,8:49.0,,Defensive rebound by S. Kilpatrick,8,10
