,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PHOENIX_ACTION,WASHINGTON_SCORE,PHOENIX_SCORE
0,1,11:36.0,,T. Warren misses 2-pt jump shot from 12 ft,0,0
1,1,11:32.0,Defensive rebound by M. Gortat,,0,0
2,1,11:17.0,M. Gortat makes 2-pt hook shot from 6 ft,,2,0
3,1,11:07.0,,E. Bledsoe misses 2-pt jump shot from 11 ft,2,0
4,1,11:04.0,Defensive rebound by M. Morris,,2,0
5,1,11:00.0,M. Gortat misses 2-pt layup from 2 ft,,2,0
6,1,10:55.0,,Defensive rebound by T. Warren,2,0
7,1,10:53.0,,D. Booker misses 2-pt jump shot from 18 ft,2,0
8,1,10:47.0,Defensive rebound by M. Gortat,,2,0
9,1,10:32.0,B. Beal makes 2-pt jump shot from 18 ft,,4,0
10,1,10:15.0,,E. Bledsoe makes 2-pt jump shot from 21 ft,4,2
11,1,10:09.0,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),,6,2
12,1,10:01.0,,E. Bledsoe misses 2-pt jump shot from 7 ft,6,2
13,1,10:01.0,Defensive rebound by Team,,6,2
14,1,9:48.0,M. Morris misses 2-pt jump shot from 18 ft,,6,2
15,1,9:46.0,,Defensive rebound by T. Warren,6,2
16,1,9:32.0,,D. Booker makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),6,5
17,1,9:14.0,B. Beal misses 2-pt jump shot from 8 ft,,6,5
18,1,9:10.0,,Defensive rebound by A. Len,6,5
19,1,9:07.0,,Shooting foul by M. Gortat (drawn by E. Bledsoe),6,5
20,1,9:07.0,,E. Bledsoe makes free throw 1 of 2,6,6
21,1,9:07.0,,E. Bledsoe makes free throw 2 of 2,6,7
22,1,8:54.0,Turnover by J. Wall (traveling),,6,7
23,1,8:44.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),6,10
24,1,8:28.0,M. Gortat misses 2-pt jump shot from 14 ft,,6,10
25,1,8:26.0,Offensive rebound by O. Porter,,6,10
26,1,8:23.0,O. Porter misses 2-pt jump shot from 7 ft,,6,10
27,1,8:21.0,,Defensive rebound by M. Chriss,6,10
28,1,8:19.0,,Turnover by E. Bledsoe (bad pass; steal by O. Porter),6,10
29,1,8:03.0,J. Wall makes 2-pt layup at rim,,8,10
30,1,7:53.0,,Shooting block foul by M. Gortat (drawn by A. Len),8,10
31,1,7:53.0,,A. Len makes free throw 1 of 2,8,11
32,1,7:53.0,I. Mahinmi enters the game for M. Gortat,,8,11
33,1,7:53.0,,A. Len makes free throw 2 of 2,8,12
34,1,7:39.0,I. Mahinmi misses 2-pt hook shot from 5 ft,,8,12
35,1,7:37.0,,Defensive rebound by A. Len,8,12
36,1,7:30.0,,E. Bledsoe misses 2-pt jump shot from 17 ft,8,12
37,1,7:28.0,,Offensive rebound by A. Len,8,12
38,1,7:28.0,,Turnover by A. Len (lost ball; steal by B. Beal),8,12
39,1,7:18.0,Def 3 sec tech foul by A. Len,,8,12
40,1,7:18.0,B. Beal makes technical free throw,,9,12
41,1,7:16.0,B. Beal makes 2-pt layup from 2 ft (assist by J. Wall),,11,12
42,1,7:01.0,,T. Warren makes 2-pt jump shot from 11 ft,11,14
43,1,6:41.0,B. Beal makes 2-pt layup from 1 ft,,13,14
44,1,6:35.0,,Turnover by E. Bledsoe (bad pass; steal by M. Morris),13,14
45,1,6:27.0,B. Beal makes 3-pt jump shot from 24 ft (assist by J. Wall),,16,14
46,1,6:03.0,,E. Bledsoe misses 3-pt jump shot from 31 ft,16,14
47,1,6:01.0,Defensive rebound by I. Mahinmi,,16,14
48,1,5:57.0,B. Beal makes 3-pt jump shot from 24 ft (assist by J. Wall),,19,14
49,1,5:56.0,,Phoenix full timeout,19,14
50,1,5:56.0,,A. Williams enters the game for A. Len,19,14
51,1,5:41.0,,Turnover by D. Booker (bad pass; steal by I. Mahinmi),19,14
52,1,5:38.0,Shooting foul by A. Williams (drawn by M. Morris),,19,14
53,1,5:38.0,M. Morris makes free throw 1 of 2,,20,14
54,1,5:38.0,M. Morris makes free throw 2 of 2,,21,14
55,1,5:19.0,,E. Bledsoe misses 2-pt layup from 1 ft,21,14
56,1,5:17.0,Defensive rebound by I. Mahinmi,,21,14
57,1,5:06.0,Shooting foul by M. Chriss (drawn by I. Mahinmi),,21,14
58,1,5:06.0,I. Mahinmi misses free throw 1 of 2,,21,14
59,1,5:06.0,Offensive rebound by Team,,21,14
60,1,5:06.0,B. Bogdanović enters the game for B. Beal,,21,14
61,1,5:06.0,I. Mahinmi makes free throw 2 of 2,,22,14
62,1,4:56.0,,D. Booker misses 2-pt jump shot from 18 ft,22,14
63,1,4:54.0,,Offensive rebound by M. Chriss,22,14
64,1,4:54.0,,M. Chriss misses 2-pt layup from 2 ft,22,14
65,1,4:53.0,Defensive rebound by B. Bogdanović,,22,14
66,1,4:48.0,Turnover by I. Mahinmi (traveling),,22,14
