,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ATLANTA_ACTION,BROOKLYN_SCORE,ATLANTA_SCORE
0,1,11:46.0,Turnover by J. Lin (lost ball),,0,0
1,1,11:35.0,,Turnover by E. İlyasova (traveling),0,0
2,1,11:24.0,B. Lopez misses 2-pt jump shot from 9 ft,,0,0
3,1,11:22.0,,Defensive rebound by D. Howard,0,0
4,1,11:14.0,,Shooting foul by R. Hollis-Jefferson (drawn by D. Howard),0,0
5,1,11:14.0,,D. Howard makes free throw 1 of 2,0,1
6,1,11:14.0,,D. Howard misses free throw 2 of 2,0,1
7,1,11:13.0,Defensive rebound by B. Lopez,,0,1
8,1,11:02.0,Turnover by B. Lopez (bad pass; steal by D. Howard),,0,1
9,1,10:57.0,,T. Prince makes 2-pt layup from 1 ft (assist by D. Schröder),0,3
10,1,10:44.0,Turnover by C. LeVert (bad pass; steal by T. Hardaway),,0,3
11,1,10:34.0,,D. Schröder misses 2-pt jump shot from 12 ft,0,3
12,1,10:31.0,Defensive rebound by C. LeVert,,0,3
13,1,10:18.0,B. Lopez makes 2-pt jump shot from 11 ft (assist by J. Lin),,2,3
14,1,10:04.0,,D. Howard misses 2-pt layup from 2 ft,2,3
15,1,10:00.0,Defensive rebound by R. Hollis-Jefferson,,2,3
16,1,9:56.0,R. Hollis-Jefferson misses 2-pt jump shot from 5 ft,,2,3
17,1,9:55.0,,Defensive rebound by E. İlyasova,2,3
18,1,9:42.0,,D. Schröder misses 2-pt layup from 4 ft,2,3
19,1,9:40.0,Defensive rebound by R. Foye,,2,3
20,1,9:36.0,,Violation by T. Prince (def goaltending),2,3
21,1,9:36.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by R. Foye),,4,3
22,1,9:24.0,,T. Prince misses 2-pt jump shot from 18 ft,4,3
23,1,9:23.0,Defensive rebound by R. Hollis-Jefferson,,4,3
24,1,9:16.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by R. Hollis-Jefferson),,7,3
25,1,8:56.0,,D. Schröder makes 2-pt layup at rim (assist by T. Hardaway),7,5
26,1,8:42.0,Shooting foul by E. İlyasova (drawn by J. Lin),,7,5
27,1,8:42.0,J. Lin makes 2-pt layup from 3 ft,,9,5
28,1,8:42.0,J. Lin makes free throw 1 of 1,,10,5
29,1,8:31.0,,T. Hardaway misses 2-pt jump shot from 19 ft,10,5
30,1,8:28.0,,Offensive rebound by D. Howard,10,5
31,1,8:26.0,,Turnover by D. Howard (lost ball; steal by R. Foye),10,5
32,1,8:17.0,B. Lopez misses 3-pt jump shot from 25 ft,,10,5
33,1,8:16.0,,Defensive rebound by T. Hardaway,10,5
34,1,8:09.0,,T. Hardaway misses 3-pt jump shot from 25 ft,10,5
35,1,8:07.0,,Offensive rebound by E. İlyasova,10,5
36,1,8:05.0,,E. İlyasova makes 2-pt layup from 1 ft,10,7
37,1,7:46.0,R. Hollis-Jefferson misses 2-pt jump shot from 8 ft,,10,7
38,1,7:43.0,,Defensive rebound by E. İlyasova,10,7
39,1,7:33.0,,T. Prince misses 2-pt jump shot from 14 ft,10,7
40,1,7:29.0,Defensive rebound by B. Lopez,,10,7
41,1,7:25.0,R. Foye misses 3-pt jump shot from 24 ft,,10,7
42,1,7:21.0,,Defensive rebound by D. Howard,10,7
43,1,7:12.0,,Turnover by D. Howard (lost ball; steal by J. Lin),10,7
44,1,7:01.0,Q. Acy enters the game for R. Hollis-Jefferson,,10,7
45,1,6:51.0,J. Lin misses 2-pt layup from 1 ft,,10,7
46,1,6:49.0,,Defensive rebound by D. Howard,10,7
47,1,6:41.0,,T. Prince makes 3-pt jump shot from 24 ft (assist by D. Schröder),10,10
48,1,6:26.0,C. LeVert misses 3-pt jump shot from 25 ft,,10,10
49,1,6:24.0,,Defensive rebound by D. Schröder,10,10
50,1,6:19.0,,D. Howard makes 2-pt hook shot from 2 ft (assist by T. Hardaway),10,12
51,1,6:19.0,,Shooting foul by B. Lopez (drawn by D. Howard),10,12
52,1,6:19.0,Brooklyn full timeout,,10,12
53,1,6:19.0,,D. Howard misses free throw 1 of 1,10,12
54,1,6:17.0,Defensive rebound by Q. Acy,,10,12
55,1,6:00.0,J. Lin misses 3-pt jump shot from 25 ft,,10,12
56,1,5:56.0,,Defensive rebound by D. Schröder,10,12
57,1,5:51.0,,D. Schröder misses 2-pt layup from 1 ft,10,12
58,1,5:45.0,,Offensive rebound by D. Howard,10,12
59,1,5:45.0,,D. Howard makes 2-pt dunk at rim,10,14
60,1,5:38.0,Shooting foul by T. Prince (drawn by B. Lopez),,10,14
61,1,5:38.0,B. Lopez makes free throw 1 of 2,,11,14
62,1,5:38.0,B. Lopez misses free throw 2 of 2,,11,14
63,1,5:38.0,,Defensive rebound by D. Howard,11,14
64,1,5:38.0,I. Whitehead enters the game for R. Foye,,11,14
65,1,5:38.0,K. McDaniels enters the game for C. LeVert,,11,14
66,1,5:38.0,,M. Dunleavy enters the game for T. Prince,11,14
67,1,5:27.0,,D. Schröder misses 2-pt jump shot from 20 ft,11,14
68,1,5:26.0,Defensive rebound by Q. Acy,,11,14
69,1,5:17.0,I. Whitehead makes 2-pt layup from 1 ft (assist by J. Lin),,13,14
70,1,5:03.0,,Turnover by D. Schröder (bad pass),13,14
71,1,4:52.0,J. Lin makes 2-pt layup from 2 ft,,15,14
72,1,4:52.0,,Atlanta full timeout,15,14
73,1,4:38.0,,D. Howard makes 2-pt hook shot from 5 ft (assist by E. İlyasova),15,16
74,1,4:25.0,B. Lopez misses 2-pt jump shot from 11 ft,,15,16
75,1,4:21.0,,Defensive rebound by E. İlyasova,15,16
76,1,4:16.0,,Turnover by D. Schröder (lost ball; steal by Q. Acy),15,16
77,1,4:06.0,J. Lin misses 2-pt jump shot from 17 ft,,15,16
78,1,4:05.0,Offensive rebound by B. Lopez,,15,16
79,1,4:04.0,Shooting foul by D. Schröder (drawn by B. Lopez),,15,16
80,1,4:04.0,B. Lopez makes free throw 1 of 2,,16,16
81,1,4:04.0,,M. Muscala enters the game for E. İlyasova,16,16
82,1,4:04.0,S. Dinwiddie enters the game for J. Lin,,16,16
83,1,4:04.0,B. Lopez makes free throw 2 of 2,,17,16
84,1,3:49.0,,Personal foul by S. Dinwiddie (drawn by D. Howard),17,16
85,1,3:49.0,T. Booker enters the game for B. Lopez,,17,16
86,1,3:42.0,,M. Muscala misses 3-pt jump shot from 25 ft,17,16
87,1,3:41.0,Defensive rebound by K. McDaniels,,17,16
88,1,3:34.0,K. McDaniels makes 2-pt jump shot from 20 ft,,19,16
89,1,3:24.0,,Personal foul by T. Booker (drawn by D. Howard),19,16
90,1,3:24.0,,K. Humphries enters the game for D. Howard,19,16
91,1,3:19.0,,Personal foul by I. Whitehead (drawn by T. Hardaway),19,16
92,1,3:19.0,,T. Hardaway makes free throw 1 of 2,19,17
93,1,3:19.0,,D. Bembry enters the game for D. Schröder,19,17
94,1,3:19.0,,T. Hardaway makes free throw 2 of 2,19,18
95,1,3:06.0,I. Whitehead misses 2-pt jump shot from 5 ft,,19,18
96,1,3:04.0,Offensive rebound by I. Whitehead,,19,18
97,1,3:04.0,I. Whitehead makes 2-pt layup from 1 ft,,21,18
98,1,2:52.0,,D. Bembry misses 3-pt jump shot from 25 ft,21,18
99,1,2:50.0,Defensive rebound by T. Booker,,21,18
100,1,2:38.0,Turnover by S. Dinwiddie (bad pass; steal by M. Dunleavy),,21,18
101,1,2:32.0,,Turnover by M. Dunleavy (bad pass; steal by S. Dinwiddie),21,18
