,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MILWAUKEE_ACTION,CHARLOTTE_SCORE,MILWAUKEE_SCORE
0,1,11:45.0,Violation by C. Zeller (kicked ball),,0,0
1,1,11:33.0,,Turnover by K. Middleton (bad pass; steal by N. Batum),0,0
2,1,11:24.0,Shooting foul by T. Maker (drawn by C. Zeller),,0,0
3,1,11:24.0,C. Zeller makes free throw 1 of 2,,1,0
4,1,11:24.0,C. Zeller makes free throw 2 of 2,,2,0
5,1,11:07.0,,M. Brogdon misses 3-pt jump shot from 26 ft,2,0
6,1,11:05.0,,Offensive rebound by T. Maker,2,0
7,1,11:03.0,,T. Maker misses 2-pt layup from 1 ft (block by C. Zeller),2,0
8,1,11:00.0,Defensive rebound by M. Kidd-Gilchrist,,2,0
9,1,10:53.0,,Offensive charge foul by M. Williams (drawn by T. Maker),2,0
10,1,10:53.0,Turnover by M. Williams (offensive foul),,2,0
11,1,10:41.0,,G. Antetokounmpo misses 2-pt dunk at rim,2,0
12,1,10:38.0,Defensive rebound by M. Williams,,2,0
13,1,10:22.0,C. Zeller misses 2-pt jump shot from 18 ft,,2,0
14,1,10:21.0,,Defensive rebound by K. Middleton,2,0
15,1,10:08.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by T. Snell),2,2
16,1,9:47.0,N. Batum makes 2-pt jump shot from 17 ft,,4,2
17,1,9:32.0,,M. Brogdon misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),4,2
18,1,9:29.0,Defensive rebound by B. Roberts,,4,2
19,1,9:20.0,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,,4,2
20,1,9:18.0,,Defensive rebound by G. Antetokounmpo,4,2
21,1,9:13.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,4,4
22,1,8:54.0,B. Roberts misses 3-pt jump shot from 27 ft,,4,4
23,1,8:53.0,,Defensive rebound by G. Antetokounmpo,4,4
24,1,8:44.0,,T. Snell makes 3-pt jump shot from 27 ft (assist by T. Maker),4,7
25,1,8:28.0,M. Kidd-Gilchrist makes 2-pt layup at rim (assist by B. Roberts),,6,7
26,1,8:14.0,,Turnover by T. Snell (illegal screen),6,7
27,1,8:02.0,N. Batum misses 3-pt jump shot from 26 ft,,6,7
28,1,8:00.0,,Defensive rebound by K. Middleton,6,7
29,1,7:53.0,,T. Maker makes 2-pt dunk at rim (assist by K. Middleton),6,9
30,1,7:38.0,Turnover by B. Roberts (bad pass),,6,9
31,1,7:24.0,,M. Brogdon makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),6,12
32,1,7:03.0,M. Williams makes 2-pt jump shot from 6 ft (assist by N. Batum),,8,12
33,1,6:49.0,,K. Middleton makes 3-pt jump shot from 23 ft (assist by T. Snell),8,15
34,1,6:44.0,Charlotte full timeout,,8,15
35,1,6:31.0,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,,8,15
36,1,6:30.0,,Defensive rebound by G. Antetokounmpo,8,15
37,1,6:15.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,8,15
38,1,6:14.0,Defensive rebound by C. Zeller,,8,15
39,1,6:02.0,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,,8,15
40,1,6:01.0,,Defensive rebound by G. Antetokounmpo,8,15
41,1,5:55.0,,Turnover by G. Antetokounmpo (bad pass; steal by B. Roberts),8,15
42,1,5:51.0,B. Roberts misses 2-pt layup from 1 ft (block by G. Antetokounmpo),,8,15
43,1,5:51.0,Offensive rebound by Team,,8,15
44,1,5:51.0,,G. Monroe enters the game for T. Maker,8,15
45,1,5:51.0,,M. Dellavedova enters the game for M. Brogdon,8,15
46,1,5:39.0,Turnover by C. Zeller (lost ball; steal by G. Monroe),,8,15
