,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CLEVELAND_ACTION,HOUSTON_SCORE,CLEVELAND_SCORE
128,2,8:18.0,,L. James makes 2-pt jump shot from 12 ft,41,43
129,2,8:03.0,E. Gordon misses 3-pt jump shot from 25 ft,,41,43
130,2,8:03.0,,Defensive rebound by M. Dunleavy,41,43
131,2,7:54.0,,C. Frye misses 2-pt layup from 2 ft,41,43
132,2,7:53.0,,Offensive rebound by C. Frye,41,43
133,2,7:53.0,,Shooting foul by T. Ariza (drawn by C. Frye),41,43
134,2,7:53.0,,C. Frye makes free throw 1 of 2,41,44
135,2,7:53.0,,K. Irving enters the game for I. Shumpert,41,44
136,2,7:53.0,,C. Frye makes free throw 2 of 2,41,45
137,2,7:32.0,R. Anderson misses 3-pt jump shot from 23 ft,,41,45
138,2,7:31.0,,Defensive rebound by M. Dunleavy,41,45
139,2,7:21.0,,R. Jefferson misses 3-pt jump shot from 24 ft,41,45
140,2,7:21.0,Defensive rebound by C. Brewer,,41,45
141,2,7:09.0,E. Gordon misses 2-pt jump shot from 6 ft,,41,45
142,2,7:07.0,,Defensive rebound by L. James,41,45
143,2,7:00.0,,M. Dunleavy misses 3-pt jump shot from 24 ft,41,45
144,2,6:59.0,,Offensive rebound by L. James,41,45
145,2,6:57.0,,L. James misses 2-pt layup from 1 ft,41,45
146,2,6:56.0,,Offensive rebound by L. James,41,45
147,2,6:56.0,,L. James makes 2-pt dunk at rim,41,47
148,2,6:35.0,B. Brown misses 2-pt layup at rim,,41,47
149,2,6:33.0,,Defensive rebound by M. Dunleavy,41,47
150,2,6:28.0,,K. Irving makes 3-pt jump shot from 24 ft (assist by M. Dunleavy),41,50
151,2,6:28.0,Houston full timeout,,41,50
152,2,6:28.0,J. Harden enters the game for C. Brewer,,41,50
153,2,6:28.0,Violation by Team (delay of game),,41,50
154,2,6:09.0,R. Anderson misses 2-pt jump shot from 9 ft,,41,50
155,2,6:09.0,,Defensive rebound by R. Jefferson,41,50
156,2,6:02.0,,C. Frye misses 3-pt jump shot from 24 ft,41,50
157,2,6:02.0,Defensive rebound by E. Gordon,,41,50
158,2,5:53.0,J. Harden makes 2-pt jump shot from 10 ft,,43,50
159,2,5:44.0,,Personal foul by T. Ariza (drawn by L. James),43,50
