,QUARTER,TIME_REMAINING,CHICAGO_ACTION,OKLAHOMA CITY_ACTION,CHICAGO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:40.0,,D. Sabonis misses 2-pt hook shot from 5 ft,0,0
1,1,11:40.0,Defensive rebound by T. Gibson,,0,0
2,1,11:24.0,D. Wade misses 2-pt jump shot from 10 ft,,0,0
3,1,11:23.0,,Defensive rebound by R. Westbrook,0,0
4,1,11:19.0,,Personal foul by R. Lopez (drawn by S. Adams),0,0
5,1,11:06.0,,A. Roberson makes 3-pt jump shot from 22 ft (assist by R. Westbrook),0,3
6,1,10:45.0,J. Butler makes 2-pt jump shot from 19 ft,,2,3
7,1,10:29.0,,Turnover by V. Oladipo (bad pass; steal by J. Butler),2,3
8,1,10:20.0,J. Butler misses 2-pt jump shot from 22 ft,,2,3
9,1,10:20.0,,Defensive rebound by D. Sabonis,2,3
10,1,10:10.0,,R. Westbrook misses 2-pt jump shot from 17 ft,2,3
11,1,10:09.0,Defensive rebound by D. Wade,,2,3
12,1,9:58.0,R. Lopez makes 2-pt jump shot from 18 ft (assist by D. Wade),,4,3
13,1,9:34.0,,V. Oladipo misses 3-pt jump shot from 24 ft,4,3
14,1,9:34.0,Defensive rebound by Team,,4,3
15,1,9:15.0,J. Butler misses 2-pt layup from 1 ft (block by A. Roberson),,4,3
16,1,9:14.0,,Defensive rebound by R. Westbrook,4,3
17,1,9:09.0,,R. Westbrook makes 2-pt layup at rim,4,5
18,1,8:46.0,J. Grant makes 2-pt jump shot from 15 ft,,6,5
19,1,8:22.0,,D. Sabonis misses 2-pt hook shot from 7 ft,6,5
20,1,8:21.0,Defensive rebound by T. Gibson,,6,5
21,1,8:15.0,Turnover by J. Grant (bad pass; steal by R. Westbrook),,6,5
22,1,8:09.0,,A. Roberson misses 3-pt jump shot from 25 ft,6,5
23,1,8:08.0,,Offensive rebound by Team,6,5
24,1,8:08.0,Loose ball foul by D. Wade (drawn by D. Sabonis),,6,5
25,1,7:54.0,,S. Adams misses 2-pt layup from 2 ft (block by R. Lopez),6,5
26,1,7:53.0,Defensive rebound by D. Wade,,6,5
27,1,7:47.0,D. Wade misses 2-pt jump shot from 6 ft,,6,5
28,1,7:47.0,,Defensive rebound by S. Adams,6,5
