,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,BOSTON_ACTION,NEW ORLEANS_SCORE,BOSTON_SCORE
0,1,11:43.0,Shooting foul by A. Horford (drawn by A. Davis),,0,0
1,1,11:43.0,A. Davis misses free throw 1 of 2,,0,0
2,1,11:43.0,Offensive rebound by Team,,0,0
3,1,11:43.0,A. Davis makes free throw 2 of 2,,1,0
4,1,11:25.0,,A. Horford misses 2-pt jump shot from 14 ft,1,0
5,1,11:24.0,Defensive rebound by A. Davis,,1,0
6,1,11:14.0,A. Davis makes 2-pt jump shot from 21 ft (assist by J. Holiday),,3,0
7,1,10:49.0,,A. Horford misses 2-pt jump shot from 15 ft,3,0
8,1,10:48.0,Defensive rebound by A. Davis,,3,0
9,1,10:39.0,B. Hield makes 3-pt jump shot from 25 ft (assist by J. Holiday),,6,0
10,1,10:23.0,,I. Thomas misses 2-pt jump shot from 19 ft,6,0
11,1,10:22.0,Defensive rebound by A. Davis,,6,0
12,1,10:14.0,A. Davis makes 2-pt jump shot from 17 ft (assist by J. Holiday),,8,0
13,1,9:59.0,,Turnover by M. Smart (bad pass; steal by J. Holiday),8,0
14,1,9:52.0,D. Cunningham misses 3-pt jump shot from 23 ft,,8,0
15,1,9:51.0,,Defensive rebound by M. Smart,8,0
16,1,9:36.0,,J. Crowder makes 2-pt layup from 1 ft (assist by A. Horford),8,2
17,1,9:20.0,B. Hield misses 2-pt layup from 2 ft,,8,2
18,1,9:19.0,,Defensive rebound by J. Crowder,8,2
19,1,9:11.0,,I. Thomas makes 2-pt jump shot from 4 ft,8,4
20,1,9:02.0,J. Holiday makes 2-pt layup from 1 ft,,10,4
21,1,8:43.0,,A. Horford misses 2-pt hook shot from 13 ft,10,4
22,1,8:42.0,Defensive rebound by B. Hield,,10,4
23,1,8:32.0,Shooting foul by A. Johnson (drawn by A. Davis),,10,4
24,1,8:32.0,A. Davis makes free throw 1 of 2,,11,4
25,1,8:32.0,A. Davis makes free throw 2 of 2,,12,4
26,1,8:21.0,,Turnover by A. Johnson (lost ball; steal by D. Cunningham),12,4
27,1,8:18.0,D. Cunningham misses 2-pt layup from 1 ft (block by A. Johnson),,12,4
28,1,8:17.0,Offensive rebound by Team,,12,4
29,1,8:14.0,A. Davis makes 2-pt jump shot from 20 ft (assist by J. Holiday),,14,4
