,QUARTER,TIME_REMAINING,INDIANA_ACTION,ORLANDO_ACTION,INDIANA_SCORE,ORLANDO_SCORE
0,1,11:39.0,,N. Vučević misses 2-pt hook shot from 7 ft,0,0
1,1,11:38.0,Defensive rebound by M. Turner,,0,0
2,1,11:33.0,Turnover by M. Ellis (bad pass; steal by T. Ross),,0,0
3,1,11:24.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by A. Gordon),0,3
4,1,11:06.0,M. Turner makes 2-pt layup from 2 ft (assist by J. Teague),,2,3
5,1,10:52.0,,E. Fournier misses 2-pt jump shot from 19 ft,2,3
6,1,10:51.0,Defensive rebound by M. Turner,,2,3
7,1,10:42.0,J. Teague misses 2-pt jump shot from 9 ft,,2,3
8,1,10:40.0,,Defensive rebound by T. Ross,2,3
9,1,10:30.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by N. Vučević),2,6
10,1,10:05.0,P. George misses 3-pt jump shot from 22 ft,,2,6
11,1,10:03.0,,Defensive rebound by E. Payton,2,6
12,1,9:55.0,,T. Ross makes 3-pt jump shot from 26 ft (assist by E. Payton),2,9
13,1,9:42.0,M. Turner makes 2-pt jump shot from 4 ft (assist by J. Teague),,4,9
14,1,9:42.0,Shooting foul by N. Vučević (drawn by M. Turner),,4,9
15,1,9:42.0,M. Turner makes free throw 1 of 1,,5,9
16,1,9:30.0,,Turnover by T. Ross (lost ball; steal by J. Teague),5,9
17,1,9:11.0,T. Young makes 2-pt hook shot from 3 ft (assist by M. Turner),,7,9
18,1,8:59.0,,Turnover by T. Ross (lost ball; steal by J. Teague),7,9
19,1,8:46.0,J. Teague makes 3-pt jump shot from 27 ft (assist by M. Ellis),,10,9
20,1,8:34.0,,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),10,11
21,1,8:15.0,P. George makes 2-pt jump shot from 11 ft,,12,11
22,1,8:01.0,,E. Payton misses 2-pt layup from 2 ft (block by T. Young),12,11
23,1,8:01.0,,Offensive rebound by Team,12,11
24,1,7:58.0,,N. Vučević makes 2-pt jump shot from 18 ft (assist by A. Gordon),12,13
25,1,7:43.0,Shooting foul by T. Ross (drawn by P. George),,12,13
26,1,7:43.0,P. George makes free throw 1 of 3,,13,13
27,1,7:43.0,P. George makes free throw 2 of 3,,14,13
28,1,7:43.0,P. George makes free throw 3 of 3,,15,13
29,1,7:29.0,,Shooting foul by M. Ellis (drawn by E. Fournier),15,13
30,1,7:29.0,,E. Fournier makes free throw 1 of 2,15,14
31,1,7:29.0,,E. Fournier makes free throw 2 of 2,15,15
32,1,7:12.0,M. Turner makes 2-pt jump shot from 17 ft (assist by M. Ellis),,17,15
33,1,6:49.0,,A. Gordon makes 2-pt jump shot from 16 ft,17,17
34,1,6:32.0,P. George makes 2-pt layup from 1 ft,,19,17
35,1,6:16.0,,N. Vučević makes 2-pt hook shot from 8 ft (assist by E. Payton),19,19
36,1,6:11.0,Turnover by M. Turner (bad pass; steal by A. Gordon),,19,19
37,1,6:01.0,,E. Payton misses 2-pt layup from 2 ft,19,19
38,1,5:59.0,Defensive rebound by P. George,,19,19
39,1,5:54.0,M. Ellis misses 2-pt layup from 2 ft,,19,19
40,1,5:52.0,,Defensive rebound by N. Vučević,19,19
41,1,5:46.0,,E. Payton makes 2-pt layup from 1 ft,19,21
42,1,5:40.0,T. Young makes 2-pt dunk at rim (assist by J. Teague),,21,21
43,1,5:39.0,,Orlando full timeout,21,21
44,1,5:19.0,,A. Gordon misses 2-pt jump shot from 13 ft,21,21
45,1,5:17.0,Defensive rebound by J. Teague,,21,21
46,1,5:07.0,Turnover by P. George (offensive foul),,21,21
47,1,5:07.0,,Offensive charge foul by P. George (drawn by E. Fournier),21,21
48,1,4:51.0,,N. Vučević misses 2-pt jump shot from 10 ft,21,21
49,1,4:50.0,Defensive rebound by P. George,,21,21
50,1,4:34.0,M. Ellis misses 2-pt jump shot from 11 ft,,21,21
51,1,4:33.0,,Defensive rebound by N. Vučević,21,21
52,1,4:25.0,,E. Fournier makes 3-pt jump shot from 27 ft (assist by E. Payton),21,24
53,1,4:14.0,J. Teague misses 2-pt jump shot from 9 ft,,21,24
54,1,4:13.0,,Defensive rebound by N. Vučević,21,24
55,1,4:08.0,,E. Payton misses 2-pt layup from 1 ft (block by M. Turner),21,24
56,1,4:06.0,Defensive rebound by J. Teague,,21,24
57,1,3:59.0,P. George makes 3-pt jump shot from 26 ft (assist by J. Teague),,24,24
58,1,3:44.0,,A. Gordon makes 3-pt jump shot from 25 ft (assist by N. Vučević),24,27
59,1,3:30.0,T. Young makes 2-pt layup from 2 ft,,26,27
60,1,3:16.0,,T. Ross misses 2-pt jump shot from 21 ft,26,27
61,1,3:15.0,Defensive rebound by M. Turner,,26,27
62,1,3:14.0,Personal foul by T. Ross (drawn by P. George),,26,27
63,1,3:14.0,,M. Hezonja enters the game for T. Ross,26,27
64,1,3:14.0,K. Séraphin enters the game for M. Turner,,26,27
65,1,3:08.0,Personal foul by E. Fournier (drawn by J. Teague),,26,27
66,1,3:08.0,J. Teague makes free throw 1 of 2,,27,27
67,1,3:08.0,C. Miles enters the game for P. George,,27,27
68,1,3:08.0,J. Teague makes free throw 2 of 2,,28,27
69,1,2:57.0,,E. Fournier makes 2-pt layup from 3 ft (assist by N. Vučević),28,29
70,1,2:57.0,,Shooting foul by T. Young (drawn by E. Fournier),28,29
71,1,2:57.0,Indiana full timeout,,28,29
72,1,2:57.0,,E. Fournier misses free throw 1 of 1,28,29
73,1,2:57.0,,B. Biyombo enters the game for N. Vučević,28,29
74,1,2:55.0,Defensive rebound by T. Young,,28,29
