,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MEMPHIS_ACTION,CHARLOTTE_SCORE,MEMPHIS_SCORE
0,1,11:39.0,,M. Conley misses 3-pt jump shot from 25 ft,0,0
1,1,11:38.0,,Offensive rebound by T. Allen,0,0
2,1,11:26.0,,Turnover by M. Gasol (lost ball),0,0
3,1,11:17.0,Turnover by C. Zeller (lost ball; steal by T. Williams),,0,0
4,1,11:06.0,,T. Allen misses 2-pt jump shot from 5 ft,0,0
5,1,11:05.0,,Offensive rebound by T. Allen,0,0
6,1,11:05.0,,T. Allen misses 2-pt layup from 1 ft (block by M. Kidd-Gilchrist),0,0
7,1,11:03.0,Defensive rebound by C. Zeller,,0,0
8,1,10:52.0,M. Kidd-Gilchrist makes 2-pt jump shot from 18 ft (assist by K. Walker),,2,0
9,1,10:35.0,,T. Allen misses 2-pt jump shot from 12 ft,2,0
10,1,10:33.0,Defensive rebound by F. Kaminsky,,2,0
11,1,10:18.0,K. Walker misses 3-pt jump shot from 25 ft,,2,0
12,1,10:17.0,Offensive rebound by C. Zeller,,2,0
13,1,10:09.0,F. Kaminsky makes 2-pt jump shot from 8 ft (assist by M. Kidd-Gilchrist),,4,0
14,1,9:51.0,,J. Green misses 2-pt layup from 1 ft,4,0
15,1,9:51.0,,Offensive rebound by Team,4,0
16,1,9:46.0,,T. Williams misses 2-pt jump shot from 20 ft,4,0
17,1,9:46.0,Defensive rebound by C. Zeller,,4,0
18,1,9:30.0,Turnover by K. Walker (lost ball; steal by M. Conley),,4,0
19,1,9:24.0,,M. Conley makes 3-pt jump shot from 26 ft (assist by J. Green),4,3
20,1,9:04.0,M. Kidd-Gilchrist makes 2-pt dunk at rim,,6,3
21,1,8:56.0,,Personal foul by C. Zeller (drawn by M. Gasol),6,3
22,1,8:43.0,,M. Gasol misses 2-pt layup from 1 ft,6,3
23,1,8:41.0,Defensive rebound by F. Kaminsky,,6,3
24,1,8:39.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by T. Allen),,6,3
25,1,8:39.0,Offensive rebound by Team,,6,3
26,1,8:33.0,K. Walker makes 3-pt jump shot from 23 ft (assist by F. Kaminsky),,9,3
27,1,8:18.0,,J. Green misses 3-pt jump shot from 23 ft,9,3
28,1,8:18.0,Defensive rebound by M. Kidd-Gilchrist,,9,3
29,1,8:08.0,F. Kaminsky makes 2-pt jump shot from 7 ft (assist by K. Walker),,11,3
30,1,8:02.0,,Memphis full timeout,11,3
31,1,7:47.0,,T. Williams misses 3-pt jump shot from 26 ft,11,3
32,1,7:46.0,Defensive rebound by C. Zeller,,11,3
33,1,7:34.0,N. Batum makes 2-pt jump shot from 22 ft (assist by K. Walker),,13,3
34,1,7:22.0,,M. Gasol makes 2-pt jump shot from 10 ft (assist by M. Conley),13,5
35,1,7:22.0,,Violation by Team (delay of game),13,5
36,1,7:10.0,Turnover by N. Batum (lost ball; steal by T. Allen),,13,5
37,1,7:06.0,,T. Allen makes 2-pt layup at rim,13,7
38,1,6:48.0,K. Walker misses 3-pt jump shot from 25 ft,,13,7
39,1,6:44.0,Offensive rebound by M. Kidd-Gilchrist,,13,7
40,1,6:44.0,M. Kidd-Gilchrist misses 2-pt layup from 1 ft,,13,7
41,1,6:43.0,Offensive rebound by M. Kidd-Gilchrist,,13,7
42,1,6:40.0,F. Kaminsky makes 2-pt jump shot from 7 ft (assist by M. Kidd-Gilchrist),,15,7
43,1,6:27.0,,M. Gasol makes 2-pt jump shot from 13 ft (assist by M. Conley),15,9
44,1,6:14.0,Turnover by K. Walker (lost ball; steal by M. Conley),,15,9
45,1,6:10.0,,T. Allen makes 2-pt layup from 1 ft (assist by T. Williams),15,11
46,1,6:10.0,,Shooting foul by C. Zeller (drawn by T. Allen),15,11
47,1,6:10.0,,V. Carter enters the game for T. Williams,15,11
48,1,6:10.0,,A. Harrison enters the game for M. Conley,15,11
