,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SACRAMENTO_ACTION,LA LAKERS_SCORE,SACRAMENTO_SCORE
0,1,11:33.0,T. Mozgov makes 2-pt layup from 3 ft (assist by N. Young),,2,0
1,1,11:09.0,,D. Cousins misses 2-pt jump shot from 13 ft,2,0
2,1,11:09.0,Defensive rebound by L. Deng,,2,0
3,1,11:01.0,Turnover by J. Randle (lost ball; steal by R. Gay),,2,0
4,1,10:55.0,,A. Afflalo misses 2-pt jump shot from 4 ft,2,0
5,1,10:53.0,Defensive rebound by L. Deng,,2,0
6,1,10:49.0,J. Randle makes 2-pt dunk at rim (assist by L. Deng),,4,0
7,1,10:31.0,,K. Koufos makes 2-pt jump shot from 14 ft,4,2
8,1,10:18.0,Turnover by D. Russell (bad pass; steal by D. Cousins),,4,2
9,1,10:08.0,,A. Afflalo makes 3-pt jump shot from 23 ft (assist by D. Cousins),4,5
10,1,9:49.0,T. Mozgov makes 2-pt jump shot from 7 ft,,6,5
11,1,9:25.0,,D. Cousins makes 2-pt jump shot from 21 ft,6,7
12,1,9:17.0,Offensive foul by J. Randle (drawn by T. Lawson),,6,7
13,1,9:17.0,Turnover by J. Randle (offensive foul),,6,7
14,1,9:04.0,,D. Cousins misses 2-pt jump shot from 8 ft,6,7
15,1,9:03.0,,Offensive rebound by K. Koufos,6,7
16,1,8:57.0,,D. Cousins makes 3-pt jump shot from 24 ft (assist by K. Koufos),6,10
17,1,8:46.0,N. Young makes 3-pt jump shot from 26 ft (assist by J. Randle),,9,10
18,1,8:27.0,,R. Gay makes 2-pt jump shot from 16 ft,9,12
19,1,8:12.0,L. Deng makes 2-pt jump shot from 8 ft (assist by J. Randle),,11,12
20,1,7:57.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by T. Lawson),11,15
21,1,7:43.0,D. Russell misses 3-pt jump shot from 25 ft,,11,15
22,1,7:43.0,,Defensive rebound by R. Gay,11,15
23,1,7:34.0,,D. Cousins misses 3-pt jump shot from 26 ft,11,15
24,1,7:34.0,Defensive rebound by Team,,11,15
25,1,7:07.0,J. Randle misses 3-pt jump shot from 26 ft,,11,15
26,1,7:06.0,,Defensive rebound by D. Cousins,11,15
27,1,6:56.0,,Shooting foul by T. Mozgov (drawn by D. Cousins),11,15
28,1,6:56.0,,D. Cousins makes free throw 1 of 2,11,16
29,1,6:56.0,,D. Cousins makes free throw 2 of 2,11,17
