,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ORLANDO_ACTION,WASHINGTON_SCORE,ORLANDO_SCORE
0,1,11:56.0,,Shooting foul by O. Porter (drawn by A. Gordon),0,0
1,1,11:56.0,,A. Gordon misses free throw 1 of 2,0,0
2,1,11:56.0,,Offensive rebound by Team,0,0
3,1,11:56.0,,A. Gordon makes free throw 2 of 2,0,1
4,1,11:40.0,M. Gortat misses 2-pt jump shot from 11 ft,,0,1
5,1,11:38.0,,Defensive rebound by A. Gordon,0,1
6,1,11:32.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by A. Gordon),0,4
7,1,11:20.0,Turnover by M. Morris (bad pass),,0,4
8,1,11:01.0,,N. Vučević makes 2-pt hook shot from 8 ft,0,6
9,1,10:49.0,Shooting foul by N. Vučević (drawn by B. Beal),,0,6
10,1,10:49.0,B. Beal makes free throw 1 of 2,,1,6
11,1,10:49.0,B. Beal makes free throw 2 of 2,,2,6
12,1,10:24.0,,E. Payton misses 2-pt layup from 3 ft (block by B. Beal),2,6
13,1,10:21.0,Defensive rebound by T. Satoranský,,2,6
14,1,10:12.0,M. Morris misses 2-pt jump shot from 19 ft,,2,6
15,1,10:08.0,,Defensive rebound by E. Fournier,2,6
16,1,10:07.0,,Shooting foul by B. Beal (drawn by E. Fournier),2,6
17,1,10:07.0,,E. Fournier makes free throw 1 of 2,2,7
18,1,10:07.0,,E. Fournier makes free throw 2 of 2,2,8
19,1,9:45.0,T. Satoranský makes 2-pt jump shot from 11 ft,,4,8
20,1,9:37.0,,E. Fournier misses 2-pt jump shot from 10 ft,4,8
21,1,9:36.0,Defensive rebound by O. Porter,,4,8
22,1,9:27.0,M. Gortat makes 2-pt layup at rim (assist by T. Satoranský),,6,8
23,1,9:08.0,,S. Ibaka misses 2-pt hook shot at rim,6,8
24,1,9:07.0,Defensive rebound by O. Porter,,6,8
25,1,8:56.0,B. Beal makes 2-pt layup from 3 ft,,8,8
26,1,8:41.0,,N. Vučević misses 2-pt hook shot from 10 ft,8,8
27,1,8:40.0,Defensive rebound by M. Gortat,,8,8
28,1,8:22.0,T. Satoranský makes 2-pt jump shot from 7 ft,,10,8
29,1,8:00.0,,A. Gordon misses 2-pt jump shot from 19 ft,10,8
30,1,7:58.0,Defensive rebound by O. Porter,,10,8
31,1,7:50.0,M. Morris misses 2-pt jump shot from 7 ft,,10,8
32,1,7:49.0,,Defensive rebound by N. Vučević,10,8
33,1,7:45.0,,S. Ibaka makes 2-pt dunk at rim (assist by A. Gordon),10,10
