,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,PORTLAND_ACTION,OKLAHOMA CITY_SCORE,PORTLAND_SCORE
0,1,11:36.0,A. Roberson makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,3,0
1,1,11:10.0,,N. Vonleh makes 2-pt jump shot from 19 ft,3,2
2,1,10:45.0,S. Adams misses 2-pt hook shot from 7 ft,,3,2
3,1,10:44.0,,Defensive rebound by M. Plumlee,3,2
4,1,10:33.0,Violation by S. Adams (kicked ball),,3,2
5,1,10:29.0,,D. Lillard misses 3-pt jump shot from 26 ft,3,2
6,1,10:29.0,Defensive rebound by D. Sabonis,,3,2
7,1,10:20.0,S. Adams makes 2-pt layup from 2 ft,,5,2
8,1,10:20.0,Shooting foul by M. Plumlee (drawn by S. Adams),,5,2
9,1,10:20.0,S. Adams makes free throw 1 of 1,,6,2
10,1,10:05.0,,Shooting foul by D. Sabonis (drawn by M. Plumlee),6,2
11,1,10:05.0,,M. Plumlee makes free throw 1 of 2,6,3
12,1,10:05.0,,M. Plumlee makes free throw 2 of 2,6,4
13,1,9:50.0,J. Grant misses 2-pt layup from 2 ft (block by M. Harkless),,6,4
14,1,9:49.0,,Defensive rebound by M. Harkless,6,4
15,1,9:40.0,,D. Lillard misses 3-pt jump shot from 26 ft,6,4
16,1,9:38.0,Defensive rebound by R. Westbrook,,6,4
17,1,9:32.0,Personal foul by N. Vonleh (drawn by S. Adams),,6,4
18,1,9:23.0,R. Westbrook makes 2-pt dunk at rim,,8,4
19,1,9:07.0,,M. Harkless makes 2-pt layup from 2 ft (assist by D. Lillard),8,6
20,1,8:43.0,S. Adams misses 2-pt hook shot from 4 ft,,8,6
21,1,8:42.0,,Defensive rebound by C. McCollum,8,6
22,1,8:31.0,,M. Plumlee misses 2-pt hook shot from 5 ft,8,6
23,1,8:30.0,Defensive rebound by R. Westbrook,,8,6
