,QUARTER,TIME_REMAINING,ATLANTA_ACTION,SAN ANTONIO_ACTION,ATLANTA_SCORE,SAN ANTONIO_SCORE
0,1,11:46.0,,Turnover by D. Dedmon (bad pass; steal by P. Millsap),0,0
1,1,11:34.0,Turnover by P. Millsap (bad pass; steal by P. Mills),,0,0
2,1,11:28.0,,D. Lee makes 2-pt layup from 1 ft (assist by P. Mills),0,2
3,1,11:04.0,P. Millsap makes 2-pt jump shot from 19 ft (assist by D. Schröder),,2,2
4,1,10:50.0,,Turnover by K. Leonard (bad pass; steal by T. Sefolosha),2,2
5,1,10:44.0,D. Schröder makes 2-pt jump shot from 9 ft (assist by T. Sefolosha),,4,2
6,1,10:26.0,,K. Leonard misses 2-pt jump shot from 10 ft,4,2
7,1,10:25.0,Defensive rebound by D. Howard,,4,2
8,1,10:09.0,P. Millsap misses 2-pt jump shot from 18 ft,,4,2
9,1,10:08.0,,Defensive rebound by K. Leonard,4,2
10,1,9:55.0,,D. Green misses 2-pt jump shot from 16 ft,4,2
11,1,9:54.0,Defensive rebound by T. Sefolosha,,4,2
12,1,9:42.0,Shooting foul by D. Dedmon (drawn by T. Sefolosha),,4,2
13,1,9:42.0,T. Sefolosha makes free throw 1 of 2,,5,2
14,1,9:42.0,T. Sefolosha makes free throw 2 of 2,,6,2
15,1,9:27.0,,P. Mills misses 2-pt jump shot from 19 ft,6,2
16,1,9:26.0,Defensive rebound by D. Howard,,6,2
17,1,9:11.0,T. Sefolosha misses 2-pt jump shot from 20 ft,,6,2
18,1,9:10.0,,Defensive rebound by Team,6,2
19,1,9:10.0,Loose ball foul by D. Howard (drawn by D. Dedmon),,6,2
20,1,9:01.0,,Turnover by D. Lee (bad pass),6,2
21,1,8:48.0,Shooting foul by D. Green (drawn by D. Howard),,6,2
22,1,8:48.0,D. Howard misses free throw 1 of 2,,6,2
23,1,8:48.0,Offensive rebound by Team,,6,2
24,1,8:48.0,D. Howard misses free throw 2 of 2,,6,2
25,1,8:48.0,,Defensive rebound by D. Dedmon,6,2
26,1,8:29.0,,D. Green misses 2-pt jump shot from 19 ft,6,2
27,1,8:28.0,Defensive rebound by T. Sefolosha,,6,2
28,1,8:15.0,D. Schröder makes 2-pt layup from 2 ft,,8,2
29,1,8:15.0,,San Antonio full timeout,8,2
30,1,7:57.0,,D. Lee makes 2-pt layup from 2 ft (assist by D. Dedmon),8,4
31,1,7:38.0,D. Howard misses 2-pt layup from 2 ft (block by D. Green),,8,4
32,1,7:38.0,,Defensive rebound by D. Green,8,4
33,1,7:28.0,,K. Leonard misses 3-pt jump shot from 25 ft,8,4
34,1,7:27.0,,Offensive rebound by Team,8,4
35,1,7:24.0,,K. Leonard makes 2-pt jump shot from 17 ft (assist by P. Mills),8,6
36,1,7:03.0,T. Sefolosha makes 2-pt jump shot from 16 ft,,10,6
37,1,6:43.0,,Turnover by D. Green (lost ball; steal by D. Howard),10,6
38,1,6:38.0,Turnover by T. Sefolosha (bad pass; steal by P. Mills),,10,6
39,1,6:32.0,,P. Mills makes 3-pt jump shot from 24 ft (assist by D. Lee),10,9
40,1,6:21.0,Turnover by P. Millsap (lost ball; steal by D. Green),,10,9
41,1,6:17.0,,P. Mills makes 2-pt layup from 1 ft,10,11
42,1,6:17.0,,Shooting foul by K. Bazemore (drawn by P. Mills),10,11
43,1,6:17.0,,P. Mills misses free throw 1 of 1,10,11
44,1,6:17.0,,P. Gasol enters the game for D. Dedmon,10,11
45,1,6:16.0,Defensive rebound by D. Howard,,10,11
46,1,6:01.0,K. Bazemore makes 3-pt jump shot from 23 ft (assist by P. Millsap),,13,11
47,1,5:46.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. Mills),13,14
48,1,5:31.0,K. Bazemore makes 2-pt layup from 2 ft (assist by D. Schröder),,15,14
49,1,5:19.0,,P. Gasol makes 3-pt jump shot from 25 ft (assist by P. Mills),15,17
50,1,5:18.0,Atlanta full timeout,,15,17
51,1,5:18.0,,M. Ginóbili enters the game for D. Green,15,17
52,1,5:18.0,T. Hardaway enters the game for K. Bazemore,,15,17
