,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,WASHINGTON_ACTION,PHILADELPHIA_SCORE,WASHINGTON_SCORE
0,1,11:47.0,,M. Gortat misses 2-pt layup from 1 ft (block by J. Okafor),0,0
1,1,11:45.0,Defensive rebound by N. Stauskas,,0,0
2,1,11:38.0,E. İlyasova misses 2-pt layup at rim,,0,0
3,1,11:38.0,,Defensive rebound by M. Gortat,0,0
4,1,11:27.0,,B. Beal misses 2-pt jump shot from 16 ft,0,0
5,1,11:26.0,,Offensive rebound by O. Porter,0,0
6,1,11:24.0,,O. Porter makes 2-pt jump shot from 11 ft,0,2
7,1,11:02.0,T. McConnell misses 2-pt jump shot from 6 ft,,0,2
8,1,11:01.0,,Defensive rebound by M. Gortat,0,2
9,1,10:50.0,,Personal foul by E. İlyasova (drawn by O. Porter),0,2
10,1,10:45.0,,O. Porter makes 2-pt jump shot from 17 ft (assist by J. Wall),0,4
11,1,10:29.0,N. Stauskas makes 2-pt layup from 2 ft,,2,4
12,1,10:28.0,,Turnover by J. Wall (traveling),2,4
13,1,10:19.0,N. Stauskas misses 3-pt jump shot from 29 ft,,2,4
14,1,10:19.0,,Defensive rebound by O. Porter,2,4
15,1,10:12.0,,O. Porter makes 2-pt layup from 1 ft,2,6
16,1,10:01.0,J. Okafor makes 2-pt layup from 2 ft,,4,6
17,1,10:01.0,Shooting foul by M. Gortat (drawn by J. Okafor),,4,6
18,1,10:01.0,J. Okafor makes free throw 1 of 1,,5,6
19,1,9:51.0,,O. Porter misses 2-pt jump shot from 17 ft,5,6
20,1,9:50.0,Defensive rebound by J. Okafor,,5,6
21,1,9:42.0,Offensive foul by J. Okafor (drawn by M. Gortat),,5,6
22,1,9:42.0,Turnover by J. Okafor (offensive foul),,5,6
23,1,9:31.0,,B. Beal misses 3-pt jump shot from 26 ft,5,6
24,1,9:30.0,Defensive rebound by R. Covington,,5,6
25,1,9:14.0,R. Covington misses 3-pt jump shot from 24 ft,,5,6
26,1,9:13.0,,Defensive rebound by J. Wall,5,6
27,1,9:06.0,Violation by R. Covington (def goaltending),,5,6
28,1,9:06.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),5,9
29,1,8:55.0,E. İlyasova makes 3-pt jump shot from 28 ft (assist by T. McConnell),,8,9
30,1,8:40.0,,O. Porter misses 2-pt jump shot from 19 ft,8,9
31,1,8:39.0,Defensive rebound by T. McConnell,,8,9
32,1,8:31.0,R. Covington misses 2-pt layup from 2 ft,,8,9
33,1,8:31.0,Offensive rebound by J. Okafor,,8,9
34,1,8:31.0,Shooting foul by M. Gortat (drawn by J. Okafor),,8,9
35,1,8:31.0,J. Okafor makes free throw 1 of 2,,9,9
36,1,8:31.0,J. Okafor misses free throw 2 of 2,,9,9
37,1,8:31.0,,J. Smith enters the game for M. Gortat,9,9
38,1,8:30.0,Offensive rebound by E. İlyasova,,9,9
39,1,8:28.0,E. İlyasova makes 2-pt layup at rim,,11,9
40,1,8:18.0,,J. Wall misses 2-pt jump shot from 16 ft,11,9
41,1,8:17.0,Defensive rebound by E. İlyasova,,11,9
42,1,8:08.0,J. Okafor makes 2-pt layup from 2 ft,,13,9
43,1,8:04.0,,Washington full timeout,13,9
44,1,7:52.0,,Turnover by J. Smith (lost ball; steal by J. Okafor),13,9
45,1,7:29.0,J. Okafor makes 2-pt jump shot from 10 ft (assist by T. McConnell),,15,9
46,1,7:17.0,,B. Beal makes 2-pt jump shot from 12 ft (assist by J. Wall),15,11
47,1,7:04.0,Shooting foul by J. Smith (drawn by J. Okafor),,15,11
48,1,7:04.0,J. Okafor misses free throw 1 of 2,,15,11
49,1,7:04.0,Offensive rebound by Team,,15,11
50,1,7:04.0,J. Okafor makes free throw 2 of 2,,16,11
51,1,6:45.0,,B. Beal misses 2-pt jump shot from 14 ft,16,11
52,1,6:44.0,Defensive rebound by T. McConnell,,16,11
53,1,6:37.0,T. McConnell misses 2-pt layup at rim,,16,11
54,1,6:35.0,Offensive rebound by E. İlyasova,,16,11
55,1,6:34.0,E. İlyasova makes 2-pt layup at rim,,18,11
56,1,6:18.0,,J. Wall misses 2-pt jump shot from 15 ft,18,11
57,1,6:17.0,Defensive rebound by J. Okafor,,18,11
58,1,6:10.0,E. İlyasova makes 3-pt jump shot from 28 ft (assist by T. McConnell),,21,11
59,1,5:57.0,,Offensive foul by M. Morris (drawn by E. İlyasova),21,11
60,1,5:57.0,,Turnover by M. Morris (offensive foul),21,11
61,1,5:57.0,,K. Oubre enters the game for M. Morris,21,11
62,1,5:41.0,J. Okafor misses 2-pt jump shot from 6 ft,,21,11
63,1,5:40.0,Offensive rebound by E. İlyasova,,21,11
64,1,5:40.0,Shooting foul by B. Beal (drawn by E. İlyasova),,21,11
65,1,5:40.0,E. İlyasova makes free throw 1 of 2,,22,11
66,1,5:40.0,E. İlyasova misses free throw 2 of 2,,22,11
67,1,5:40.0,,Defensive rebound by O. Porter,22,11
68,1,5:40.0,G. Henderson enters the game for N. Stauskas,,22,11
69,1,5:40.0,N. Noel enters the game for J. Okafor,,22,11
70,1,5:28.0,,J. Wall misses 2-pt layup from 1 ft,22,11
71,1,5:27.0,Defensive rebound by N. Noel,,22,11
72,1,5:22.0,Shooting foul by J. Smith (drawn by R. Covington),,22,11
73,1,5:22.0,R. Covington makes free throw 1 of 2,,23,11
74,1,5:22.0,S. Rodríguez enters the game for T. McConnell,,23,11
75,1,5:22.0,,A. Nicholson enters the game for J. Smith,23,11
76,1,5:22.0,R. Covington makes free throw 2 of 2,,24,11
77,1,5:09.0,,A. Nicholson misses 2-pt jump shot from 9 ft,24,11
78,1,5:08.0,Defensive rebound by R. Covington,,24,11
79,1,4:52.0,Turnover by N. Noel (bad pass; steal by K. Oubre),,24,11
80,1,4:47.0,,B. Beal makes 2-pt layup from 2 ft,24,13
81,1,4:31.0,R. Covington misses 3-pt jump shot from 28 ft,,24,13
