,QUARTER,TIME_REMAINING,ATLANTA_ACTION,BOSTON_ACTION,ATLANTA_SCORE,BOSTON_SCORE
0,1,11:48.0,D. Schröder makes 2-pt jump shot from 6 ft (assist by P. Millsap),,2,0
1,1,11:33.0,,A. Horford makes 2-pt jump shot from 19 ft (assist by A. Johnson),2,2
2,1,11:16.0,K. Bazemore misses 2-pt layup from 1 ft,,2,2
3,1,11:15.0,,Defensive rebound by J. Crowder,2,2
4,1,11:06.0,,A. Johnson makes 2-pt layup from 1 ft (assist by A. Horford),2,4
5,1,10:42.0,Offensive foul by P. Millsap (drawn by A. Johnson),,2,4
6,1,10:42.0,Turnover by P. Millsap (offensive foul),,2,4
7,1,10:27.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by I. Thomas),2,7
8,1,10:14.0,Turnover by D. Schröder (bad pass),,2,7
9,1,10:01.0,,A. Horford misses 3-pt jump shot from 26 ft,2,7
10,1,10:00.0,Defensive rebound by K. Bazemore,,2,7
11,1,9:48.0,P. Millsap misses 2-pt jump shot from 6 ft (block by A. Johnson),,2,7
12,1,9:47.0,,Defensive rebound by I. Thomas,2,7
13,1,9:42.0,,J. Crowder misses 2-pt layup at rim (block by T. Sefolosha),2,7
14,1,9:40.0,Defensive rebound by P. Millsap,,2,7
15,1,9:31.0,D. Howard misses 2-pt layup from 1 ft,,2,7
16,1,9:30.0,,Defensive rebound by A. Horford,2,7
17,1,9:26.0,,A. Bradley misses 3-pt jump shot from 26 ft,2,7
18,1,9:24.0,Defensive rebound by T. Sefolosha,,2,7
19,1,9:16.0,P. Millsap misses 3-pt jump shot from 25 ft,,2,7
20,1,9:15.0,Offensive rebound by D. Howard,,2,7
21,1,9:14.0,Shooting foul by A. Johnson (drawn by D. Howard),,2,7
22,1,9:14.0,D. Howard makes free throw 1 of 2,,3,7
23,1,9:14.0,D. Howard misses free throw 2 of 2,,3,7
24,1,9:14.0,,Defensive rebound by J. Crowder,3,7
25,1,9:00.0,Violation by K. Bazemore (kicked ball),,3,7
26,1,8:48.0,,I. Thomas misses 3-pt jump shot from 25 ft,3,7
27,1,8:47.0,,Offensive rebound by A. Horford,3,7
28,1,8:34.0,,A. Horford makes 2-pt jump shot from 6 ft,3,9
29,1,8:18.0,Turnover by K. Bazemore (lost ball; steal by A. Bradley),,3,9
30,1,8:12.0,,Turnover by I. Thomas (bad pass; steal by T. Sefolosha),3,9
31,1,8:06.0,K. Bazemore makes 2-pt layup from 1 ft (assist by T. Sefolosha),,5,9
32,1,7:55.0,,J. Crowder makes 3-pt jump shot from 26 ft (assist by I. Thomas),5,12
