,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ATLANTA_ACTION,CLEVELAND_SCORE,ATLANTA_SCORE
0,1,11:38.0,,P. Millsap misses 2-pt jump shot from 21 ft,0,0
1,1,11:37.0,Defensive rebound by L. James,,0,0
2,1,11:22.0,K. Irving makes 3-pt jump shot from 24 ft (assist by K. Love),,3,0
3,1,11:02.0,,T. Prince misses 3-pt jump shot from 25 ft,3,0
4,1,11:01.0,Defensive rebound by C. Frye,,3,0
5,1,10:51.0,L. James misses 2-pt layup from 4 ft (block by T. Prince),,3,0
6,1,10:49.0,Offensive rebound by L. James,,3,0
7,1,10:46.0,J. Smith makes 3-pt jump shot from 24 ft (assist by K. Irving),,6,0
8,1,10:30.0,,T. Hardaway makes 3-pt jump shot from 26 ft (assist by D. Schröder),6,3
9,1,10:12.0,C. Frye makes 3-pt jump shot from 23 ft (assist by L. James),,9,3
10,1,9:53.0,,P. Millsap misses 2-pt layup from 1 ft,9,3
11,1,9:52.0,Defensive rebound by C. Frye,,9,3
12,1,9:46.0,J. Smith misses 3-pt jump shot from 26 ft,,9,3
13,1,9:43.0,Offensive rebound by C. Frye,,9,3
14,1,9:36.0,K. Irving makes 2-pt layup from 2 ft (assist by L. James),,11,3
15,1,9:23.0,,P. Millsap misses 3-pt jump shot from 25 ft,11,3
16,1,9:21.0,,Offensive rebound by D. Howard,11,3
17,1,9:20.0,,D. Howard makes 2-pt layup from 1 ft,11,5
18,1,9:06.0,C. Frye makes 2-pt dunk at rim (assist by J. Smith),,13,5
19,1,9:06.0,,Atlanta full timeout,13,5
20,1,8:52.0,,D. Schröder makes 3-pt jump shot from 25 ft (assist by T. Hardaway),13,8
21,1,8:37.0,Shooting foul by T. Prince (drawn by L. James),,13,8
22,1,8:37.0,L. James makes free throw 1 of 2,,14,8
23,1,8:37.0,L. James makes free throw 2 of 2,,15,8
24,1,8:18.0,,D. Howard makes 2-pt jump shot from 4 ft (assist by T. Prince),15,10
25,1,8:06.0,K. Love makes 3-pt jump shot from 25 ft (assist by K. Irving),,18,10
26,1,7:53.0,,Turnover by T. Prince (lost ball),18,10
27,1,7:41.0,K. Love misses 2-pt jump shot from 6 ft,,18,10
28,1,7:39.0,Offensive rebound by K. Love,,18,10
29,1,7:39.0,K. Love misses 2-pt layup from 1 ft,,18,10
30,1,7:38.0,,Defensive rebound by P. Millsap,18,10
31,1,7:30.0,,D. Schröder misses 2-pt jump shot from 17 ft,18,10
32,1,7:27.0,Defensive rebound by J. Smith,,18,10
33,1,7:22.0,K. Irving makes 3-pt jump shot from 26 ft (assist by L. James),,21,10
34,1,7:03.0,,Turnover by P. Millsap (bad pass),21,10
35,1,6:54.0,K. Irving misses 3-pt jump shot from 24 ft,,21,10
36,1,6:53.0,,Defensive rebound by P. Millsap,21,10
37,1,6:48.0,,T. Hardaway misses 2-pt layup from 1 ft,21,10
38,1,6:46.0,Defensive rebound by K. Love,,21,10
39,1,6:40.0,K. Irving misses 3-pt jump shot from 24 ft,,21,10
40,1,6:38.0,,Defensive rebound by T. Hardaway,21,10
41,1,6:27.0,,D. Howard makes 2-pt jump shot from 7 ft (assist by T. Hardaway),21,12
42,1,6:12.0,K. Love misses 3-pt jump shot from 24 ft,,21,12
43,1,6:09.0,,Defensive rebound by T. Hardaway,21,12
44,1,6:02.0,,T. Hardaway makes 2-pt jump shot from 16 ft,21,14
45,1,6:02.0,,Shooting foul by K. Irving (drawn by T. Hardaway),21,14
46,1,6:02.0,,K. Bazemore enters the game for T. Prince,21,14
47,1,6:02.0,,E. İlyasova enters the game for P. Millsap,21,14
