,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,LA LAKERS_ACTION,OKLAHOMA CITY_SCORE,LA LAKERS_SCORE
0,1,11:47.0,,L. Deng makes 2-pt jump shot from 21 ft (assist by T. Mozgov),0,2
1,1,11:28.0,A. Roberson misses 3-pt jump shot from 24 ft,,0,2
2,1,11:27.0,,Defensive rebound by J. Randle,0,2
3,1,11:19.0,,J. Randle misses 2-pt jump shot from 6 ft (block by A. Roberson),0,2
4,1,11:16.0,Defensive rebound by D. Sabonis,,0,2
5,1,11:12.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,2,2
6,1,10:49.0,,T. Mozgov makes 2-pt jump shot from 11 ft,2,4
7,1,10:26.0,A. Roberson misses 3-pt jump shot from 26 ft,,2,4
8,1,10:24.0,,Defensive rebound by J. Randle,2,4
9,1,10:07.0,,Turnover by J. Randle (traveling),2,4
10,1,9:49.0,S. Adams misses 2-pt hook shot from 9 ft,,2,4
11,1,9:46.0,,Defensive rebound by T. Mozgov,2,4
12,1,9:36.0,,L. Deng misses 2-pt jump shot from 9 ft,2,4
13,1,9:36.0,Defensive rebound by Team,,2,4
14,1,9:10.0,V. Oladipo makes 2-pt jump shot from 18 ft,,4,4
15,1,8:55.0,,Turnover by J. Calderón (lost ball; steal by R. Westbrook),4,4
16,1,8:54.0,Personal foul by T. Mozgov (drawn by R. Westbrook),,4,4
17,1,8:42.0,D. Sabonis misses 3-pt jump shot from 25 ft,,4,4
18,1,8:41.0,,Defensive rebound by J. Calderón,4,4
19,1,8:30.0,,L. Deng makes 2-pt layup from 2 ft (assist by J. Calderón),4,6
20,1,8:25.0,Offensive foul by S. Adams (drawn by N. Young),,4,6
21,1,8:25.0,Turnover by S. Adams (offensive foul),,4,6
22,1,8:14.0,,Turnover by N. Young (lost ball; steal by V. Oladipo),4,6
23,1,8:07.0,V. Oladipo makes 2-pt layup from 2 ft,,6,6
24,1,7:47.0,,Turnover by J. Calderón (bad pass; steal by V. Oladipo),6,6
25,1,7:42.0,R. Westbrook makes 2-pt layup from 2 ft (assist by V. Oladipo),,8,6
26,1,7:20.0,,J. Randle misses 2-pt jump shot from 16 ft,8,6
