,QUARTER,TIME_REMAINING,DETROIT_ACTION,TORONTO_ACTION,DETROIT_SCORE,TORONTO_SCORE
0,1,11:45.0,,J. Valančiūnas misses 2-pt jump shot from 15 ft,0,0
1,1,11:45.0,Defensive rebound by A. Drummond,,0,0
2,1,11:30.0,A. Drummond makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),,2,0
3,1,11:10.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by D. Carroll),2,3
4,1,10:39.0,M. Morris misses 3-pt jump shot from 25 ft,,2,3
5,1,10:38.0,,Defensive rebound by K. Lowry,2,3
6,1,10:28.0,,Personal foul by A. Drummond (drawn by J. Valančiūnas),2,3
7,1,10:22.0,,J. Valančiūnas misses 2-pt hook shot from 3 ft,2,3
8,1,10:21.0,Defensive rebound by M. Morris,,2,3
9,1,10:13.0,Turnover by R. Jackson (bad pass; steal by J. Poeltl),,2,3
10,1,10:01.0,,Turnover by D. DeRozan (bad pass; steal by R. Jackson),2,3
11,1,9:58.0,Shooting foul by K. Lowry (drawn by R. Jackson),,2,3
12,1,9:58.0,R. Jackson makes free throw 1 of 2,,3,3
13,1,9:58.0,R. Jackson makes free throw 2 of 2,,4,3
14,1,9:34.0,,K. Lowry misses 3-pt jump shot from 24 ft,4,3
15,1,9:33.0,Defensive rebound by A. Drummond,,4,3
16,1,9:23.0,J. Leuer misses 3-pt jump shot from 26 ft,,4,3
17,1,9:21.0,,Defensive rebound by Team,4,3
18,1,9:12.0,,D. DeRozan makes 2-pt jump shot from 15 ft,4,5
19,1,9:00.0,J. Leuer makes 2-pt jump shot from 12 ft,,6,5
20,1,8:36.0,,J. Poeltl makes 2-pt dunk at rim (assist by D. DeRozan),6,7
21,1,8:20.0,K. Caldwell-Pope misses 2-pt jump shot from 15 ft,,6,7
22,1,8:20.0,Offensive rebound by A. Drummond,,6,7
23,1,8:18.0,A. Drummond misses 2-pt layup from 3 ft,,6,7
24,1,8:17.0,Offensive rebound by A. Drummond,,6,7
25,1,8:17.0,A. Drummond misses 2-pt layup from 2 ft,,6,7
26,1,8:17.0,Offensive rebound by A. Drummond,,6,7
27,1,8:17.0,Shooting foul by D. Carroll (drawn by A. Drummond),,6,7
28,1,8:17.0,A. Drummond misses free throw 1 of 2,,6,7
29,1,8:17.0,Offensive rebound by Team,,6,7
30,1,8:17.0,A. Drummond makes free throw 2 of 2,,7,7
31,1,8:03.0,,Shooting foul by A. Drummond (drawn by J. Valančiūnas),7,7
32,1,8:03.0,,J. Valančiūnas misses free throw 1 of 2,7,7
33,1,8:03.0,,Offensive rebound by Team,7,7
34,1,8:03.0,A. Baynes enters the game for A. Drummond,,7,7
35,1,8:03.0,,J. Valančiūnas makes free throw 2 of 2,7,8
36,1,7:52.0,J. Leuer misses 2-pt jump shot from 16 ft,,7,8
37,1,7:52.0,,Defensive rebound by K. Lowry,7,8
38,1,7:41.0,,Turnover by K. Lowry (bad pass; steal by M. Morris),7,8
39,1,7:37.0,Turnover by M. Morris (bad pass; steal by D. Carroll),,7,8
40,1,7:31.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by D. Carroll),7,11
41,1,7:12.0,Turnover by J. Leuer (bad pass; steal by K. Lowry),,7,11
42,1,6:59.0,,J. Poeltl misses 2-pt layup from 3 ft (block by A. Baynes),7,11
43,1,6:57.0,Defensive rebound by M. Morris,,7,11
44,1,6:42.0,K. Caldwell-Pope makes 2-pt jump shot from 14 ft,,9,11
45,1,6:33.0,,Toronto full timeout,9,11
46,1,6:16.0,,Turnover by Team (shot clock),9,11
47,1,5:55.0,R. Jackson makes 2-pt jump shot from 17 ft,,11,11
48,1,5:43.0,,D. Carroll makes 3-pt jump shot from 22 ft (assist by K. Lowry),11,14
49,1,5:31.0,Shooting block foul by J. Poeltl (drawn by R. Jackson),,11,14
50,1,5:31.0,R. Jackson makes free throw 1 of 2,,12,14
51,1,5:31.0,R. Jackson makes free throw 2 of 2,,13,14
52,1,5:19.0,,Shooting foul by R. Jackson (drawn by D. Carroll),13,14
53,1,5:19.0,,D. Carroll misses free throw 1 of 2,13,14
54,1,5:19.0,,Offensive rebound by Team,13,14
55,1,5:19.0,,L. Nogueira enters the game for J. Poeltl,13,14
56,1,5:19.0,,C. Joseph enters the game for K. Lowry,13,14
57,1,5:19.0,,D. Carroll makes free throw 2 of 2,13,15
58,1,5:04.0,M. Morris makes 2-pt jump shot from 17 ft (assist by R. Jackson),,15,15
59,1,4:41.0,,D. DeRozan makes 2-pt jump shot from 17 ft,15,17
60,1,4:27.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,15,17
61,1,4:27.0,,Defensive rebound by L. Nogueira,15,17
62,1,4:20.0,,Turnover by C. Joseph (lost ball; steal by R. Jackson),15,17
63,1,4:12.0,J. Leuer misses 2-pt jump shot from 14 ft,,15,17
64,1,4:12.0,,Defensive rebound by C. Joseph,15,17
65,1,3:59.0,,D. DeRozan makes 2-pt dunk at rim,15,19
66,1,3:50.0,Detroit full timeout,,15,19
67,1,3:50.0,T. Harris enters the game for J. Leuer,,15,19
68,1,3:50.0,S. Johnson enters the game for K. Caldwell-Pope,,15,19
69,1,3:50.0,I. Smith enters the game for R. Jackson,,15,19
70,1,3:50.0,,T. Ross enters the game for J. Valančiūnas,15,19
71,1,3:40.0,M. Morris misses 2-pt jump shot from 23 ft,,15,19
72,1,3:40.0,,Defensive rebound by T. Ross,15,19
73,1,3:31.0,,D. DeRozan misses 2-pt jump shot from 6 ft,15,19
74,1,3:30.0,Defensive rebound by I. Smith,,15,19
75,1,3:24.0,T. Harris makes 3-pt jump shot from 25 ft (assist by I. Smith),,18,19
76,1,3:05.0,,Shooting foul by T. Harris (drawn by D. Carroll),18,19
77,1,3:05.0,,D. Carroll misses free throw 1 of 2,18,19
78,1,3:05.0,,Offensive rebound by Team,18,19
79,1,3:05.0,,D. Carroll misses free throw 2 of 2,18,19
80,1,3:05.0,Defensive rebound by A. Baynes,,18,19
81,1,2:48.0,I. Smith misses 3-pt jump shot from 23 ft,,18,19
82,1,2:47.0,,Defensive rebound by D. DeRozan,18,19
83,1,2:39.0,,Turnover by D. DeRozan (bad pass; steal by M. Morris),18,19
84,1,2:34.0,Shooting foul by T. Ross (drawn by M. Morris),,18,19
85,1,2:34.0,M. Morris misses free throw 1 of 2,,18,19
86,1,2:34.0,Offensive rebound by Team,,18,19
87,1,2:34.0,M. Morris makes free throw 2 of 2,,19,19
88,1,2:22.0,,C. Joseph misses 2-pt hook shot from 8 ft,19,19
89,1,2:20.0,,Offensive rebound by L. Nogueira,19,19
90,1,2:20.0,,Shooting foul by I. Smith (drawn by L. Nogueira),19,19
91,1,2:20.0,,L. Nogueira makes free throw 1 of 2,19,20
92,1,2:20.0,,L. Nogueira makes free throw 2 of 2,19,21
93,1,2:06.0,I. Smith makes 2-pt jump shot from 16 ft,,21,21
94,1,1:48.0,,D. Carroll makes 2-pt jump shot from 11 ft (assist by T. Ross),21,23
95,1,1:35.0,I. Smith makes 2-pt layup from 1 ft,,23,23
96,1,1:13.0,,D. DeRozan makes 2-pt jump shot from 11 ft,23,25
97,1,0:46.0,M. Morris misses 3-pt jump shot from 26 ft,,23,25
98,1,0:45.0,,Defensive rebound by D. DeRozan,23,25
99,1,0:38.0,,C. Joseph misses 3-pt jump shot from 25 ft,23,25
100,1,0:37.0,Defensive rebound by I. Smith,,23,25
101,1,0:31.0,Personal foul by C. Joseph (drawn by I. Smith),,23,25
102,1,0:31.0,I. Smith misses free throw 1 of 2,,23,25
103,1,0:31.0,Offensive rebound by Team,,23,25
104,1,0:31.0,I. Smith misses free throw 2 of 2,,23,25
105,1,0:30.0,Offensive rebound by A. Baynes,,23,25
106,1,0:30.0,A. Baynes makes 2-pt layup from 2 ft,,25,25
107,1,0:09.0,,D. DeRozan makes 2-pt jump shot from 13 ft,25,27
108,1,0:00.0,M. Morris misses 3-pt jump shot from 26 ft,,25,27
109,1,0:00.0,Offensive rebound by Team,,25,27
110,2,11:47.0,T. Harris makes 2-pt layup from 1 ft (assist by A. Baynes),,27,27
111,2,11:28.0,,T. Ross misses 2-pt jump shot from 21 ft,27,27
112,2,11:27.0,Defensive rebound by T. Harris,,27,27
113,2,11:19.0,S. Johnson makes 3-pt jump shot from 23 ft (assist by I. Smith),,30,27
114,2,11:05.0,,Turnover by N. Powell (bad pass),30,27
115,2,10:51.0,K. Caldwell-Pope makes 2-pt jump shot from 7 ft (assist by T. Harris),,32,27
116,2,10:35.0,,L. Nogueira makes 2-pt dunk at rim (assist by T. Ross),32,29
117,2,10:15.0,Personal foul by N. Powell (drawn by T. Harris),,32,29
118,2,10:03.0,I. Smith makes 2-pt layup from 3 ft,,34,29
119,2,9:43.0,,T. Ross makes 3-pt jump shot from 24 ft,34,32
120,2,9:30.0,I. Smith makes 2-pt layup from 2 ft,,36,32
121,2,9:21.0,,Toronto full timeout,36,32
122,2,9:21.0,A. Drummond enters the game for A. Baynes,,36,32
123,2,9:21.0,,J. Valančiūnas enters the game for C. Joseph,36,32
124,2,9:07.0,,T. Ross misses 3-pt jump shot from 25 ft,36,32
125,2,9:07.0,Defensive rebound by A. Drummond,,36,32
126,2,8:57.0,I. Smith misses 2-pt jump shot from 6 ft,,36,32
127,2,8:56.0,Offensive rebound by A. Drummond,,36,32
128,2,8:53.0,A. Drummond misses 2-pt layup from 3 ft,,36,32
129,2,8:52.0,Offensive rebound by A. Drummond,,36,32
130,2,8:52.0,Shooting foul by J. Valančiūnas (drawn by A. Drummond),,36,32
131,2,8:52.0,A. Drummond makes free throw 1 of 2,,37,32
132,2,8:52.0,A. Drummond misses free throw 2 of 2,,37,32
133,2,8:51.0,,Defensive rebound by J. Valančiūnas,37,32
134,2,8:33.0,,Turnover by J. Valančiūnas (bad pass; steal by A. Drummond),37,32
135,2,8:22.0,A. Drummond misses 2-pt layup from 2 ft,,37,32
136,2,8:22.0,,Defensive rebound by J. Valančiūnas,37,32
137,2,8:10.0,,J. Valančiūnas makes 2-pt hook shot from 5 ft (assist by N. Powell),37,34
138,2,7:56.0,T. Harris misses 3-pt jump shot from 24 ft,,37,34
139,2,7:55.0,,Defensive rebound by J. Valančiūnas,37,34
140,2,7:46.0,,J. Valančiūnas misses 2-pt jump shot from 19 ft,37,34
141,2,7:45.0,Defensive rebound by I. Smith,,37,34
