,QUARTER,TIME_REMAINING,DETROIT_ACTION,INDIANA_ACTION,DETROIT_SCORE,INDIANA_SCORE
0,1,11:43.0,K. Caldwell-Pope misses 2-pt jump shot from 20 ft,,0,0
1,1,11:42.0,,Defensive rebound by J. Teague,0,0
2,1,11:25.0,,M. Turner misses 2-pt jump shot from 15 ft,0,0
3,1,11:24.0,Defensive rebound by Team,,0,0
4,1,11:02.0,M. Morris makes 3-pt jump shot from 23 ft (assist by J. Leuer),,3,0
5,1,10:50.0,,L. Allen makes 2-pt layup from 2 ft (assist by P. George),3,2
6,1,10:35.0,Turnover by R. Jackson (bad pass; steal by C. Miles),,3,2
7,1,10:31.0,,C. Miles makes 2-pt layup from 3 ft,3,4
8,1,10:16.0,A. Drummond makes 2-pt dunk from 1 ft (assist by M. Morris),,5,4
9,1,10:06.0,,P. George misses 2-pt jump shot from 15 ft,5,4
10,1,10:05.0,,Offensive rebound by L. Allen,5,4
11,1,10:02.0,,Turnover by L. Allen (bad pass),5,4
12,1,9:51.0,R. Jackson makes 2-pt jump shot from 20 ft,,7,4
13,1,9:37.0,,P. George makes 2-pt jump shot from 4 ft (assist by M. Turner),7,6
14,1,9:23.0,M. Morris misses 2-pt jump shot from 13 ft,,7,6
15,1,9:22.0,,Defensive rebound by L. Allen,7,6
16,1,9:16.0,,Shooting foul by J. Leuer (drawn by M. Turner),7,6
17,1,9:16.0,,M. Turner makes free throw 1 of 2,7,7
18,1,9:16.0,,M. Turner makes free throw 2 of 2,7,8
19,1,9:11.0,Personal foul by L. Allen (drawn by A. Drummond),,7,8
20,1,8:55.0,J. Leuer makes 2-pt jump shot from 17 ft (assist by M. Morris),,9,8
21,1,8:38.0,,L. Allen misses 2-pt jump shot from 8 ft,9,8
22,1,8:38.0,Defensive rebound by J. Leuer,,9,8
23,1,8:27.0,J. Leuer makes 2-pt jump shot from 16 ft (assist by R. Jackson),,11,8
24,1,8:10.0,,P. George makes 2-pt layup from 2 ft,11,10
25,1,7:58.0,R. Jackson misses 2-pt jump shot from 18 ft,,11,10
26,1,7:58.0,,Defensive rebound by P. George,11,10
27,1,7:52.0,,Personal foul by M. Morris (drawn by M. Turner),11,10
28,1,7:32.0,,P. George misses 3-pt jump shot from 37 ft,11,10
29,1,7:31.0,Defensive rebound by M. Morris,,11,10
30,1,7:24.0,R. Jackson makes 3-pt jump shot from 24 ft (assist by M. Morris),,14,10
31,1,7:06.0,,L. Allen misses 2-pt jump shot from 4 ft (block by A. Drummond),14,10
32,1,7:05.0,Defensive rebound by R. Jackson,,14,10
33,1,6:53.0,M. Morris misses 2-pt jump shot from 5 ft (block by L. Allen),,14,10
34,1,6:53.0,Offensive rebound by Team,,14,10
35,1,6:53.0,,G. Robinson enters the game for C. Miles,14,10
36,1,6:42.0,M. Morris misses 2-pt jump shot from 19 ft,,14,10
37,1,6:42.0,,Defensive rebound by L. Allen,14,10
38,1,6:29.0,,M. Turner misses 2-pt jump shot from 18 ft,14,10
39,1,6:28.0,,Offensive rebound by L. Allen,14,10
40,1,6:22.0,,L. Allen makes 2-pt jump shot from 18 ft (assist by G. Robinson),14,12
41,1,6:06.0,J. Leuer makes 2-pt jump shot from 16 ft (assist by R. Jackson),,16,12
42,1,5:49.0,,L. Allen makes 2-pt layup from 3 ft (assist by P. George),16,14
43,1,5:43.0,Detroit full timeout,,16,14
