,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,BOSTON_ACTION,BROOKLYN_SCORE,BOSTON_SCORE
0,1,11:46.0,B. Lopez misses 2-pt hook shot from 10 ft,,0,0
1,1,11:45.0,,Defensive rebound by I. Thomas,0,0
2,1,11:35.0,Violation by B. Lopez (def goaltending),,0,0
3,1,11:35.0,,J. Crowder makes 2-pt layup from 1 ft (assist by I. Thomas),0,2
4,1,11:24.0,B. Bogdanović makes 2-pt jump shot from 6 ft (assist by T. Booker),,2,2
5,1,11:06.0,,Turnover by A. Horford (bad pass),2,2
6,1,10:53.0,Personal foul by A. Horford (drawn by J. Lin),,2,2
7,1,10:48.0,Turnover by B. Lopez (bad pass; steal by I. Thomas),,2,2
8,1,10:36.0,,A. Horford makes 3-pt jump shot from 24 ft (assist by A. Bradley),2,5
9,1,10:23.0,J. Lin misses 3-pt jump shot from 24 ft,,2,5
10,1,10:22.0,,Defensive rebound by A. Bradley,2,5
11,1,10:13.0,,A. Bradley misses 2-pt layup from 3 ft,2,5
12,1,10:12.0,Defensive rebound by T. Booker,,2,5
13,1,10:10.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Booker),,4,5
14,1,10:10.0,,Boston full timeout,4,5
15,1,9:52.0,,A. Bradley misses 2-pt jump shot from 20 ft,4,5
16,1,9:51.0,Defensive rebound by T. Booker,,4,5
17,1,9:36.0,B. Lopez misses 2-pt jump shot from 7 ft (block by A. Horford),,4,5
18,1,9:35.0,Offensive rebound by J. Lin,,4,5
19,1,9:29.0,R. Hollis-Jefferson makes 2-pt jump shot from 8 ft,,6,5
20,1,9:13.0,,Turnover by I. Thomas (bad pass; steal by T. Booker),6,5
21,1,9:07.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by T. Booker),,9,5
22,1,8:56.0,,I. Thomas misses 3-pt jump shot from 24 ft,9,5
23,1,8:55.0,Defensive rebound by B. Bogdanović,,9,5
24,1,8:44.0,Personal block foul by I. Thomas (drawn by J. Lin),,9,5
25,1,8:36.0,Turnover by J. Lin (bad pass; steal by A. Johnson),,9,5
26,1,8:25.0,,Turnover by A. Johnson (3 sec),9,5
27,1,8:04.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,9,5
28,1,8:03.0,Offensive rebound by B. Lopez,,9,5
29,1,8:03.0,B. Lopez misses 2-pt layup at rim,,9,5
30,1,8:01.0,,Defensive rebound by A. Johnson,9,5
31,1,7:54.0,,I. Thomas misses 3-pt jump shot from 25 ft,9,5
32,1,7:51.0,,Offensive rebound by A. Johnson,9,5
33,1,7:47.0,,J. Crowder makes 3-pt jump shot from 27 ft (assist by A. Johnson),9,8
34,1,7:42.0,Personal foul by A. Johnson (drawn by B. Lopez),,9,8
35,1,7:29.0,B. Bogdanović misses 2-pt layup from 1 ft,,9,8
36,1,7:28.0,,Defensive rebound by Team,9,8
37,1,7:03.0,,I. Thomas misses 2-pt hook shot from 4 ft,9,8
38,1,7:02.0,Defensive rebound by T. Booker,,9,8
39,1,6:48.0,J. Lin makes 2-pt layup from 1 ft,,11,8
40,1,6:35.0,,A. Bradley makes 2-pt jump shot from 19 ft (assist by A. Horford),11,10
41,1,6:23.0,B. Lopez misses 2-pt layup from 1 ft,,11,10
42,1,6:22.0,,Defensive rebound by A. Horford,11,10
43,1,6:18.0,,I. Thomas makes 2-pt layup from 2 ft,11,12
44,1,6:18.0,,Shooting foul by J. Lin (drawn by I. Thomas),11,12
45,1,6:18.0,,J. Brown enters the game for A. Johnson,11,12
46,1,6:18.0,J. Harris enters the game for B. Bogdanović,,11,12
47,1,6:18.0,L. Scola enters the game for B. Lopez,,11,12
48,1,6:18.0,,I. Thomas makes free throw 1 of 1,11,13
49,1,6:07.0,Turnover by J. Lin (bad pass; steal by A. Bradley),,11,13
50,1,5:59.0,,I. Thomas misses 3-pt jump shot from 25 ft,11,13
51,1,5:57.0,,Offensive rebound by A. Bradley,11,13
52,1,5:45.0,,J. Brown makes 2-pt layup from 2 ft (assist by I. Thomas),11,15
53,1,5:27.0,J. Harris makes 3-pt jump shot from 24 ft (assist by J. Lin),,14,15
54,1,5:04.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by A. Horford),14,18
55,1,5:03.0,Brooklyn full timeout,,14,18
56,1,5:03.0,,T. Rozier enters the game for I. Thomas,14,18
57,1,4:55.0,Turnover by J. Harris (lost ball; steal by J. Brown),,14,18
58,1,4:47.0,,Personal foul by J. Harris (drawn by T. Rozier),14,18
59,1,4:36.0,,A. Bradley makes 2-pt jump shot from 19 ft (assist by A. Horford),14,20
60,1,4:23.0,J. Lin misses 2-pt layup from 2 ft (block by A. Horford),,14,20
61,1,4:22.0,,Defensive rebound by A. Horford,14,20
62,1,4:17.0,,Turnover by J. Brown (lost ball; steal by J. Harris),14,20
63,1,4:12.0,Personal block foul by T. Rozier (drawn by L. Scola),,14,20
64,1,4:12.0,G. Vásquez enters the game for R. Hollis-Jefferson,,14,20
65,1,4:12.0,J. Hamilton enters the game for T. Booker,,14,20
66,1,4:12.0,S. Kilpatrick enters the game for J. Lin,,14,20
67,1,4:03.0,L. Scola misses 3-pt jump shot from 26 ft,,14,20
68,1,4:02.0,,Defensive rebound by J. Crowder,14,20
69,1,3:50.0,,Personal foul by J. Harris (drawn by A. Bradley),14,20
70,1,3:36.0,,J. Crowder makes 2-pt jump shot from 17 ft (assist by A. Bradley),14,22
71,1,3:18.0,S. Kilpatrick makes 2-pt layup at rim,,16,22
72,1,3:09.0,,A. Horford makes 2-pt layup from 2 ft (assist by A. Bradley),16,24
73,1,2:54.0,J. Harris makes 3-pt jump shot from 25 ft (assist by L. Scola),,19,24
74,1,2:34.0,,J. Crowder makes 3-pt jump shot from 24 ft (assist by T. Rozier),19,27
75,1,2:17.0,J. Hamilton makes 3-pt jump shot from 24 ft (assist by J. Harris),,22,27
76,1,2:03.0,,Shooting foul by J. Hamilton (drawn by J. Brown),22,27
77,1,2:03.0,,J. Brown makes free throw 1 of 2,22,28
78,1,2:03.0,,A. Johnson enters the game for A. Horford,22,28
79,1,2:03.0,,J. Brown makes free throw 2 of 2,22,29
80,1,1:46.0,S. Kilpatrick makes 3-pt jump shot from 25 ft (assist by L. Scola),,25,29
81,1,1:33.0,,J. Crowder misses 3-pt jump shot from 25 ft,25,29
82,1,1:32.0,Defensive rebound by S. Kilpatrick,,25,29
83,1,1:23.0,S. Kilpatrick makes 2-pt layup from 2 ft,,27,29
84,1,1:17.0,,J. Crowder misses 2-pt layup from 2 ft,27,29
