,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,HOUSTON_ACTION,WASHINGTON_SCORE,HOUSTON_SCORE
0,1,11:42.0,M. Morris misses 3-pt jump shot from 26 ft,,0,0
1,1,11:41.0,Offensive rebound by M. Gortat,,0,0
2,1,11:34.0,B. Beal makes 2-pt jump shot from 23 ft,,2,0
3,1,11:10.0,,Turnover by J. Harden (bad pass; steal by J. Wall),2,0
4,1,11:05.0,O. Porter makes 2-pt layup at rim (assist by J. Wall),,4,0
5,1,10:50.0,,J. Harden misses 3-pt jump shot from 26 ft,4,0
6,1,10:46.0,,Offensive rebound by J. Harden,4,0
7,1,10:44.0,,J. Harden makes 2-pt layup from 2 ft,4,2
8,1,10:27.0,M. Morris makes 2-pt layup from 3 ft,,6,2
9,1,10:15.0,,T. Ariza makes 2-pt layup from 2 ft (assist by J. Harden),6,4
10,1,9:53.0,M. Morris misses 3-pt jump shot from 26 ft,,6,4
11,1,9:52.0,Offensive rebound by M. Gortat,,6,4
12,1,9:50.0,M. Gortat misses 2-pt layup from 2 ft,,6,4
13,1,9:49.0,,Defensive rebound by R. Anderson,6,4
14,1,9:45.0,,C. Brewer makes 2-pt dunk at rim (assist by J. Harden),6,6
15,1,9:16.0,M. Morris makes 2-pt jump shot from 19 ft (assist by B. Beal),,8,6
16,1,8:57.0,,J. Harden misses 3-pt jump shot from 26 ft,8,6
17,1,8:56.0,Defensive rebound by J. Wall,,8,6
18,1,8:47.0,M. Morris makes 2-pt dunk at rim (assist by J. Wall),,10,6
19,1,8:28.0,,Turnover by J. Harden (bad pass; steal by B. Beal),10,6
20,1,8:10.0,M. Gortat makes 2-pt layup from 1 ft,,12,6
21,1,7:53.0,,Turnover by J. Harden (lost ball; steal by B. Beal),12,6
22,1,7:49.0,Turnover by J. Wall (bad pass),,12,6
23,1,7:42.0,,R. Anderson misses 3-pt jump shot from 30 ft,12,6
24,1,7:41.0,Defensive rebound by J. Wall,,12,6
25,1,7:15.0,O. Porter misses 3-pt jump shot from 24 ft,,12,6
26,1,7:14.0,,Defensive rebound by C. Brewer,12,6
27,1,7:09.0,,T. Ariza misses 2-pt layup from 3 ft,12,6
28,1,7:06.0,Defensive rebound by O. Porter,,12,6
29,1,6:58.0,B. Beal makes 3-pt jump shot from 23 ft (assist by O. Porter),,15,6
30,1,6:37.0,,J. Harden makes 2-pt layup from 3 ft,15,8
31,1,6:18.0,B. Beal misses 3-pt jump shot from 25 ft,,15,8
32,1,6:16.0,,Defensive rebound by T. Ariza,15,8
33,1,5:59.0,,R. Anderson misses 2-pt jump shot from 20 ft,15,8
34,1,5:59.0,,Offensive rebound by Team,15,8
35,1,5:59.0,,Houston full timeout,15,8
36,1,5:59.0,,E. Gordon enters the game for C. Brewer,15,8
37,1,5:57.0,,M. Harrell makes 2-pt dunk at rim (assist by T. Ariza),15,10
38,1,5:28.0,M. Morris makes 2-pt jump shot from 20 ft (assist by B. Beal),,17,10
39,1,5:11.0,,Turnover by M. Harrell (bad pass),17,10
40,1,4:51.0,Turnover by M. Gortat (lost ball; steal by J. Harden),,17,10
41,1,4:41.0,,R. Anderson misses 3-pt jump shot from 27 ft,17,10
42,1,4:39.0,Defensive rebound by M. Gortat,,17,10
43,1,4:29.0,O. Porter makes 2-pt jump shot from 21 ft (assist by M. Morris),,19,10
44,1,4:18.0,,J. Harden misses 2-pt jump shot from 7 ft,19,10
45,1,4:17.0,Defensive rebound by B. Beal,,19,10
46,1,4:12.0,J. Wall makes 2-pt layup from 1 ft,,21,10
47,1,3:57.0,,J. Harden misses 2-pt layup from 2 ft,21,10
48,1,3:55.0,Defensive rebound by M. Gortat,,21,10
49,1,3:45.0,J. Wall makes 2-pt jump shot from 19 ft,,23,10
50,1,3:45.0,,Houston full timeout,23,10
51,1,3:45.0,,S. Dekker enters the game for R. Anderson,23,10
52,1,3:45.0,J. Smith enters the game for O. Porter,,23,10
53,1,3:45.0,K. Oubre enters the game for M. Morris,,23,10
54,1,3:45.0,,N. Hilário enters the game for M. Harrell,23,10
55,1,3:30.0,,T. Ariza misses 3-pt jump shot from 23 ft,23,10
56,1,3:28.0,Defensive rebound by K. Oubre,,23,10
57,1,3:08.0,J. Smith misses 2-pt jump shot from 10 ft (block by S. Dekker),,23,10
58,1,3:06.0,,Defensive rebound by N. Hilário,23,10
59,1,2:59.0,,N. Hilário makes 2-pt jump shot from 14 ft (assist by E. Gordon),23,12
60,1,2:44.0,Shooting block foul by E. Gordon (drawn by B. Beal),,23,12
61,1,2:44.0,Washington full timeout,,23,12
62,1,2:44.0,B. Beal makes free throw 1 of 2,,24,12
63,1,2:44.0,B. Beal makes free throw 2 of 2,,25,12
64,1,2:29.0,,N. Hilário misses 2-pt hook shot from 6 ft,25,12
65,1,2:28.0,Defensive rebound by M. Gortat,,25,12
66,1,2:13.0,K. Oubre misses 3-pt jump shot from 24 ft,,25,12
67,1,2:11.0,Offensive rebound by M. Gortat,,25,12
68,1,1:58.0,B. Beal misses 2-pt jump shot from 21 ft,,25,12
69,1,1:58.0,Offensive rebound by Team,,25,12
70,1,1:58.0,M. Thornton enters the game for B. Beal,,25,12
71,1,1:45.0,J. Wall makes 2-pt layup from 3 ft,,27,12
72,1,1:30.0,,E. Gordon makes 2-pt jump shot from 21 ft (assist by J. Harden),27,14
73,1,1:11.0,Turnover by J. Wall (bad pass),,27,14
74,1,1:00.0,,J. Harden misses 3-pt jump shot from 25 ft,27,14
75,1,0:58.0,,Offensive rebound by N. Hilário,27,14
