,QUARTER,TIME_REMAINING,PORTLAND_ACTION,MINNESOTA_ACTION,PORTLAND_SCORE,MINNESOTA_SCORE
0,1,11:48.0,,Turnover by K. Towns (bad pass; steal by M. Harkless),0,0
1,1,11:37.0,A. Aminu misses 2-pt jump shot from 5 ft,,0,0
2,1,11:36.0,,Defensive rebound by K. Towns,0,0
3,1,11:31.0,,Z. LaVine makes 2-pt layup at rim (assist by R. Rubio),0,2
4,1,11:10.0,A. Crabbe makes 2-pt jump shot from 19 ft,,2,2
5,1,10:42.0,,K. Towns misses 2-pt jump shot from 11 ft,2,2
6,1,10:42.0,Defensive rebound by M. Harkless,,2,2
7,1,10:36.0,A. Aminu misses 3-pt jump shot from 25 ft,,2,2
8,1,10:34.0,,Defensive rebound by G. Dieng,2,2
9,1,10:18.0,,Turnover by G. Dieng (bad pass; steal by A. Aminu),2,2
10,1,10:11.0,A. Aminu misses 2-pt layup from 1 ft,,2,2
11,1,10:10.0,,Defensive rebound by K. Towns,2,2
12,1,10:06.0,,Personal foul by C. McCollum (drawn by A. Wiggins),2,2
13,1,9:58.0,,K. Towns misses 2-pt jump shot from 16 ft,2,2
14,1,9:57.0,Defensive rebound by C. McCollum,,2,2
15,1,9:50.0,C. McCollum misses 2-pt jump shot from 7 ft,,2,2
16,1,9:48.0,,Defensive rebound by G. Dieng,2,2
17,1,9:41.0,,Def 3 sec tech foul by A. Crabbe,2,2
18,1,9:41.0,,R. Rubio makes technical free throw,2,3
19,1,9:24.0,,Z. LaVine misses 3-pt jump shot from 38 ft,2,3
20,1,9:23.0,,Offensive rebound by K. Towns,2,3
21,1,9:14.0,,A. Wiggins misses 2-pt jump shot from 15 ft,2,3
22,1,9:13.0,Defensive rebound by A. Aminu,,2,3
23,1,9:04.0,C. McCollum makes 2-pt jump shot from 14 ft,,4,3
24,1,8:44.0,,R. Rubio misses 2-pt jump shot from 19 ft,4,3
25,1,8:43.0,,Offensive rebound by K. Towns,4,3
26,1,8:31.0,,K. Towns makes 2-pt dunk at rim,4,5
