,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,BROOKLYN_ACTION,CHARLOTTE_SCORE,BROOKLYN_SCORE
0,1,11:42.0,M. Williams misses 2-pt jump shot from 9 ft,,0,0
1,1,11:41.0,Offensive rebound by M. Williams,,0,0
2,1,11:40.0,M. Williams misses 2-pt layup at rim,,0,0
3,1,11:39.0,,Defensive rebound by T. Booker,0,0
4,1,11:30.0,,B. Lopez makes 2-pt layup from 1 ft,0,2
5,1,11:30.0,,Shooting foul by C. Zeller (drawn by B. Lopez),0,2
6,1,11:30.0,,B. Lopez makes free throw 1 of 1,0,3
7,1,11:19.0,K. Walker misses 2-pt layup from 1 ft,,0,3
8,1,11:18.0,Offensive rebound by M. Kidd-Gilchrist,,0,3
9,1,11:17.0,K. Walker misses 2-pt layup from 3 ft,,0,3
10,1,11:16.0,,Defensive rebound by T. Booker,0,3
11,1,11:06.0,,R. Hollis-Jefferson makes 2-pt jump shot from 12 ft,0,5
12,1,10:48.0,Personal foul by R. Hollis-Jefferson (drawn by C. Zeller),,0,5
13,1,10:42.0,N. Batum makes 2-pt jump shot from 10 ft (assist by K. Walker),,2,5
14,1,10:42.0,Shooting foul by I. Whitehead (drawn by N. Batum),,2,5
15,1,10:42.0,N. Batum misses free throw 1 of 1,,2,5
16,1,10:41.0,,Defensive rebound by R. Hollis-Jefferson,2,5
17,1,10:22.0,,B. Lopez makes 2-pt layup from 2 ft,2,7
18,1,10:10.0,C. Zeller misses 2-pt layup from 3 ft,,2,7
19,1,10:09.0,,Defensive rebound by R. Hollis-Jefferson,2,7
20,1,9:58.0,,Turnover by B. Lopez (bad pass; steal by M. Kidd-Gilchrist),2,7
21,1,9:53.0,N. Batum makes 2-pt layup from 1 ft (assist by M. Kidd-Gilchrist),,4,7
22,1,9:39.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by I. Whitehead),4,10
23,1,9:12.0,M. Williams misses 2-pt jump shot from 20 ft,,4,10
24,1,9:10.0,,Defensive rebound by R. Hollis-Jefferson,4,10
25,1,8:59.0,,B. Bogdanović misses 2-pt jump shot from 21 ft,4,10
26,1,8:57.0,,Offensive rebound by T. Booker,4,10
27,1,8:54.0,,Turnover by T. Booker (bad pass),4,10
28,1,8:38.0,K. Walker misses 3-pt jump shot from 23 ft (block by T. Booker),,4,10
29,1,8:36.0,,Defensive rebound by R. Hollis-Jefferson,4,10
30,1,8:29.0,,B. Lopez makes 3-pt jump shot from 27 ft (assist by R. Hollis-Jefferson),4,13
31,1,8:17.0,K. Walker makes 2-pt layup from 3 ft,,6,13
32,1,8:17.0,Shooting foul by R. Hollis-Jefferson (drawn by K. Walker),,6,13
33,1,8:17.0,K. Walker misses free throw 1 of 1,,6,13
34,1,8:17.0,,J. Harris enters the game for R. Hollis-Jefferson,6,13
35,1,8:16.0,,Defensive rebound by B. Bogdanović,6,13
36,1,8:05.0,,Turnover by B. Lopez (discontinued dribble),6,13
37,1,7:43.0,K. Walker makes 2-pt jump shot from 19 ft,,8,13
38,1,7:35.0,,Personal foul by C. Zeller (drawn by B. Lopez),8,13
39,1,7:35.0,S. Hawes enters the game for C. Zeller,,8,13
40,1,7:26.0,,I. Whitehead makes 2-pt layup from 2 ft (assist by J. Harris),8,15
41,1,7:24.0,Charlotte full timeout,,8,15
42,1,7:13.0,M. Williams misses 3-pt jump shot from 23 ft (block by T. Booker),,8,15
43,1,7:13.0,Offensive rebound by Team,,8,15
44,1,7:06.0,N. Batum misses 3-pt jump shot from 24 ft,,8,15
45,1,7:05.0,,Defensive rebound by T. Booker,8,15
46,1,6:53.0,,B. Lopez makes 2-pt layup from 3 ft,8,17
47,1,6:30.0,M. Williams misses 2-pt layup from 2 ft,,8,17
48,1,6:29.0,,Defensive rebound by T. Booker,8,17
49,1,6:23.0,,T. Booker makes 2-pt layup from 3 ft,8,19
50,1,6:08.0,M. Williams misses 3-pt jump shot from 24 ft,,8,19
51,1,6:07.0,,Defensive rebound by J. Harris,8,19
52,1,5:57.0,,I. Whitehead misses 3-pt jump shot from 26 ft,8,19
53,1,5:56.0,,Offensive rebound by T. Booker,8,19
54,1,5:53.0,,B. Lopez misses 3-pt jump shot from 25 ft,8,19
55,1,5:52.0,Defensive rebound by N. Batum,,8,19
56,1,5:47.0,,Violation by B. Lopez (kicked ball),8,19
57,1,5:47.0,,L. Scola enters the game for B. Lopez,8,19
58,1,5:47.0,,S. Kilpatrick enters the game for I. Whitehead,8,19
59,1,5:45.0,,J. Hamilton enters the game for T. Booker,8,19
60,1,5:36.0,S. Hawes misses 2-pt jump shot from 16 ft,,8,19
61,1,5:35.0,,Defensive rebound by L. Scola,8,19
62,1,5:31.0,,B. Bogdanović makes 2-pt jump shot from 22 ft (assist by S. Kilpatrick),8,21
63,1,5:16.0,Turnover by N. Batum (traveling),,8,21
64,1,5:16.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,8,21
65,1,5:16.0,F. Kaminsky enters the game for M. Williams,,8,21
66,1,5:09.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,8,21
67,1,5:06.0,Defensive rebound by S. Hawes,,8,21
68,1,4:59.0,K. Walker makes 2-pt jump shot from 8 ft,,10,21
69,1,4:55.0,Violation by Team (jump ball),,10,21
70,1,4:39.0,,J. Harris misses 2-pt layup from 3 ft,10,21
71,1,4:39.0,,Offensive rebound by Team,10,21
72,1,4:39.0,Loose ball foul by S. Hawes (drawn by J. Hamilton),,10,21
73,1,4:29.0,,J. Hamilton misses 3-pt jump shot from 23 ft,10,21
74,1,4:28.0,Defensive rebound by F. Kaminsky,,10,21
75,1,4:19.0,N. Batum makes 2-pt jump shot from 16 ft,,12,21
76,1,4:06.0,,J. Harris misses 2-pt layup from 2 ft (block by S. Hawes),12,21
77,1,4:05.0,,Offensive rebound by Team,12,21
78,1,3:58.0,,Turnover by S. Kilpatrick (bad pass; steal by M. Belinelli),12,21
79,1,3:48.0,N. Batum misses 3-pt jump shot from 27 ft,,12,21
80,1,3:47.0,Offensive rebound by Team,,12,21
81,1,3:46.0,,Loose ball foul by J. Harris (drawn by F. Kaminsky),12,21
82,1,3:27.0,N. Batum misses 2-pt jump shot from 15 ft,,12,21
83,1,3:26.0,,Defensive rebound by J. Harris,12,21
84,1,3:24.0,Offensive charge foul by B. Bogdanović (drawn by K. Walker),,12,21
85,1,3:24.0,,Turnover by B. Bogdanović (offensive foul),12,21
86,1,3:06.0,K. Walker makes 3-pt jump shot from 23 ft (assist by F. Kaminsky),,15,21
87,1,2:57.0,,Turnover by L. Scola (bad pass),15,21
88,1,2:57.0,,Brooklyn full timeout,15,21
89,1,2:48.0,Personal foul by S. Kilpatrick (drawn by K. Walker),,15,21
90,1,2:48.0,K. Walker makes free throw 1 of 3,,16,21
91,1,2:48.0,K. Walker misses free throw 2 of 3,,16,21
92,1,2:48.0,Offensive rebound by Team,,16,21
93,1,2:48.0,K. Walker makes free throw 3 of 3,,17,21
94,1,2:32.0,,J. Hamilton makes 2-pt jump shot from 7 ft (assist by B. Bogdanović),17,23
95,1,2:14.0,K. Walker misses 2-pt jump shot from 18 ft,,17,23
96,1,2:13.0,,Defensive rebound by J. Hamilton,17,23
