,QUARTER,TIME_REMAINING,UTAH_ACTION,LA CLIPPERS_ACTION,UTAH_SCORE,LA CLIPPERS_SCORE
0,1,11:40.0,G. Hayward misses 3-pt jump shot from 26 ft,,0,0
1,1,11:39.0,,Defensive rebound by C. Paul,0,0
2,1,11:25.0,,Turnover by J. Redick (lost ball; steal by J. Ingles),0,0
3,1,11:15.0,G. Hill makes 2-pt jump shot from 14 ft,,2,0
4,1,10:56.0,,C. Paul makes 2-pt jump shot from 16 ft,2,2
5,1,10:30.0,Turnover by Team (shot clock),,2,2
6,1,10:11.0,,L. Mbah a Moute misses 2-pt jump shot from 21 ft,2,2
7,1,10:11.0,,Offensive rebound by D. Jordan,2,2
8,1,10:11.0,,Shooting foul by R. Gobert (drawn by D. Jordan),2,2
9,1,10:11.0,,D. Jordan misses free throw 1 of 2,2,2
10,1,10:11.0,,Offensive rebound by Team,2,2
11,1,10:11.0,,D. Jordan makes free throw 2 of 2,2,3
12,1,9:53.0,B. Diaw makes 2-pt layup from 2 ft (assist by G. Hill),,4,3
13,1,9:41.0,,A. Rivers misses 2-pt layup from 2 ft (block by B. Diaw),4,3
14,1,9:39.0,Defensive rebound by R. Gobert,,4,3
15,1,9:34.0,G. Hill misses 3-pt jump shot from 24 ft,,4,3
16,1,9:31.0,Offensive rebound by G. Hayward,,4,3
17,1,9:18.0,Turnover by B. Diaw (step out of bounds),,4,3
18,1,9:05.0,,LA Clippers full timeout,4,3
19,1,8:57.0,,Shooting foul by R. Gobert (drawn by L. Mbah a Moute),4,3
20,1,8:57.0,,L. Mbah a Moute makes free throw 1 of 2,4,4
21,1,8:57.0,D. Favors enters the game for R. Gobert,,4,3
22,1,8:57.0,,L. Mbah a Moute makes free throw 2 of 2,4,5
23,1,8:49.0,Personal foul by L. Mbah a Moute (drawn by G. Hayward),,4,5
24,1,8:42.0,G. Hayward makes 2-pt layup from 2 ft (assist by B. Diaw),,6,5
25,1,8:32.0,,C. Paul misses 2-pt jump shot from 5 ft,6,5
26,1,8:31.0,Defensive rebound by Team,,6,5
27,1,8:31.0,,Loose ball foul by C. Paul (drawn by D. Favors),6,5
28,1,8:14.0,G. Hayward misses 2-pt jump shot from 6 ft,,6,5
29,1,8:13.0,Offensive rebound by D. Favors,,6,5
30,1,8:09.0,G. Hill makes 3-pt jump shot from 27 ft (assist by D. Favors),,9,5
31,1,8:08.0,,LA Clippers full timeout,9,5
32,1,7:48.0,,A. Rivers makes 3-pt jump shot from 26 ft (assist by C. Paul),9,8
33,1,7:34.0,D. Favors makes 2-pt jump shot from 13 ft (assist by G. Hayward),,11,8
34,1,7:21.0,,A. Rivers misses 3-pt jump shot from 26 ft,11,8
35,1,7:19.0,Defensive rebound by G. Hill,,11,8
36,1,7:05.0,,P. Pierce enters the game for L. Mbah a Moute,11,8
37,1,6:58.0,G. Hill misses 2-pt jump shot from 14 ft,,11,8
38,1,6:56.0,,Defensive rebound by J. Redick,11,8
39,1,6:50.0,,Turnover by C. Paul (bad pass; steal by J. Ingles),11,8
40,1,6:45.0,J. Ingles makes 2-pt layup from 1 ft (assist by G. Hill),,13,8
41,1,6:24.0,,A. Rivers makes 2-pt dunk at rim (assist by P. Pierce),13,10
42,1,6:08.0,G. Hayward makes 3-pt jump shot from 25 ft (assist by B. Diaw),,16,10
43,1,5:59.0,,C. Paul misses 2-pt jump shot from 4 ft,16,10
44,1,5:58.0,,Offensive rebound by D. Jordan,16,10
45,1,5:58.0,,D. Jordan makes 2-pt dunk at rim,16,12
46,1,5:42.0,B. Diaw misses 2-pt jump shot from 19 ft,,16,12
47,1,5:41.0,,Defensive rebound by D. Jordan,16,12
48,1,5:31.0,,P. Pierce misses 3-pt jump shot from 26 ft,16,12
49,1,5:30.0,Defensive rebound by J. Ingles,,16,12
50,1,5:15.0,G. Hayward misses 2-pt jump shot from 20 ft,,16,12
51,1,5:14.0,,Defensive rebound by P. Pierce,16,12
52,1,5:08.0,,D. Jordan misses 2-pt layup from 2 ft,16,12
53,1,5:06.0,Defensive rebound by B. Diaw,,16,12
54,1,5:03.0,Shooting foul by P. Pierce (drawn by G. Hayward),,16,12
55,1,5:03.0,G. Hayward makes free throw 1 of 2,,17,12
56,1,5:03.0,R. Hood enters the game for J. Ingles,,17,12
57,1,5:03.0,J. Johnson enters the game for B. Diaw,,17,12
58,1,5:03.0,,J. Crawford enters the game for J. Redick,17,12
59,1,5:03.0,G. Hayward makes free throw 2 of 2,,18,12
60,1,4:50.0,,A. Rivers misses 2-pt layup from 1 ft,18,12
61,1,4:49.0,Defensive rebound by D. Favors,,18,12
62,1,4:43.0,Turnover by R. Hood (traveling),,18,12
63,1,4:31.0,,Shooting foul by R. Hood (drawn by D. Jordan),18,12
64,1,4:31.0,,D. Jordan makes free throw 1 of 2,18,13
65,1,4:31.0,,D. Jordan misses free throw 2 of 2,18,13
66,1,4:29.0,Defensive rebound by D. Favors,,18,13
67,1,4:07.0,G. Hayward misses 2-pt jump shot from 16 ft,,18,13
68,1,4:04.0,,Defensive rebound by D. Jordan,18,13
69,1,3:57.0,,C. Paul makes 2-pt jump shot from 6 ft,18,15
70,1,3:56.0,Utah full timeout,,18,15
71,1,3:56.0,,R. Felton enters the game for A. Rivers,18,15
72,1,3:32.0,G. Hill misses 2-pt jump shot from 12 ft,,18,15
73,1,3:31.0,Offensive rebound by D. Favors,,18,15
74,1,3:31.0,D. Favors makes 2-pt layup from 2 ft,,20,15
75,1,3:19.0,,C. Paul makes 3-pt jump shot from 27 ft,20,18
76,1,3:03.0,R. Hood makes 2-pt jump shot from 17 ft (assist by D. Favors),,22,18
77,1,2:47.0,,C. Paul makes 2-pt jump shot from 16 ft,22,20
78,1,2:32.0,D. Favors makes 2-pt jump shot from 12 ft (assist by G. Hill),,24,20
79,1,2:12.0,,J. Crawford misses 3-pt jump shot from 27 ft,24,20
80,1,2:11.0,,Offensive rebound by D. Jordan,24,20
81,1,1:55.0,Violation by G. Hayward (kicked ball),,24,20
82,1,1:55.0,R. Neto enters the game for G. Hill,,24,20
83,1,1:44.0,,C. Paul misses 2-pt jump shot from 17 ft,24,20
84,1,1:43.0,Defensive rebound by D. Favors,,24,20
85,1,1:24.0,J. Johnson misses 3-pt jump shot from 26 ft,,24,20
86,1,1:22.0,,Defensive rebound by D. Jordan,24,20
87,1,1:09.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),24,22
88,1,0:45.0,R. Neto misses 3-pt jump shot from 27 ft,,24,22
89,1,0:45.0,,Defensive rebound by Team,24,22
90,1,0:45.0,,A. Rivers enters the game for C. Paul,24,22
91,1,0:45.0,,M. Speights enters the game for D. Jordan,24,22
92,1,0:45.0,B. Diaw enters the game for D. Favors,,24,22
93,1,0:45.0,J. Ingles enters the game for G. Hayward,,24,22
94,1,0:34.0,,R. Felton makes 2-pt layup from 2 ft,24,24
95,1,0:19.0,Turnover by B. Diaw (bad pass),,24,24
96,1,0:19.0,,C. Paul enters the game for P. Pierce,24,24
97,1,0:19.0,D. Favors enters the game for B. Diaw,,24,24
98,1,0:02.0,,R. Felton misses 2-pt jump shot from 21 ft,24,24
99,1,0:01.0,Defensive rebound by J. Ingles,,24,24
100,2,11:43.0,,A. Rivers misses 2-pt jump shot from 5 ft,24,24
101,2,11:41.0,Defensive rebound by R. Gobert,,24,24
102,2,11:29.0,R. Hood makes 2-pt layup from 2 ft,,26,24
103,2,11:29.0,Shooting foul by M. Speights (drawn by R. Hood),,26,24
104,2,11:29.0,R. Hood misses free throw 1 of 1,,26,24
105,2,11:28.0,,Defensive rebound by M. Speights,26,24
106,2,11:07.0,,M. Speights misses 3-pt jump shot from 26 ft,26,24
107,2,11:06.0,Defensive rebound by J. Johnson,,26,24
108,2,10:52.0,R. Hood makes 3-pt jump shot from 26 ft (assist by J. Johnson),,29,24
109,2,10:29.0,,J. Crawford makes 2-pt jump shot from 8 ft,29,26
