,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CLEVELAND_ACTION,GOLDEN STATE_SCORE,CLEVELAND_SCORE
0,1,11:42.0,Turnover by S. Curry (bad pass),,0,0
1,1,11:22.0,,Turnover by L. James (bad pass; steal by K. Durant),0,0
2,1,11:17.0,K. Durant makes 2-pt layup from 1 ft,,2,0
3,1,10:59.0,,L. James misses 2-pt layup from 1 ft,2,0
4,1,10:58.0,Defensive rebound by Z. Pachulia,,2,0
5,1,10:51.0,K. Thompson misses 3-pt jump shot from 23 ft,,2,0
6,1,10:50.0,,Defensive rebound by K. Love,2,0
7,1,10:42.0,,K. Love misses 3-pt jump shot from 25 ft,2,0
8,1,10:42.0,Defensive rebound by Z. Pachulia,,2,0
9,1,10:30.0,Turnover by D. Green (bad pass; steal by K. Love),,2,0
10,1,10:24.0,,K. Irving misses 2-pt layup from 1 ft,2,0
11,1,10:24.0,,Offensive rebound by Team,2,0
12,1,10:08.0,,Shooting foul by D. Green (drawn by K. Love),2,0
13,1,10:08.0,,K. Love makes free throw 1 of 2,2,1
14,1,10:08.0,,K. Love makes free throw 2 of 2,2,2
15,1,9:57.0,K. Thompson makes 2-pt layup from 2 ft (assist by Z. Pachulia),,4,2
16,1,9:38.0,,T. Thompson misses 2-pt hook shot from 6 ft,4,2
17,1,9:38.0,Defensive rebound by Z. Pachulia,,4,2
18,1,9:31.0,K. Thompson misses 3-pt jump shot from 27 ft,,4,2
19,1,9:31.0,,Defensive rebound by D. Liggins,4,2
20,1,9:25.0,,Shooting foul by D. Green (drawn by D. Liggins),4,2
21,1,9:25.0,Technical foul by D. Green,,4,2
22,1,9:25.0,,K. Irving makes technical free throw,4,3
23,1,9:25.0,,D. Liggins misses free throw 1 of 2,4,3
24,1,9:25.0,,Offensive rebound by Team,4,3
25,1,9:25.0,,D. Liggins misses free throw 2 of 2,4,3
26,1,9:25.0,K. Looney enters the game for D. Green,,4,3
27,1,9:24.0,Defensive rebound by K. Durant,,4,3
28,1,9:20.0,Shooting foul by T. Thompson (drawn by K. Durant),,4,3
29,1,9:20.0,K. Durant makes free throw 1 of 2,,5,3
30,1,9:20.0,K. Durant makes free throw 2 of 2,,6,3
31,1,9:06.0,,K. Love makes 3-pt jump shot from 25 ft (assist by K. Irving),6,6
32,1,8:45.0,Turnover by Z. Pachulia (lost ball; steal by K. Irving),,6,6
33,1,8:37.0,,L. James misses 2-pt layup from 1 ft,6,6
34,1,8:37.0,,Offensive rebound by T. Thompson,6,6
35,1,8:33.0,,Turnover by L. James (bad pass),6,6
36,1,8:10.0,K. Durant misses 3-pt jump shot from 27 ft,,6,6
37,1,8:09.0,,Defensive rebound by L. James,6,6
38,1,7:59.0,,K. Love misses 2-pt layup from 2 ft,6,6
39,1,7:58.0,Defensive rebound by K. Durant,,6,6
40,1,7:49.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by K. Durant),,8,6
41,1,7:35.0,,K. Love misses 3-pt jump shot from 26 ft,8,6
42,1,7:34.0,,Offensive rebound by Team,8,6
43,1,7:34.0,Loose ball foul by Z. Pachulia (drawn by T. Thompson),,8,6
44,1,7:34.0,J. McGee enters the game for Z. Pachulia,,8,6
45,1,7:23.0,,K. Love misses 2-pt hook shot from 3 ft,8,6
46,1,7:21.0,Defensive rebound by K. Thompson,,8,6
47,1,7:16.0,Turnover by K. Thompson (bad pass; steal by D. Liggins),,8,6
48,1,7:05.0,,K. Irving makes 2-pt jump shot from 14 ft,8,8
49,1,6:55.0,Golden State full timeout,,8,8
50,1,6:44.0,K. Durant misses 3-pt jump shot from 25 ft,,8,8
51,1,6:43.0,,Defensive rebound by D. Liggins,8,8
52,1,6:41.0,,Personal foul by K. Looney (drawn by D. Liggins),8,8
53,1,6:26.0,,K. Irving makes 2-pt jump shot from 14 ft (assist by K. Love),8,10
54,1,6:02.0,K. Thompson misses 3-pt jump shot from 23 ft,,8,10
55,1,5:59.0,Offensive rebound by J. McGee,,8,10
56,1,5:59.0,J. McGee makes 2-pt dunk at rim,,10,10
57,1,5:41.0,,D. Liggins misses 2-pt jump shot from 5 ft,10,10
58,1,5:41.0,Defensive rebound by J. McGee,,10,10
59,1,5:31.0,Shooting foul by D. Liggins (drawn by K. Durant),,10,10
60,1,5:31.0,K. Durant makes free throw 1 of 2,,11,10
61,1,5:31.0,,I. Shumpert enters the game for D. Liggins,11,10
62,1,5:31.0,K. Durant makes free throw 2 of 2,,12,10
63,1,5:13.0,,I. Shumpert misses 3-pt jump shot from 23 ft,12,10
64,1,5:13.0,Defensive rebound by K. Looney,,12,10
65,1,5:04.0,Turnover by K. Thompson (bad pass; steal by L. James),,12,10
66,1,4:59.0,,L. James makes 2-pt layup from 2 ft,12,12
67,1,4:52.0,K. Durant makes 2-pt dunk at rim,,14,12
68,1,4:46.0,,L. James makes 2-pt dunk at rim (assist by K. Love),14,14
69,1,4:36.0,S. Curry misses 3-pt jump shot from 25 ft,,14,14
70,1,4:36.0,,Defensive rebound by K. Irving,14,14
71,1,4:27.0,,I. Shumpert misses 2-pt jump shot from 15 ft,14,14
72,1,4:27.0,,Offensive rebound by Team,14,14
73,1,4:16.0,,K. Irving misses 2-pt jump shot from 15 ft,14,14
74,1,4:15.0,Defensive rebound by K. Durant,,14,14
75,1,3:58.0,Shooting block foul by K. Love (drawn by K. Durant),,14,14
76,1,3:58.0,K. Durant makes free throw 1 of 2,,15,14
77,1,3:58.0,A. Iguodala enters the game for K. Looney,,15,14
78,1,3:58.0,K. Durant makes free throw 2 of 2,,16,14
79,1,3:47.0,,L. James misses 3-pt jump shot from 25 ft,16,14
80,1,3:46.0,Defensive rebound by K. Durant,,16,14
81,1,3:38.0,K. Durant makes 2-pt jump shot from 10 ft,,18,14
82,1,3:20.0,,I. Shumpert misses 2-pt jump shot from 9 ft,18,14
83,1,3:19.0,Defensive rebound by Team,,18,14
84,1,3:19.0,Golden State full timeout,,18,14
85,1,3:19.0,I. Clark enters the game for K. Thompson,,18,14
86,1,3:19.0,,R. Jefferson enters the game for T. Thompson,18,14
87,1,3:19.0,,C. Frye enters the game for K. Irving,18,14
88,1,2:59.0,I. Clark misses 2-pt jump shot from 18 ft,,18,14
89,1,2:58.0,,Defensive rebound by K. Love,18,14
90,1,2:47.0,,Cleveland full timeout,18,14
91,1,2:47.0,D. West enters the game for J. McGee,,18,14
92,1,2:41.0,,Turnover by C. Frye (bad pass),18,14
93,1,2:30.0,Shooting foul by C. Frye (drawn by D. West),,18,14
94,1,2:30.0,D. West makes free throw 1 of 2,,19,14
95,1,2:30.0,D. West makes free throw 2 of 2,,20,14
96,1,2:19.0,,L. James makes 2-pt layup from 1 ft,20,16
97,1,2:07.0,S. Curry misses 3-pt jump shot from 26 ft,,20,16
98,1,2:07.0,,Defensive rebound by Team,20,16
99,1,1:51.0,,I. Shumpert misses 2-pt layup from 1 ft,20,16
100,1,1:49.0,,Offensive rebound by I. Shumpert,20,16
101,1,1:47.0,,C. Frye misses 3-pt jump shot from 25 ft,20,16
102,1,1:47.0,,Offensive rebound by K. Love,20,16
103,1,1:45.0,,K. Love makes 2-pt layup from 2 ft,20,18
104,1,1:18.0,Shooting foul by L. James (drawn by S. Curry),,20,18
105,1,1:18.0,S. Curry makes free throw 1 of 2,,21,18
106,1,1:18.0,S. Curry makes free throw 2 of 2,,22,18
107,1,1:09.0,,Shooting foul by S. Curry (drawn by R. Jefferson),22,18
108,1,1:09.0,,R. Jefferson makes free throw 1 of 2,22,19
109,1,1:09.0,K. Thompson enters the game for S. Curry,,22,19
110,1,1:09.0,,K. Irving enters the game for L. James,22,19
111,1,1:09.0,,R. Jefferson makes free throw 2 of 2,22,20
112,1,0:56.0,I. Clark makes 2-pt layup from 2 ft (assist by D. West),,24,20
113,1,0:44.0,,C. Frye makes 3-pt jump shot from 24 ft (assist by K. Irving),24,23
114,1,0:31.0,Personal foul by I. Shumpert (drawn by K. Thompson),,24,23
115,1,0:31.0,K. Thompson makes free throw 1 of 2,,25,23
116,1,0:31.0,K. Thompson misses free throw 2 of 2,,25,23
117,1,0:30.0,,Defensive rebound by C. Frye,25,23
118,1,0:20.0,,Shooting foul by D. West (drawn by I. Shumpert),25,23
119,1,0:20.0,,I. Shumpert makes free throw 1 of 2,25,24
120,1,0:20.0,S. Curry enters the game for A. Iguodala,,25,24
121,1,0:20.0,,T. Thompson enters the game for K. Love,25,24
122,1,0:20.0,,D. Liggins enters the game for C. Frye,25,24
123,1,0:20.0,,I. Shumpert makes free throw 2 of 2,25,25
124,1,0:01.0,K. Thompson makes 2-pt layup from 2 ft (assist by D. West),,27,25
125,2,11:49.0,,Personal foul by A. Iguodala (drawn by L. James),27,25
126,2,11:36.0,,L. James misses 3-pt jump shot from 23 ft,27,25
127,2,11:35.0,Defensive rebound by S. Livingston,,27,25
128,2,11:21.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Livingston),,30,25
129,2,11:09.0,,I. Shumpert misses 3-pt jump shot from 23 ft,30,25
130,2,11:09.0,,Offensive rebound by L. James,30,25
131,2,10:58.0,,R. Jefferson misses 3-pt jump shot from 25 ft,30,25
132,2,10:58.0,,Offensive rebound by I. Shumpert,30,25
133,2,10:51.0,,C. Frye makes 2-pt dunk at rim (assist by K. Irving),30,27
134,2,10:34.0,D. West misses 2-pt layup from 3 ft,,30,27
135,2,10:33.0,Offensive rebound by D. West,,30,27
136,2,10:28.0,K. Thompson makes 2-pt jump shot from 19 ft (assist by D. West),,32,27
137,2,10:15.0,,K. Irving misses 3-pt jump shot from 26 ft,32,27
138,2,10:15.0,Defensive rebound by D. Green,,32,27
139,2,10:05.0,K. Thompson misses 3-pt jump shot from 22 ft,,32,27
140,2,10:05.0,,Defensive rebound by I. Shumpert,32,27
141,2,9:49.0,,C. Frye makes 3-pt jump shot from 24 ft (assist by L. James),32,30
142,2,9:42.0,Golden State full timeout,,32,30
143,2,9:35.0,D. West makes 2-pt hook shot from 6 ft (assist by A. Iguodala),,34,30
144,2,9:35.0,Shooting foul by I. Shumpert (drawn by D. West),,34,30
145,2,9:35.0,D. West makes free throw 1 of 1,,35,30
146,2,9:17.0,,C. Frye makes 2-pt dunk at rim (assist by L. James),35,32
147,2,8:59.0,D. Green misses 3-pt jump shot from 26 ft,,35,32
148,2,8:59.0,Offensive rebound by A. Iguodala,,35,32
149,2,8:48.0,D. Green makes 2-pt layup from 1 ft (assist by A. Iguodala),,37,32
150,2,8:36.0,,R. Jefferson misses 2-pt layup from 2 ft (block by S. Livingston),37,32
151,2,8:36.0,Defensive rebound by S. Livingston,,37,32
152,2,8:27.0,S. Livingston misses 2-pt jump shot from 15 ft,,37,32
153,2,8:25.0,,Defensive rebound by L. James,37,32
154,2,8:16.0,,I. Shumpert misses 3-pt jump shot from 25 ft,37,32
155,2,8:16.0,,Offensive rebound by L. James,37,32
156,2,8:12.0,,L. James misses 2-pt layup from 1 ft,37,32
157,2,8:11.0,Defensive rebound by D. Green,,37,32
158,2,8:04.0,K. Thompson makes 3-pt jump shot from 25 ft (assist by D. West),,40,32
159,2,8:04.0,,Cleveland full timeout,40,32
160,2,7:51.0,,K. Irving makes 2-pt jump shot from 4 ft,40,34
161,2,7:26.0,D. West misses 2-pt hook shot from 2 ft,,40,34
162,2,7:26.0,,Defensive rebound by R. Jefferson,40,34
163,2,7:16.0,,K. Irving misses 2-pt layup from 1 ft,40,34
164,2,7:15.0,,Offensive rebound by K. Irving,40,34
165,2,7:15.0,,K. Irving makes 2-pt layup from 2 ft,40,36
166,2,6:59.0,Turnover by D. Green (bad pass; steal by K. Irving),,40,36
167,2,6:55.0,,Turnover by R. Jefferson (bad pass; steal by K. Thompson),40,36
168,2,6:51.0,Shooting foul by R. Jefferson (drawn by S. Livingston),,40,36
169,2,6:51.0,S. Livingston makes free throw 1 of 2,,41,36
170,2,6:51.0,K. Durant enters the game for D. West,,41,36
171,2,6:51.0,S. Curry enters the game for A. Iguodala,,41,36
172,2,6:51.0,,T. Thompson enters the game for C. Frye,41,36
173,2,6:51.0,,D. Liggins enters the game for L. James,41,36
174,2,6:51.0,S. Livingston makes free throw 2 of 2,,42,36
175,2,6:30.0,,R. Jefferson misses 2-pt jump shot from 12 ft (block by K. Durant),42,36
176,2,6:29.0,Defensive rebound by K. Durant,,42,36
177,2,6:16.0,D. Green makes 2-pt layup from 2 ft (assist by S. Livingston),,44,36
178,2,5:57.0,,K. Irving misses 2-pt jump shot from 15 ft,44,36
179,2,5:54.0,,Offensive rebound by T. Thompson,44,36
180,2,5:54.0,,T. Thompson makes 2-pt dunk at rim,44,38
181,2,5:43.0,Offensive foul by S. Curry (drawn by I. Shumpert),,44,38
182,2,5:43.0,Turnover by S. Curry (offensive foul),,44,38
183,2,5:27.0,,K. Irving misses 2-pt jump shot from 17 ft,44,38
184,2,5:25.0,Defensive rebound by S. Curry,,44,38
