,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,WASHINGTON_ACTION,MEMPHIS_SCORE,WASHINGTON_SCORE
0,1,11:41.0,C. Parsons misses 2-pt jump shot from 7 ft,,0,0
1,1,11:40.0,,Defensive rebound by M. Gortat,0,0
2,1,11:26.0,,Shooting foul by J. Green (drawn by M. Morris),0,0
3,1,11:26.0,,M. Morris makes free throw 1 of 3,0,1
4,1,11:26.0,,M. Morris makes free throw 2 of 3,0,2
5,1,11:26.0,,M. Morris makes free throw 3 of 3,0,3
6,1,11:11.0,M. Gasol makes 2-pt hook shot from 4 ft (assist by M. Conley),,2,3
7,1,10:56.0,,M. Gortat makes 2-pt hook shot from 9 ft (assist by J. Wall),2,5
8,1,10:46.0,M. Gasol misses 3-pt jump shot from 29 ft,,2,5
9,1,10:45.0,,Defensive rebound by M. Morris,2,5
10,1,10:40.0,,B. Beal makes 2-pt layup from 1 ft (assist by J. Wall),2,7
11,1,10:27.0,M. Conley makes 3-pt jump shot from 26 ft,,5,7
12,1,10:13.0,,B. Beal misses 2-pt jump shot from 19 ft,5,7
13,1,10:12.0,Defensive rebound by J. Green,,5,7
14,1,9:58.0,C. Parsons misses 3-pt jump shot from 27 ft,,5,7
15,1,9:57.0,,Defensive rebound by O. Porter,5,7
16,1,9:43.0,,J. Wall misses 3-pt jump shot from 25 ft,5,7
17,1,9:42.0,Defensive rebound by M. Gasol,,5,7
18,1,9:31.0,M. Conley makes 2-pt layup from 1 ft,,7,7
19,1,9:11.0,,O. Porter makes 3-pt jump shot from 27 ft (assist by M. Morris),7,10
20,1,8:46.0,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),,9,10
21,1,8:28.0,,M. Gortat misses 2-pt layup at rim,9,10
22,1,8:27.0,Defensive rebound by C. Parsons,,9,10
23,1,8:18.0,Turnover by C. Parsons (bad pass),,9,10
24,1,8:06.0,,O. Porter makes 3-pt jump shot from 23 ft (assist by J. Wall),9,13
25,1,7:44.0,M. Gasol makes 2-pt jump shot from 12 ft,,11,13
26,1,7:29.0,,M. Morris misses 3-pt jump shot from 23 ft,11,13
27,1,7:28.0,Defensive rebound by T. Allen,,11,13
28,1,7:23.0,Turnover by T. Allen (bad pass; steal by B. Beal),,11,13
29,1,7:13.0,,M. Gortat makes 2-pt jump shot from 4 ft (assist by J. Wall),11,15
30,1,7:09.0,Memphis full timeout,,11,15
31,1,6:58.0,M. Gasol misses 2-pt jump shot from 9 ft,,11,15
32,1,6:57.0,,Defensive rebound by M. Morris,11,15
33,1,6:52.0,,J. Wall makes 2-pt layup at rim,11,17
34,1,6:37.0,Shooting foul by M. Morris (drawn by C. Parsons),,11,17
35,1,6:37.0,C. Parsons makes free throw 1 of 2,,12,17
36,1,6:37.0,C. Parsons misses free throw 2 of 2,,12,17
37,1,6:36.0,,Defensive rebound by M. Gortat,12,17
38,1,6:12.0,,J. Wall misses 2-pt jump shot from 4 ft,12,17
39,1,6:12.0,,Offensive rebound by Team,12,17
40,1,6:12.0,,Turnover by Team (shot clock),12,17
41,1,6:00.0,M. Conley misses 3-pt jump shot from 27 ft,,12,17
42,1,5:59.0,,Defensive rebound by M. Morris,12,17
43,1,5:50.0,,B. Beal misses 3-pt jump shot from 25 ft,12,17
44,1,5:49.0,Defensive rebound by J. Green,,12,17
45,1,5:45.0,Shooting foul by J. Wall (drawn by M. Conley),,12,17
46,1,5:45.0,M. Conley makes free throw 1 of 2,,13,17
47,1,5:45.0,V. Carter enters the game for C. Parsons,,13,17
48,1,5:45.0,,K. Oubre enters the game for M. Morris,13,17
49,1,5:45.0,Z. Randolph enters the game for M. Gasol,,13,17
50,1,5:45.0,M. Conley makes free throw 2 of 2,,14,17
51,1,5:27.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by B. Beal),14,20
52,1,5:06.0,Z. Randolph misses 2-pt jump shot from 23 ft,,14,20
53,1,5:05.0,,Defensive rebound by O. Porter,14,20
54,1,4:51.0,,O. Porter makes 3-pt jump shot from 26 ft (assist by J. Wall),14,23
55,1,4:36.0,J. Green makes 2-pt dunk at rim (assist by M. Conley),,16,23
56,1,4:15.0,,K. Oubre misses 3-pt jump shot from 23 ft,16,23
57,1,4:14.0,,Offensive rebound by M. Gortat,16,23
58,1,4:10.0,,O. Porter misses 3-pt jump shot from 28 ft,16,23
59,1,4:10.0,Defensive rebound by V. Carter,,16,23
60,1,3:57.0,Z. Randolph makes 2-pt jump shot from 19 ft (assist by M. Conley),,18,23
61,1,3:44.0,,Shooting foul by Z. Randolph (drawn by J. Wall),18,23
62,1,3:44.0,,Technical foul by J. Wall,18,23
63,1,3:44.0,M. Conley makes technical free throw,,19,23
64,1,3:44.0,,J. Wall makes free throw 1 of 2,19,24
65,1,3:44.0,A. Harrison enters the game for J. Green,,19,24
66,1,3:44.0,M. Gasol enters the game for M. Conley,,19,24
67,1,3:44.0,,J. Wall makes free throw 2 of 2,19,25
68,1,3:29.0,Z. Randolph makes 2-pt jump shot from 5 ft (assist by M. Gasol),,21,25
69,1,3:21.0,,Washington full timeout,21,25
70,1,3:21.0,J. Ennis enters the game for T. Allen,,21,25
71,1,3:21.0,,J. Smith enters the game for O. Porter,21,25
72,1,3:14.0,,K. Oubre misses 3-pt jump shot from 27 ft,21,25
73,1,3:13.0,Defensive rebound by Z. Randolph,,21,25
74,1,2:51.0,V. Carter misses 3-pt jump shot from 28 ft,,21,25
75,1,2:50.0,,Defensive rebound by M. Gortat,21,25
76,1,2:38.0,,J. Smith misses 2-pt jump shot from 18 ft,21,25
77,1,2:37.0,Defensive rebound by J. Ennis,,21,25
78,1,2:29.0,J. Ennis makes 2-pt layup from 2 ft (assist by A. Harrison),,23,25
79,1,2:17.0,,J. Wall makes 3-pt jump shot from 26 ft (assist by B. Beal),23,28
80,1,1:59.0,Personal foul by M. Gortat (drawn by Z. Randolph),,23,28
81,1,1:59.0,,T. Satoranský enters the game for B. Beal,23,28
82,1,1:47.0,Z. Randolph misses 2-pt jump shot from 19 ft,,23,28
83,1,1:46.0,,Defensive rebound by K. Oubre,23,28
84,1,1:30.0,,J. Wall makes 2-pt jump shot from 16 ft (assist by K. Oubre),23,30
85,1,1:02.0,Z. Randolph misses 2-pt jump shot from 10 ft,,23,30
86,1,1:01.0,Offensive rebound by J. Ennis,,23,30
87,1,0:37.0,J. Ennis misses 3-pt jump shot from 24 ft,,23,30
88,1,0:37.0,,Defensive rebound by J. Smith,23,30
89,1,0:31.0,,J. Wall misses 3-pt jump shot from 27 ft,23,30
90,1,0:28.0,Defensive rebound by Z. Randolph,,23,30
91,1,0:11.0,Personal block foul by K. Oubre (drawn by V. Carter),,23,30
92,1,0:11.0,V. Carter misses free throw 1 of 2,,23,30
93,1,0:11.0,Offensive rebound by Team,,23,30
94,1,0:11.0,J. Green enters the game for Z. Randolph,,23,30
95,1,0:11.0,,B. Beal enters the game for T. Satoranský,23,30
96,1,0:11.0,V. Carter makes free throw 2 of 2,,24,30
97,1,0:01.0,,Turnover by J. Wall (bad pass; steal by V. Carter),24,30
98,2,11:37.0,,M. Morris makes 2-pt jump shot from 17 ft (assist by K. Oubre),24,32
99,2,11:21.0,V. Carter makes 3-pt jump shot from 26 ft (assist by M. Gasol),,27,32
100,2,11:02.0,,M. Morris misses 3-pt jump shot from 25 ft,27,32
101,2,11:01.0,Defensive rebound by A. Harrison,,27,32
102,2,10:53.0,Z. Randolph misses 2-pt layup from 1 ft,,27,32
103,2,10:52.0,,Defensive rebound by M. Morris,27,32
104,2,10:50.0,,Turnover by M. Morris (bad pass; steal by V. Carter),27,32
105,2,10:44.0,M. Gasol misses 3-pt jump shot from 27 ft,,27,32
106,2,10:44.0,,Defensive rebound by T. Satoranský,27,32
107,2,10:26.0,,M. Morris makes 2-pt layup at rim,27,34
108,2,10:11.0,Turnover by A. Harrison (bad pass; steal by J. Smith),,27,34
109,2,10:08.0,,J. Smith makes 2-pt dunk at rim,27,36
110,2,9:59.0,Memphis full timeout,,27,36
111,2,9:59.0,J. Green enters the game for Z. Randolph,,27,36
112,2,9:48.0,V. Carter misses 3-pt jump shot from 27 ft,,27,36
113,2,9:47.0,Offensive rebound by J. Green,,27,36
114,2,9:46.0,J. Green makes 2-pt dunk at rim,,29,36
115,2,9:31.0,,K. Oubre makes 2-pt jump shot from 7 ft (assist by T. Satoranský),29,38
116,2,9:31.0,,Shooting foul by J. Ennis (drawn by K. Oubre),29,38
117,2,9:31.0,T. Allen enters the game for J. Ennis,,29,38
118,2,9:31.0,,K. Oubre makes free throw 1 of 1,29,39
119,2,9:07.0,A. Harrison misses 3-pt jump shot from 25 ft,,29,39
120,2,9:06.0,,Defensive rebound by K. Oubre,29,39
121,2,9:01.0,,T. Burke makes 2-pt jump shot from 16 ft (assist by K. Oubre),29,41
122,2,8:49.0,Personal foul by J. Smith (drawn by M. Gasol),,29,41
123,2,8:43.0,Def 3 sec tech foul by M. Morris,,29,41
124,2,8:43.0,M. Gasol makes technical free throw,,30,41
125,2,8:43.0,C. Parsons enters the game for V. Carter,,30,41
126,2,8:32.0,M. Gasol misses 2-pt jump shot from 15 ft,,30,41
127,2,8:31.0,,Defensive rebound by T. Burke,30,41
128,2,8:24.0,,Personal foul by J. Green (drawn by M. Morris),30,41
129,2,8:19.0,,M. Morris makes 2-pt jump shot from 14 ft (assist by T. Burke),30,43
130,2,8:01.0,J. Green makes 3-pt jump shot from 26 ft (assist by A. Harrison),,33,43
131,2,7:41.0,,T. Burke misses 2-pt jump shot from 19 ft,33,43
132,2,7:40.0,,Offensive rebound by T. Satoranský,33,43
133,2,7:25.0,,M. Morris makes 2-pt jump shot from 13 ft (assist by T. Satoranský),33,45
134,2,7:12.0,T. Allen misses 2-pt layup from 2 ft,,33,45
135,2,7:11.0,,Defensive rebound by M. Morris,33,45
136,2,6:59.0,,T. Burke makes 2-pt jump shot from 5 ft,33,47
137,2,6:59.0,,Shooting foul by A. Harrison (drawn by T. Burke),33,47
138,2,6:59.0,,B. Beal enters the game for T. Satoranský,33,47
139,2,6:59.0,M. Conley enters the game for A. Harrison,,33,47
140,2,6:59.0,Z. Randolph enters the game for M. Gasol,,33,47
141,2,6:59.0,,T. Burke makes free throw 1 of 1,33,48
142,2,6:35.0,M. Conley misses 3-pt jump shot from 28 ft,,33,48
143,2,6:34.0,Offensive rebound by T. Allen,,33,48
144,2,6:31.0,Shooting foul by B. Beal (drawn by T. Allen),,33,48
145,2,6:31.0,T. Allen makes free throw 1 of 2,,34,48
146,2,6:31.0,T. Allen misses free throw 2 of 2,,34,48
147,2,6:31.0,,J. Wall enters the game for T. Burke,34,48
148,2,6:30.0,,Defensive rebound by B. Beal,34,48
149,2,6:19.0,Violation by T. Allen (kicked ball),,34,48
150,2,6:19.0,,Washington full timeout,34,48
151,2,6:19.0,,M. Gortat enters the game for J. Smith,34,48
152,2,6:09.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by J. Wall),34,51
153,2,5:57.0,C. Parsons misses 2-pt layup from 1 ft,,34,51
154,2,5:56.0,Offensive rebound by C. Parsons,,34,51
155,2,5:53.0,C. Parsons misses 2-pt jump shot from 17 ft,,34,51
156,2,5:52.0,Offensive rebound by T. Allen,,34,51
157,2,5:52.0,Shooting foul by M. Gortat (drawn by T. Allen),,34,51
158,2,5:52.0,T. Allen misses free throw 1 of 2,,34,51
159,2,5:52.0,Offensive rebound by Team,,34,51
160,2,5:52.0,,O. Porter enters the game for K. Oubre,34,51
161,2,5:52.0,T. Allen makes free throw 2 of 2,,35,51
162,2,5:44.0,,Turnover by J. Wall (bad pass; steal by J. Green),35,51
163,2,5:37.0,J. Green makes 3-pt jump shot from 25 ft (assist by M. Conley),,38,51
164,2,5:20.0,,B. Beal misses 2-pt jump shot from 15 ft,38,51
165,2,5:19.0,,Offensive rebound by M. Morris,38,51
166,2,5:12.0,,M. Morris misses 3-pt jump shot from 26 ft,38,51
167,2,5:11.0,Defensive rebound by Z. Randolph,,38,51
168,2,4:54.0,Z. Randolph misses 2-pt jump shot from 14 ft,,38,51
169,2,4:53.0,Offensive rebound by T. Allen,,38,51
170,2,4:51.0,T. Allen makes 2-pt layup at rim,,40,51
171,2,4:24.0,,J. Wall misses 2-pt jump shot from 14 ft,40,51
172,2,4:23.0,,Offensive rebound by M. Morris,40,51
173,2,4:22.0,,M. Morris makes 2-pt dunk at rim,40,53
174,2,4:16.0,T. Allen misses 2-pt layup from 3 ft,,40,53
175,2,4:15.0,,Defensive rebound by O. Porter,40,53
176,2,4:03.0,,M. Morris misses 2-pt layup from 1 ft,40,53
177,2,4:02.0,Defensive rebound by J. Green,,40,53
