,QUARTER,TIME_REMAINING,ORLANDO_ACTION,CHICAGO_ACTION,ORLANDO_SCORE,CHICAGO_SCORE
0,1,11:40.0,E. Fournier makes 2-pt layup from 3 ft (assist by A. Gordon),,2,0
1,1,11:25.0,,R. Lopez makes 2-pt hook shot from 7 ft (assist by R. Rondo),2,2
2,1,11:14.0,S. Ibaka misses 2-pt jump shot from 8 ft,,2,2
3,1,11:13.0,,Defensive rebound by D. Wade,2,2
4,1,11:01.0,,T. Gibson misses 2-pt hook shot from 8 ft,2,2
5,1,10:59.0,Defensive rebound by N. Vučević,,2,2
6,1,10:50.0,N. Vučević makes 2-pt jump shot from 12 ft,,4,2
7,1,10:38.0,,R. Lopez makes 2-pt jump shot from 13 ft (assist by J. Butler),4,4
8,1,10:31.0,A. Gordon misses 2-pt layup from 2 ft,,4,4
9,1,10:29.0,,Defensive rebound by R. Rondo,4,4
10,1,10:19.0,,R. Rondo misses 2-pt jump shot from 13 ft,4,4
11,1,10:18.0,Defensive rebound by S. Ibaka,,4,4
12,1,10:05.0,N. Vučević makes 2-pt jump shot from 12 ft (assist by E. Fournier),,6,4
13,1,9:48.0,,T. Gibson makes 2-pt layup from 2 ft (assist by D. Wade),6,6
14,1,9:38.0,N. Vučević makes 2-pt jump shot from 7 ft (assist by E. Payton),,8,6
15,1,9:26.0,,R. Rondo makes 2-pt layup from 1 ft,8,8
16,1,9:19.0,Turnover by E. Payton (lost ball; steal by J. Butler),,8,8
17,1,9:15.0,,D. Wade makes 2-pt layup from 3 ft (assist by R. Rondo),8,10
18,1,9:07.0,E. Fournier makes 2-pt dunk at rim (assist by E. Payton),,10,10
19,1,8:45.0,,R. Lopez makes 2-pt hook shot from 10 ft (assist by J. Butler),10,12
20,1,8:25.0,A. Gordon makes 2-pt jump shot from 15 ft,,12,12
21,1,8:10.0,,T. Gibson misses 2-pt jump shot from 13 ft (block by S. Ibaka),12,12
22,1,8:09.0,Defensive rebound by S. Ibaka,,12,12
23,1,8:06.0,A. Gordon makes 2-pt dunk at rim (assist by E. Payton),,14,12
24,1,7:38.0,,R. Rondo misses 2-pt layup from 2 ft (block by E. Payton),14,12
25,1,7:37.0,,Offensive rebound by R. Rondo,14,12
26,1,7:35.0,,T. Gibson makes 2-pt jump shot from 9 ft (assist by R. Rondo),14,14
27,1,7:21.0,S. Ibaka makes 2-pt hook shot from 12 ft (assist by N. Vučević),,16,14
28,1,7:05.0,,Shooting foul by A. Gordon (drawn by J. Butler),16,14
29,1,7:05.0,,J. Butler makes free throw 1 of 2,16,15
30,1,7:05.0,,J. Butler makes free throw 2 of 2,16,16
31,1,6:54.0,N. Vučević makes 2-pt jump shot from 19 ft (assist by E. Payton),,18,16
32,1,6:46.0,,Turnover by J. Butler (bad pass; steal by S. Ibaka),18,16
33,1,6:41.0,E. Payton makes 2-pt layup from 1 ft (assist by A. Gordon),,20,16
34,1,6:40.0,,Chicago full timeout,20,16
35,1,6:40.0,,I. Canaan enters the game for R. Rondo,20,16
36,1,6:23.0,,Personal foul by E. Fournier (drawn by D. Wade),20,16
37,1,6:23.0,,D. Wade makes free throw 1 of 2,20,17
38,1,6:23.0,,D. Wade makes free throw 2 of 2,20,18
39,1,6:17.0,Personal foul by D. Wade (drawn by A. Gordon),,20,18
40,1,6:17.0,Shooting foul by T. Gibson (drawn by A. Gordon),,20,18
41,1,6:17.0,A. Gordon makes free throw 1 of 2,,21,18
42,1,6:17.0,A. Gordon makes free throw 2 of 2,,22,18
43,1,5:57.0,,I. Canaan misses 2-pt layup from 2 ft,22,18
44,1,5:55.0,Defensive rebound by N. Vučević,,22,18
45,1,5:40.0,N. Vučević misses 2-pt layup from 3 ft (block by D. Wade),,22,18
46,1,5:38.0,,Defensive rebound by T. Gibson,22,18
47,1,5:29.0,,J. Butler makes 2-pt jump shot from 11 ft,22,20
48,1,5:08.0,A. Gordon misses 3-pt jump shot from 24 ft,,22,20
49,1,5:07.0,,Defensive rebound by T. Gibson,22,20
50,1,4:57.0,,Shooting foul by N. Vučević (drawn by J. Butler),22,20
51,1,4:57.0,,J. Butler makes free throw 1 of 2,22,21
52,1,4:57.0,,D. McDermott enters the game for D. Wade,22,21
53,1,4:57.0,J. Green enters the game for A. Gordon,,22,21
54,1,4:57.0,,J. Butler makes free throw 2 of 2,22,22
55,1,4:44.0,N. Vučević makes 2-pt jump shot from 18 ft (assist by E. Payton),,24,22
56,1,4:26.0,,J. Butler misses 3-pt jump shot from 26 ft,24,22
57,1,4:25.0,Defensive rebound by S. Ibaka,,24,22
58,1,4:15.0,E. Fournier misses 2-pt layup from 2 ft,,24,22
59,1,4:12.0,,Defensive rebound by J. Butler,24,22
60,1,4:06.0,,I. Canaan makes 3-pt jump shot from 23 ft (assist by J. Butler),24,25
61,1,4:06.0,Orlando full timeout,,24,25
62,1,4:06.0,D. Augustin enters the game for E. Payton,,24,25
63,1,3:44.0,E. Fournier misses 3-pt jump shot from 26 ft,,24,25
64,1,3:43.0,,Defensive rebound by R. Lopez,24,25
65,1,3:36.0,,Personal foul by J. Green (drawn by D. McDermott),24,25
66,1,3:21.0,Violation by S. Ibaka (def goaltending),,24,25
67,1,3:21.0,,I. Canaan makes 2-pt layup from 3 ft (assist by T. Gibson),24,27
68,1,3:08.0,,N. Mirotić enters the game for R. Lopez,24,27
69,1,3:08.0,B. Biyombo enters the game for S. Ibaka,,24,27
70,1,3:08.0,M. Hezonja enters the game for N. Vučević,,24,27
71,1,2:55.0,D. Augustin misses 3-pt jump shot from 28 ft,,24,27
72,1,2:55.0,,Defensive rebound by Team,24,27
73,1,2:47.0,,J. Butler makes 2-pt jump shot from 6 ft,24,29
74,1,2:47.0,,Shooting foul by M. Hezonja (drawn by J. Butler),24,29
75,1,2:47.0,,J. Butler makes free throw 1 of 1,24,30
76,1,2:35.0,B. Biyombo misses 2-pt layup from 2 ft,,24,30
77,1,2:34.0,,Defensive rebound by T. Gibson,24,30
78,1,2:22.0,,N. Mirotić misses 3-pt jump shot from 26 ft,24,30
79,1,2:21.0,Defensive rebound by B. Biyombo,,24,30
80,1,2:06.0,M. Hezonja misses 3-pt jump shot from 24 ft,,24,30
81,1,2:05.0,Offensive rebound by B. Biyombo,,24,30
82,1,2:05.0,Personal foul by I. Canaan (drawn by B. Biyombo),,24,30
83,1,1:59.0,Turnover by E. Fournier (traveling),,24,30
84,1,1:59.0,,D. Wade enters the game for I. Canaan,24,30
85,1,1:36.0,,J. Butler misses 2-pt layup from 2 ft (block by B. Biyombo),24,30
86,1,1:34.0,,Offensive rebound by D. Wade,24,30
