,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BOSTON_ACTION,CLEVELAND_SCORE,BOSTON_SCORE
0,1,11:46.0,,A. Bradley misses 2-pt jump shot from 22 ft,0,0
1,1,11:45.0,,Offensive rebound by A. Horford,0,0
2,1,11:43.0,,Turnover by A. Horford (lost ball; steal by J. Smith),0,0
3,1,11:34.0,J. Smith misses 3-pt jump shot from 24 ft,,0,0
4,1,11:32.0,Offensive rebound by C. Frye,,0,0
5,1,11:28.0,K. Irving misses 2-pt jump shot from 16 ft,,0,0
6,1,11:27.0,Offensive rebound by K. Love,,0,0
7,1,11:14.0,Shooting foul by J. Crowder (drawn by C. Frye),,0,0
8,1,11:14.0,C. Frye makes free throw 1 of 2,,1,0
9,1,11:14.0,C. Frye makes free throw 2 of 2,,2,0
10,1,11:03.0,,Turnover by I. Thomas (lost ball; steal by C. Frye),2,0
11,1,10:55.0,J. Smith misses 3-pt jump shot from 23 ft,,2,0
12,1,10:55.0,,Defensive rebound by I. Thomas,2,0
13,1,10:46.0,,A. Bradley misses 3-pt jump shot from 24 ft,2,0
14,1,10:45.0,Defensive rebound by K. Love,,2,0
15,1,10:38.0,K. Irving makes 2-pt layup from 2 ft,,4,0
16,1,10:38.0,,Boston full timeout,4,0
17,1,10:23.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by A. Horford),4,3
18,1,10:00.0,C. Frye misses 3-pt jump shot from 25 ft,,4,3
19,1,9:59.0,Offensive rebound by Team,,4,3
20,1,9:49.0,L. James misses 2-pt jump shot from 21 ft,,4,3
21,1,9:48.0,Offensive rebound by K. Love,,4,3
22,1,9:29.0,K. Love misses 2-pt jump shot from 18 ft,,4,3
23,1,9:28.0,,Defensive rebound by A. Bradley,4,3
24,1,9:13.0,,Shooting foul by C. Frye (drawn by A. Bradley),4,3
25,1,9:13.0,,A. Bradley makes free throw 1 of 2,4,4
26,1,9:13.0,,A. Bradley misses free throw 2 of 2,4,4
27,1,9:13.0,Defensive rebound by K. Love,,4,4
28,1,8:57.0,L. James makes 2-pt layup from 1 ft,,6,4
29,1,8:40.0,,A. Horford misses 2-pt hook shot from 4 ft,6,4
30,1,8:38.0,,Offensive rebound by A. Bradley,6,4
31,1,8:31.0,,J. Crowder misses 2-pt jump shot from 16 ft,6,4
32,1,8:30.0,Defensive rebound by C. Frye,,6,4
33,1,8:23.0,Personal foul by A. Bradley (drawn by K. Love),,6,4
34,1,8:12.0,K. Irving misses 2-pt layup from 2 ft,,6,4
35,1,8:10.0,Offensive rebound by J. Smith,,6,4
36,1,8:06.0,C. Frye misses 3-pt jump shot from 24 ft,,6,4
37,1,8:05.0,,Defensive rebound by A. Johnson,6,4
38,1,7:55.0,,A. Bradley misses 2-pt layup from 1 ft (block by J. Smith),6,4
39,1,7:54.0,Defensive rebound by K. Love,,6,4
40,1,7:48.0,C. Frye makes 3-pt jump shot from 25 ft (assist by K. Irving),,9,4
41,1,7:37.0,,Personal foul by J. Smith,9,4
42,1,7:30.0,,A. Horford misses 2-pt jump shot from 19 ft,9,4
43,1,7:29.0,Defensive rebound by L. James,,9,4
44,1,7:17.0,K. Love misses 3-pt jump shot from 25 ft,,9,4
45,1,7:16.0,Offensive rebound by C. Frye,,9,4
46,1,7:07.0,Turnover by C. Frye (bad pass),,9,4
47,1,7:02.0,,I. Thomas misses 3-pt jump shot from 27 ft,9,4
48,1,7:01.0,Defensive rebound by L. James,,9,4
49,1,6:54.0,K. Irving misses 3-pt jump shot from 25 ft,,9,4
50,1,6:53.0,Offensive rebound by L. James,,9,4
51,1,6:51.0,Shooting foul by A. Johnson (drawn by K. Irving),,9,4
52,1,6:51.0,K. Irving makes free throw 1 of 2,,10,4
53,1,6:51.0,K. Irving makes free throw 2 of 2,,11,4
54,1,6:38.0,Violation by J. Smith (kicked ball),,11,4
55,1,6:34.0,,I. Thomas makes 3-pt jump shot from 25 ft (assist by J. Crowder),11,7
56,1,6:14.0,C. Frye misses 3-pt jump shot from 24 ft,,11,7
57,1,6:13.0,Offensive rebound by K. Love,,11,7
58,1,6:12.0,K. Love misses 2-pt layup from 2 ft,,11,7
59,1,6:11.0,,Defensive rebound by A. Horford,11,7
60,1,6:03.0,,J. Crowder misses 2-pt jump shot from 19 ft,11,7
61,1,6:03.0,,Offensive rebound by A. Bradley,11,7
62,1,5:59.0,,I. Thomas makes 2-pt jump shot from 4 ft (assist by A. Bradley),11,9
63,1,5:38.0,K. Love makes 2-pt jump shot from 9 ft,,13,9
64,1,5:22.0,,A. Johnson makes 2-pt jump shot from 4 ft (assist by A. Horford),13,11
65,1,5:03.0,K. Love makes 2-pt hook shot from 4 ft,,15,11
66,1,4:52.0,,I. Thomas misses 2-pt layup from 3 ft (block by K. Irving),15,11
67,1,4:51.0,,Offensive rebound by Team,15,11
68,1,4:51.0,,M. Smart enters the game for A. Johnson,15,11
69,1,4:51.0,I. Shumpert enters the game for C. Frye,,15,11
70,1,4:46.0,,I. Thomas misses 3-pt jump shot from 25 ft,15,11
71,1,4:45.0,Defensive rebound by K. Love,,15,11
72,1,4:22.0,K. Love misses 2-pt jump shot from 23 ft,,15,11
73,1,4:21.0,,Defensive rebound by I. Thomas,15,11
74,1,4:11.0,,M. Smart misses 3-pt jump shot from 25 ft,15,11
75,1,4:09.0,Defensive rebound by L. James,,15,11
76,1,4:04.0,L. James makes 2-pt layup from 1 ft,,17,11
77,1,3:51.0,,Offensive foul by J. Crowder (drawn by L. James),17,11
78,1,3:51.0,,Turnover by J. Crowder (offensive foul),17,11
79,1,3:51.0,,J. Brown enters the game for A. Bradley,17,11
80,1,3:37.0,K. Irving misses 3-pt jump shot from 28 ft,,17,11
81,1,3:36.0,,Defensive rebound by Team,17,11
82,1,3:22.0,,J. Brown misses 3-pt jump shot from 23 ft,17,11
83,1,3:21.0,Defensive rebound by K. Love,,17,11
84,1,3:03.0,K. Love misses 2-pt jump shot from 13 ft,,17,11
85,1,3:02.0,,Defensive rebound by J. Brown,17,11
86,1,2:54.0,,I. Thomas makes 2-pt layup from 3 ft,17,13
87,1,2:54.0,,Shooting foul by K. Love (drawn by I. Thomas),17,13
88,1,2:54.0,Cleveland full timeout,,17,13
89,1,2:54.0,,I. Thomas misses free throw 1 of 1,17,13
90,1,2:54.0,Defensive rebound by C. Frye,,17,13
91,1,2:54.0,D. Williams enters the game for L. James,,17,13
92,1,2:54.0,C. Frye enters the game for K. Love,,17,13
93,1,2:54.0,R. Jefferson enters the game for J. Smith,,17,13
94,1,2:54.0,,J. Jerebko enters the game for J. Crowder,17,13
95,1,2:36.0,K. Irving makes 2-pt hook shot from 5 ft,,19,13
96,1,2:13.0,,A. Horford makes 2-pt jump shot from 9 ft,19,15
97,1,1:55.0,K. Irving misses 2-pt jump shot from 22 ft,,19,15
98,1,1:54.0,,Defensive rebound by I. Thomas,19,15
99,1,1:48.0,,I. Thomas makes 2-pt layup from 2 ft,19,17
100,1,1:48.0,,Shooting foul by K. Irving (drawn by I. Thomas),19,17
101,1,1:48.0,,K. Olynyk enters the game for A. Horford,19,17
102,1,1:48.0,,I. Thomas makes free throw 1 of 1,19,18
103,1,1:29.0,I. Shumpert misses 3-pt jump shot from 24 ft,,19,18
104,1,1:28.0,,Defensive rebound by Team,19,18
105,1,1:28.0,K. Korver enters the game for C. Frye,,19,18
