,QUARTER,TIME_REMAINING,CHICAGO_ACTION,WASHINGTON_ACTION,CHICAGO_SCORE,WASHINGTON_SCORE
0,1,11:35.0,T. Gibson misses 2-pt jump shot from 17 ft,,0,0
1,1,11:34.0,Offensive rebound by Team,,0,0
2,1,11:18.0,T. Gibson misses 2-pt jump shot from 8 ft,,0,0
3,1,11:18.0,,Defensive rebound by M. Gortat,0,0
4,1,10:56.0,,M. Morris makes 2-pt jump shot from 17 ft,0,2
5,1,10:37.0,Shooting foul by M. Morris (drawn by T. Gibson),,0,2
6,1,10:37.0,T. Gibson makes free throw 1 of 2,,1,2
7,1,10:37.0,T. Gibson makes free throw 2 of 2,,2,2
8,1,10:23.0,,M. Gortat misses 2-pt jump shot from 5 ft,2,2
9,1,10:23.0,Defensive rebound by T. Gibson,,2,2
10,1,10:15.0,M. Carter-Williams misses 2-pt jump shot from 8 ft,,2,2
11,1,10:14.0,,Defensive rebound by M. Gortat,2,2
12,1,10:04.0,,O. Porter makes 2-pt jump shot from 16 ft (assist by J. Wall),2,4
13,1,9:51.0,D. McDermott misses 2-pt jump shot from 15 ft,,2,4
14,1,9:50.0,,Defensive rebound by B. Beal,2,4
15,1,9:44.0,,M. Morris makes 3-pt jump shot from 27 ft (assist by B. Beal),2,7
16,1,9:25.0,M. Carter-Williams makes 2-pt jump shot from 6 ft,,4,7
17,1,9:25.0,Shooting foul by B. Beal (drawn by M. Carter-Williams),,4,7
18,1,9:25.0,M. Carter-Williams makes free throw 1 of 1,,5,7
19,1,9:17.0,,Personal foul by D. McDermott (drawn by O. Porter),5,7
20,1,9:11.0,,B. Beal makes 3-pt jump shot from 25 ft (assist by J. Wall),5,10
21,1,8:57.0,M. Carter-Williams misses 2-pt jump shot from 12 ft,,5,10
22,1,8:56.0,Offensive rebound by R. Lopez,,5,10
23,1,8:55.0,R. Lopez makes 2-pt layup from 2 ft,,7,10
24,1,8:31.0,,M. Morris misses 2-pt layup from 2 ft,7,10
25,1,8:31.0,Defensive rebound by R. Lopez,,7,10
26,1,8:22.0,J. Grant makes 3-pt jump shot from 28 ft (assist by M. Carter-Williams),,10,10
27,1,8:11.0,,B. Beal makes 2-pt jump shot from 20 ft,10,12
28,1,7:52.0,Turnover by R. Lopez (bad pass; steal by M. Morris),,10,12
29,1,7:45.0,,O. Porter makes 2-pt jump shot from 20 ft (assist by J. Wall),10,14
30,1,7:27.0,D. McDermott misses 2-pt layup from 2 ft,,10,14
31,1,7:26.0,,Defensive rebound by M. Morris,10,14
32,1,7:23.0,,Turnover by M. Morris (bad pass; steal by J. Grant),10,14
33,1,7:20.0,T. Gibson makes 2-pt layup from 1 ft (assist by D. McDermott),,12,14
34,1,7:03.0,,O. Porter makes 3-pt jump shot from 26 ft (assist by J. Wall),12,17
35,1,6:36.0,R. Lopez misses 2-pt jump shot from 17 ft,,12,17
36,1,6:34.0,Offensive rebound by T. Gibson,,12,17
37,1,6:31.0,,Offensive charge foul by D. McDermott (drawn by M. Gortat),12,17
38,1,6:31.0,Turnover by D. McDermott (offensive foul),,12,17
39,1,6:31.0,D. Valentine enters the game for D. McDermott,,12,17
40,1,6:31.0,R. Rondo enters the game for M. Carter-Williams,,12,17
41,1,6:20.0,,M. Gortat makes 2-pt layup from 1 ft (assist by M. Morris),12,19
42,1,5:53.0,D. Valentine makes 3-pt jump shot from 27 ft (assist by J. Grant),,15,19
43,1,5:34.0,,Turnover by J. Wall (lost ball; steal by R. Rondo),15,19
44,1,5:32.0,R. Rondo makes 2-pt dunk at rim (assist by J. Grant),,17,19
45,1,5:32.0,,Washington full timeout,17,19
46,1,5:11.0,,Turnover by M. Gortat (3 sec),17,19
47,1,5:01.0,,Violation by B. Beal (kicked ball),17,19
48,1,5:01.0,,J. Smith enters the game for M. Morris,17,19
