,QUARTER,TIME_REMAINING,INDIANA_ACTION,SACRAMENTO_ACTION,INDIANA_SCORE,SACRAMENTO_SCORE
0,1,11:45.0,M. Turner misses 2-pt jump shot from 18 ft,,0,0
1,1,11:43.0,,Defensive rebound by D. Cousins,0,0
2,1,11:26.0,,D. Cousins misses 2-pt jump shot from 18 ft,0,0
3,1,11:26.0,Defensive rebound by Team,,0,0
4,1,11:14.0,T. Young misses 2-pt jump shot from 20 ft,,0,0
5,1,11:13.0,,Defensive rebound by R. Gay,0,0
6,1,11:02.0,,Turnover by K. Koufos (bad pass; steal by T. Young),0,0
7,1,10:47.0,P. George makes 3-pt jump shot from 25 ft (assist by T. Young),,3,0
8,1,10:31.0,,Shooting foul by M. Turner (drawn by K. Koufos),3,0
9,1,10:31.0,,K. Koufos misses free throw 1 of 2,3,0
10,1,10:31.0,,Offensive rebound by Team,3,0
11,1,10:31.0,,K. Koufos makes free throw 2 of 2,3,1
12,1,10:21.0,P. George misses 3-pt jump shot from 24 ft,,3,1
13,1,10:20.0,,Defensive rebound by D. Cousins,3,1
14,1,10:05.0,,Shooting foul by J. Teague (drawn by R. Gay),3,1
15,1,10:05.0,,R. Gay makes free throw 1 of 2,3,2
16,1,10:05.0,,R. Gay makes free throw 2 of 2,3,3
17,1,9:52.0,M. Turner makes 2-pt jump shot from 20 ft (assist by J. Teague),,5,3
18,1,9:33.0,,D. Collison makes 2-pt jump shot from 21 ft (assist by D. Cousins),5,5
19,1,9:22.0,G. Robinson misses 2-pt jump shot from 19 ft,,5,5
20,1,9:20.0,,Defensive rebound by K. Koufos,5,5
21,1,9:15.0,,R. Gay makes 2-pt layup from 3 ft (assist by D. Collison),5,7
22,1,9:03.0,J. Teague misses 2-pt layup from 4 ft (block by D. Cousins),,5,7
23,1,9:01.0,,Defensive rebound by Team,5,7
24,1,8:41.0,,D. Cousins makes 2-pt layup from 2 ft (assist by A. Afflalo),5,9
25,1,8:22.0,G. Robinson misses 3-pt jump shot from 24 ft,,5,9
