,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,UTAH_ACTION,WASHINGTON_SCORE,UTAH_SCORE
0,1,11:44.0,,R. Hood makes 3-pt jump shot from 26 ft (assist by B. Diaw),0,3
1,1,11:24.0,M. Gortat misses 2-pt hook shot from 5 ft,,0,3
2,1,11:24.0,,Defensive rebound by G. Hayward,0,3
3,1,11:15.0,,R. Gobert makes 2-pt dunk at rim (assist by B. Diaw),0,5
4,1,10:54.0,O. Porter misses 3-pt jump shot from 25 ft,,0,5
5,1,10:54.0,,Defensive rebound by D. Exum,0,5
6,1,10:34.0,,R. Hood makes 3-pt jump shot from 23 ft,0,8
7,1,10:10.0,M. Morris makes 2-pt jump shot from 21 ft,,2,8
8,1,9:53.0,,Personal foul by O. Porter (drawn by G. Hayward),2,8
9,1,9:46.0,,D. Exum misses 2-pt dunk at rim,2,8
10,1,9:46.0,Defensive rebound by M. Gortat,,2,8
11,1,9:39.0,M. Morris misses 3-pt jump shot from 25 ft,,2,8
12,1,9:38.0,Offensive rebound by O. Porter,,2,8
13,1,9:36.0,O. Porter misses 2-pt layup from 1 ft,,2,8
14,1,9:35.0,,Defensive rebound by B. Diaw,2,8
15,1,9:29.0,,R. Gobert makes 2-pt dunk at rim (assist by B. Diaw),2,10
16,1,9:17.0,B. Beal makes 3-pt jump shot from 25 ft,,5,10
17,1,8:53.0,,G. Hayward misses 2-pt jump shot from 13 ft,5,10
18,1,8:53.0,Defensive rebound by M. Gortat,,5,10
19,1,8:46.0,J. Wall misses 2-pt jump shot from 18 ft,,5,10
20,1,8:46.0,,Defensive rebound by R. Gobert,5,10
21,1,8:31.0,,Personal foul by O. Porter (drawn by D. Exum),5,10
22,1,8:31.0,K. Oubre enters the game for O. Porter,,5,10
23,1,8:16.0,,Turnover by Team (shot clock),5,10
24,1,8:06.0,B. Beal misses 2-pt jump shot from 20 ft,,5,10
25,1,8:05.0,,Defensive rebound by R. Gobert,5,10
26,1,7:57.0,,R. Hood makes 3-pt jump shot from 23 ft (assist by D. Exum),5,13
27,1,7:32.0,M. Morris misses 2-pt jump shot from 9 ft,,5,13
28,1,7:31.0,,Defensive rebound by R. Gobert,5,13
29,1,7:14.0,,B. Diaw misses 3-pt jump shot from 24 ft,5,13
30,1,7:13.0,Defensive rebound by M. Morris,,5,13
31,1,7:11.0,Personal foul by D. Exum (drawn by J. Wall),,5,13
32,1,7:11.0,,J. Ingles enters the game for R. Hood,5,13
33,1,6:58.0,Turnover by K. Oubre (lost ball),,5,13
