,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SAN ANTONIO_ACTION,MEMPHIS_SCORE,SAN ANTONIO_SCORE
0,1,11:38.0,,L. Aldridge misses 2-pt jump shot from 21 ft,0,0
1,1,11:37.0,Defensive rebound by M. Conley,,0,0
2,1,11:13.0,M. Gasol makes 2-pt jump shot from 12 ft (assist by M. Conley),,2,0
3,1,10:56.0,,T. Parker makes 2-pt hook shot from 8 ft,2,2
4,1,10:47.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Conley),,5,2
5,1,10:21.0,,D. Green misses 3-pt jump shot from 23 ft,5,2
6,1,10:21.0,Defensive rebound by M. Conley,,5,2
7,1,10:10.0,Memphis full timeout,,5,2
8,1,10:00.0,M. Conley makes 3-pt jump shot from 25 ft,,8,2
9,1,9:35.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by T. Parker),8,5
10,1,9:14.0,M. Gasol makes 2-pt jump shot from 12 ft (assist by W. Selden),,10,5
11,1,8:55.0,,T. Parker misses 2-pt jump shot from 20 ft,10,5
12,1,8:55.0,Defensive rebound by V. Carter,,10,5
13,1,8:39.0,Personal foul by T. Parker (drawn by M. Gasol),,10,5
14,1,8:33.0,M. Conley makes 2-pt jump shot from 8 ft (assist by M. Gasol),,12,5
15,1,8:32.0,,San Antonio full timeout,12,5
16,1,8:32.0,,P. Gasol enters the game for D. Dedmon,12,5
17,1,8:13.0,,K. Leonard makes 2-pt layup from 1 ft,12,7
18,1,7:57.0,V. Carter misses 2-pt jump shot from 5 ft (block by D. Green),,12,7
19,1,7:55.0,,Defensive rebound by L. Aldridge,12,7
20,1,7:48.0,,L. Aldridge misses 2-pt jump shot from 18 ft,12,7
21,1,7:47.0,Defensive rebound by W. Selden,,12,7
22,1,7:37.0,J. Green makes 3-pt jump shot from 22 ft (assist by M. Conley),,15,7
23,1,7:22.0,,Turnover by K. Leonard (bad pass; steal by M. Conley),15,7
24,1,7:16.0,M. Conley makes 3-pt jump shot from 25 ft,,18,7
25,1,6:56.0,,T. Parker misses 2-pt jump shot (block by J. Green),18,7
26,1,6:53.0,,Offensive rebound by T. Parker,18,7
27,1,6:50.0,,T. Parker makes 2-pt layup from 1 ft,18,9
28,1,6:42.0,M. Gasol misses 2-pt layup from 1 ft,,18,9
29,1,6:42.0,,Defensive rebound by Team,18,9
30,1,6:42.0,Loose ball foul by M. Gasol (drawn by D. Green),,18,9
31,1,6:42.0,,P. Mills enters the game for T. Parker,18,9
32,1,6:42.0,,M. Ginóbili enters the game for D. Green,18,9
33,1,6:25.0,,M. Ginóbili misses 3-pt jump shot from 25 ft,18,9
34,1,6:24.0,Defensive rebound by W. Selden,,18,9
35,1,6:01.0,J. Green misses 2-pt jump shot from 14 ft,,18,9
36,1,6:01.0,,Defensive rebound by L. Aldridge,18,9
37,1,5:46.0,,P. Gasol misses 2-pt jump shot from 16 ft,18,9
38,1,5:45.0,Defensive rebound by M. Conley,,18,9
39,1,5:39.0,W. Selden makes 2-pt dunk at rim (assist by M. Conley),,20,9
40,1,5:19.0,,Turnover by P. Mills (bad pass; steal by M. Conley),20,9
41,1,5:15.0,V. Carter makes 2-pt dunk at rim,,22,9
42,1,5:15.0,,San Antonio full timeout,22,9
43,1,5:15.0,,D. Lee enters the game for L. Aldridge,22,9
44,1,5:15.0,Z. Randolph enters the game for J. Green,,22,9
45,1,5:15.0,A. Harrison enters the game for M. Conley,,22,9
46,1,4:55.0,,P. Gasol misses 2-pt jump shot from 7 ft (block by M. Gasol),22,9
47,1,4:54.0,Defensive rebound by A. Harrison,,22,9
48,1,4:38.0,V. Carter misses 3-pt jump shot from 26 ft,,22,9
49,1,4:37.0,,Defensive rebound by P. Mills,22,9
50,1,4:27.0,,K. Leonard makes 2-pt jump shot from 12 ft,22,11
51,1,4:03.0,M. Gasol makes 2-pt jump shot from 9 ft,,24,11
52,1,3:42.0,,D. Lee makes 2-pt jump shot from 8 ft (assist by K. Leonard),24,13
53,1,3:15.0,Z. Randolph makes 2-pt hook shot from 8 ft,,26,13
54,1,3:06.0,,Personal foul by A. Harrison,26,13
55,1,3:06.0,T. Daniels enters the game for W. Selden,,26,13
56,1,2:56.0,,K. Leonard makes 2-pt jump shot from 14 ft,26,15
57,1,2:40.0,Memphis full timeout,,26,15
58,1,2:40.0,J. Ennis enters the game for V. Carter,,26,15
59,1,2:29.0,M. Gasol makes 2-pt jump shot from 5 ft (assist by J. Ennis),,28,15
60,1,2:29.0,Violation by Team (jump ball),,28,15
61,1,2:09.0,,P. Gasol makes 3-pt jump shot from 24 ft (assist by M. Ginóbili),28,18
62,1,1:55.0,Offensive foul by T. Daniels (drawn by M. Ginóbili),,28,18
63,1,1:55.0,Turnover by T. Daniels (offensive foul),,28,18
64,1,1:45.0,,K. Leonard makes 2-pt jump shot from 17 ft,28,20
65,1,1:25.0,T. Daniels misses 3-pt jump shot from 25 ft,,28,20
66,1,1:24.0,,Defensive rebound by P. Mills,28,20
67,1,1:15.0,,Turnover by P. Mills (lost ball; steal by J. Ennis),28,20
68,1,1:13.0,Turnover by A. Harrison (bad pass; steal by K. Leonard),,28,20
69,1,1:06.0,,P. Mills makes 3-pt jump shot from 23 ft (assist by K. Leonard),28,23
70,1,0:58.0,Memphis full timeout,,28,23
71,1,0:58.0,J. Green enters the game for A. Harrison,,28,23
72,1,0:58.0,M. Conley enters the game for M. Gasol,,28,23
