,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DENVER_ACTION,LA CLIPPERS_SCORE,DENVER_SCORE
0,1,12:00.0,,Violation by Team (jump ball),0,0
1,1,11:32.0,M. Speights misses 2-pt jump shot from 20 ft,,0,0
2,1,11:31.0,,Defensive rebound by K. Faried,0,0
3,1,11:14.0,,N. Jokić makes 2-pt jump shot from 5 ft (assist by E. Mudiay),0,2
4,1,11:14.0,,Shooting foul by D. Jordan (drawn by N. Jokić),0,2
5,1,11:14.0,,N. Jokić makes free throw 1 of 1,0,3
6,1,10:52.0,A. Rivers misses 3-pt jump shot from 27 ft,,0,3
7,1,10:51.0,,Defensive rebound by N. Jokić,0,3
8,1,10:45.0,,Shooting foul by A. Rivers (drawn by E. Mudiay),0,3
9,1,10:45.0,,E. Mudiay misses free throw 1 of 2,0,3
10,1,10:45.0,,Offensive rebound by Team,0,3
11,1,10:45.0,,E. Mudiay makes free throw 2 of 2,0,4
12,1,10:31.0,J. Redick makes 2-pt jump shot from 16 ft,,2,4
13,1,10:29.0,,Personal foul by M. Speights (drawn by N. Jokić),2,4
14,1,10:22.0,,W. Barton misses 3-pt jump shot from 26 ft,2,4
15,1,10:21.0,Defensive rebound by D. Jordan,,2,4
16,1,10:10.0,D. Jordan makes 2-pt dunk at rim (assist by J. Redick),,4,4
17,1,9:58.0,,D. Gallinari makes 2-pt layup from 2 ft,4,6
18,1,9:58.0,,Shooting foul by L. Mbah a Moute (drawn by D. Gallinari),4,6
19,1,9:58.0,,D. Gallinari makes free throw 1 of 1,4,7
20,1,9:46.0,J. Redick misses 2-pt jump shot from 22 ft,,4,7
21,1,9:45.0,,Defensive rebound by N. Jokić,4,7
22,1,9:37.0,,E. Mudiay misses 2-pt jump shot from 20 ft,4,7
23,1,9:36.0,Defensive rebound by J. Redick,,4,7
24,1,9:17.0,J. Redick makes 2-pt jump shot from 20 ft,,6,7
25,1,8:57.0,,Shooting foul by A. Rivers (drawn by E. Mudiay),6,7
26,1,8:57.0,,E. Mudiay makes free throw 1 of 2,6,8
27,1,8:57.0,R. Felton enters the game for A. Rivers,,6,8
28,1,8:57.0,,E. Mudiay makes free throw 2 of 2,6,9
29,1,8:44.0,J. Redick makes 3-pt jump shot from 24 ft (assist by R. Felton),,9,9
30,1,8:30.0,,W. Barton makes 2-pt layup from 1 ft (assist by N. Jokić),9,11
31,1,8:13.0,J. Redick misses 2-pt layup from 2 ft,,9,11
32,1,8:12.0,,Defensive rebound by W. Barton,9,11
33,1,8:02.0,,E. Mudiay misses 2-pt jump shot from 19 ft,9,11
34,1,8:01.0,,Offensive rebound by K. Faried,9,11
35,1,8:01.0,,K. Faried misses 2-pt layup from 2 ft,9,11
36,1,8:00.0,Defensive rebound by R. Felton,,9,11
37,1,8:00.0,Personal foul by K. Faried (drawn by D. Jordan),,9,11
38,1,8:00.0,D. Jordan makes free throw 1 of 2,,10,11
39,1,8:00.0,D. Jordan makes free throw 2 of 2,,11,11
40,1,7:35.0,,K. Faried makes 2-pt dunk at rim (assist by N. Jokić),11,13
41,1,7:17.0,D. Jordan makes 2-pt dunk at rim (assist by R. Felton),,13,13
42,1,7:02.0,,N. Jokić makes 3-pt jump shot from 24 ft (assist by K. Faried),13,16
43,1,6:43.0,J. Redick misses 3-pt jump shot from 23 ft,,13,16
44,1,6:42.0,,Defensive rebound by N. Jokić,13,16
45,1,6:19.0,,K. Faried makes 2-pt hook shot from 4 ft (assist by E. Mudiay),13,18
46,1,6:11.0,LA Clippers full timeout,,13,18
47,1,6:03.0,D. Jordan misses 2-pt layup from 2 ft,,13,18
48,1,6:02.0,,Defensive rebound by D. Gallinari,13,18
49,1,5:54.0,,E. Mudiay misses 3-pt jump shot from 24 ft,13,18
50,1,5:52.0,Defensive rebound by D. Jordan,,13,18
51,1,5:46.0,R. Felton makes 3-pt jump shot from 27 ft,,16,18
52,1,5:18.0,,D. Gallinari makes 2-pt jump shot from 17 ft (assist by W. Barton),16,20
53,1,4:53.0,R. Felton misses 2-pt jump shot from 6 ft,,16,20
54,1,4:52.0,Offensive rebound by Team,,16,20
