,QUARTER,TIME_REMAINING,PORTLAND_ACTION,GOLDEN STATE_ACTION,PORTLAND_SCORE,GOLDEN STATE_SCORE
0,1,11:46.0,,D. Green misses 2-pt jump shot from 9 ft,0,0
1,1,11:46.0,,Offensive rebound by K. Thompson,0,0
2,1,11:40.0,,Z. Pachulia makes 2-pt jump shot from 16 ft (assist by K. Thompson),0,2
3,1,11:22.0,N. Vonleh misses 2-pt jump shot from 5 ft,,0,2
4,1,11:21.0,,Defensive rebound by D. Green,0,2
5,1,11:12.0,,Z. Pachulia misses 2-pt jump shot from 18 ft,0,2
6,1,11:12.0,Defensive rebound by N. Vonleh,,0,2
7,1,10:55.0,D. Lillard misses 2-pt jump shot from 17 ft,,0,2
8,1,10:53.0,Offensive rebound by M. Harkless,,0,2
9,1,10:51.0,D. Lillard makes 2-pt layup from 2 ft (assist by M. Harkless),,2,2
10,1,10:43.0,,S. Curry makes 3-pt jump shot from 26 ft,2,5
11,1,10:22.0,N. Vonleh misses 2-pt jump shot from 16 ft,,2,5
12,1,10:21.0,,Defensive rebound by K. Durant,2,5
13,1,10:16.0,,Shooting foul by N. Vonleh (drawn by K. Durant),2,5
14,1,10:16.0,,K. Durant makes free throw 1 of 2,2,6
15,1,10:16.0,,K. Durant makes free throw 2 of 2,2,7
16,1,9:57.0,E. Turner makes 2-pt jump shot from 12 ft,,4,7
17,1,9:42.0,,K. Durant makes 2-pt jump shot from 7 ft (assist by S. Curry),4,9
18,1,9:33.0,Shooting foul by K. Thompson (drawn by C. McCollum),,4,9
19,1,9:33.0,C. McCollum makes free throw 1 of 2,,5,9
20,1,9:33.0,C. McCollum makes free throw 2 of 2,,6,9
21,1,9:25.0,,Personal foul by E. Turner (drawn by Z. Pachulia),6,9
22,1,9:19.0,,K. Thompson misses 2-pt jump shot from 17 ft (block by C. McCollum),6,9
23,1,9:18.0,Defensive rebound by C. McCollum,,6,9
24,1,9:08.0,M. Harkless misses 3-pt jump shot from 23 ft,,6,9
25,1,9:07.0,,Defensive rebound by K. Durant,6,9
26,1,8:58.0,,K. Thompson misses 3-pt jump shot from 27 ft,6,9
27,1,8:58.0,Defensive rebound by D. Lillard,,6,9
28,1,8:53.0,Shooting foul by Z. Pachulia (drawn by D. Lillard),,6,9
29,1,8:53.0,D. Lillard makes free throw 1 of 2,,7,9
30,1,8:53.0,D. Lillard makes free throw 2 of 2,,8,9
31,1,8:46.0,,Shooting foul by D. Lillard (drawn by S. Curry),8,9
32,1,8:46.0,,S. Curry makes free throw 1 of 2,8,10
33,1,8:46.0,,S. Curry makes free throw 2 of 2,8,11
34,1,8:28.0,E. Turner misses 3-pt jump shot from 25 ft,,8,11
35,1,8:28.0,,Defensive rebound by Z. Pachulia,8,11
36,1,8:24.0,,Turnover by K. Durant (lost ball),8,11
