,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ORLANDO_ACTION,PHILADELPHIA_SCORE,ORLANDO_SCORE
0,1,11:47.0,,E. Fournier makes 2-pt jump shot from 17 ft (assist by N. Vučević),0,2
1,1,11:21.0,D. Šarić makes 2-pt layup from 3 ft (assist by T. McConnell),,2,2
2,1,11:00.0,,N. Vučević makes 2-pt jump shot from 16 ft (assist by E. Fournier),2,4
3,1,10:40.0,T. McConnell misses 2-pt jump shot from 10 ft,,2,4
4,1,10:38.0,,Defensive rebound by N. Vučević,2,4
5,1,10:34.0,,E. Payton makes 2-pt layup from 2 ft,2,6
6,1,10:25.0,Shooting foul by E. Payton (drawn by T. McConnell),,2,6
7,1,10:25.0,T. McConnell makes free throw 1 of 2,,3,6
8,1,10:25.0,T. McConnell makes free throw 2 of 2,,4,6
9,1,10:15.0,,N. Vučević makes 2-pt layup from 2 ft (assist by E. Payton),4,8
10,1,9:57.0,D. Šarić misses 2-pt layup from 3 ft,,4,8
11,1,9:56.0,,Defensive rebound by N. Vučević,4,8
12,1,9:35.0,,N. Vučević misses 2-pt jump shot from 9 ft,4,8
13,1,9:34.0,Defensive rebound by R. Holmes,,4,8
14,1,9:23.0,D. Šarić misses 2-pt layup from 1 ft,,4,8
15,1,9:20.0,,Defensive rebound by E. Payton,4,8
16,1,9:12.0,,Turnover by T. Ross (bad pass),4,8
17,1,9:02.0,T. McConnell makes 2-pt layup from 2 ft,,6,8
18,1,8:46.0,,N. Vučević misses 2-pt jump shot from 18 ft,6,8
19,1,8:45.0,Defensive rebound by R. Covington,,6,8
20,1,8:35.0,R. Holmes makes 2-pt hook shot from 10 ft,,8,8
21,1,8:20.0,,E. Fournier misses 2-pt layup from 2 ft,8,8
22,1,8:17.0,,Offensive rebound by N. Vučević,8,8
23,1,8:17.0,,N. Vučević makes 2-pt layup from 2 ft,8,10
24,1,7:58.0,Personal foul by E. Payton (drawn by D. Šarić),,8,10
25,1,7:50.0,R. Holmes misses 2-pt layup from 2 ft,,8,10
26,1,7:48.0,Offensive rebound by R. Holmes,,8,10
27,1,7:47.0,R. Holmes makes 2-pt layup from 2 ft,,10,10
28,1,7:34.0,,Turnover by E. Payton (bad pass; steal by T. McConnell),10,10
29,1,7:30.0,R. Covington makes 2-pt layup at rim (assist by T. McConnell),,12,10
30,1,7:30.0,,Orlando full timeout,12,10
31,1,7:14.0,,T. Ross misses 2-pt jump shot from 21 ft,12,10
32,1,7:13.0,Defensive rebound by R. Holmes,,12,10
33,1,7:06.0,D. Šarić misses 3-pt jump shot from 25 ft,,12,10
34,1,7:04.0,,Defensive rebound by E. Payton,12,10
35,1,6:56.0,,Shooting foul by T. Luwawu-Cabarrot (drawn by A. Gordon),12,10
36,1,6:56.0,,A. Gordon makes free throw 1 of 2,12,11
37,1,6:56.0,N. Stauskas enters the game for D. Šarić,,12,11
38,1,6:56.0,,A. Gordon makes free throw 2 of 2,12,12
39,1,6:44.0,R. Covington misses 3-pt jump shot from 24 ft,,12,12
40,1,6:44.0,,Defensive rebound by Team,12,12
41,1,6:29.0,,N. Vučević makes 2-pt hook shot from 9 ft,12,14
42,1,6:15.0,T. McConnell makes 2-pt jump shot from 12 ft,,14,14
43,1,6:01.0,,E. Fournier makes 2-pt layup from 2 ft (assist by N. Vučević),14,16
44,1,5:43.0,R. Holmes misses 2-pt jump shot from 14 ft,,14,16
45,1,5:42.0,,Defensive rebound by N. Vučević,14,16
46,1,5:35.0,,Turnover by E. Payton (lost ball; steal by R. Covington),14,16
47,1,5:30.0,R. Covington misses 2-pt layup from 3 ft,,14,16
48,1,5:27.0,,Defensive rebound by E. Fournier,14,16
49,1,5:21.0,,E. Fournier misses 3-pt jump shot from 24 ft,14,16
50,1,5:20.0,Defensive rebound by R. Holmes,,14,16
51,1,5:10.0,R. Holmes makes 2-pt jump shot from 9 ft (assist by T. McConnell),,16,16
52,1,5:10.0,Shooting foul by E. Payton (drawn by R. Holmes),,16,16
53,1,5:10.0,,D. Augustin enters the game for E. Payton,16,16
54,1,5:10.0,,M. Hezonja enters the game for T. Ross,16,16
55,1,5:10.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,16,16
56,1,5:10.0,R. Holmes makes free throw 1 of 1,,17,16
57,1,4:48.0,,Turnover by A. Gordon (lost ball; steal by R. Covington),17,16
58,1,4:37.0,R. Covington makes 3-pt jump shot from 26 ft (assist by J. Anderson),,20,16
59,1,4:18.0,,A. Gordon makes 2-pt layup from 1 ft (assist by M. Hezonja),20,18
60,1,4:18.0,,Shooting foul by R. Holmes (drawn by A. Gordon),20,18
61,1,4:18.0,,A. Gordon makes free throw 1 of 1,20,19
62,1,4:05.0,Personal foul by E. Fournier (drawn by N. Stauskas),,20,19
