,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,BOSTON_ACTION,OKLAHOMA CITY_SCORE,BOSTON_SCORE
0,1,11:44.0,Turnover by A. Roberson (bad pass; steal by A. Johnson),,0,0
1,1,11:29.0,,J. Crowder misses 3-pt jump shot from 26 ft,0,0
2,1,11:28.0,Defensive rebound by Team,,0,0
3,1,11:28.0,,Loose ball foul by A. Horford (drawn by S. Adams),0,0
4,1,11:11.0,S. Adams misses 2-pt hook shot from 6 ft,,0,0
5,1,11:10.0,,Defensive rebound by A. Horford,0,0
6,1,11:04.0,,I. Thomas misses 2-pt layup from 3 ft,0,0
7,1,11:03.0,Defensive rebound by R. Westbrook,,0,0
8,1,10:53.0,D. Sabonis makes 2-pt layup from 2 ft (assist by R. Westbrook),,2,0
9,1,10:32.0,,A. Horford misses 3-pt jump shot from 26 ft,2,0
10,1,10:30.0,,Offensive rebound by A. Johnson,2,0
11,1,10:29.0,,A. Johnson makes 2-pt layup from 1 ft,2,2
12,1,10:18.0,A. Morrow misses 2-pt jump shot from 15 ft,,2,2
13,1,10:17.0,,Defensive rebound by A. Horford,2,2
14,1,10:12.0,,Personal foul by D. Sabonis (drawn by I. Thomas),2,2
15,1,10:04.0,,I. Thomas misses 3-pt jump shot from 26 ft,2,2
16,1,10:03.0,Defensive rebound by A. Roberson,,2,2
17,1,9:53.0,R. Westbrook misses 2-pt jump shot from 17 ft,,2,2
18,1,9:52.0,,Defensive rebound by A. Bradley,2,2
19,1,9:35.0,,A. Horford makes 2-pt jump shot from 20 ft (assist by J. Crowder),2,4
20,1,9:16.0,D. Sabonis makes 2-pt jump shot from 18 ft (assist by A. Roberson),,4,4
21,1,8:48.0,,A. Johnson makes 3-pt jump shot from 23 ft (assist by A. Horford),4,7
22,1,8:35.0,R. Westbrook misses 2-pt layup from 1 ft,,4,7
23,1,8:34.0,,Defensive rebound by A. Johnson,4,7
24,1,8:29.0,,I. Thomas makes 2-pt layup from 1 ft (assist by A. Johnson),4,9
25,1,8:11.0,A. Morrow misses 3-pt jump shot from 25 ft,,4,9
26,1,8:10.0,Offensive rebound by R. Westbrook,,4,9
27,1,8:01.0,D. Sabonis makes 2-pt dunk at rim (assist by R. Westbrook),,6,9
28,1,7:54.0,,A. Horford makes 2-pt layup from 2 ft (assist by I. Thomas),6,11
29,1,7:37.0,E. Freedom enters the game for D. Sabonis,,6,11
30,1,7:36.0,Turnover by S. Adams (lost ball; steal by A. Johnson),,6,11
31,1,7:20.0,,A. Bradley misses 2-pt layup from 1 ft,6,11
32,1,7:19.0,,Offensive rebound by A. Johnson,6,11
33,1,7:19.0,,A. Johnson makes 2-pt layup from 1 ft,6,13
34,1,7:07.0,Turnover by R. Westbrook (bad pass; steal by I. Thomas),,6,13
