,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ORLANDO_ACTION,BROOKLYN_SCORE,ORLANDO_SCORE
0,1,11:43.0,Shooting foul by E. Fournier (drawn by S. Kilpatrick),,0,0
1,1,11:43.0,S. Kilpatrick makes free throw 1 of 2,,1,0
2,1,11:43.0,S. Kilpatrick misses free throw 2 of 2,,1,0
3,1,11:42.0,,Defensive rebound by S. Ibaka,1,0
4,1,11:18.0,,D. Augustin misses 3-pt jump shot from 26 ft,1,0
5,1,11:17.0,Defensive rebound by S. Kilpatrick,,1,0
6,1,10:55.0,B. Lopez makes 2-pt jump shot from 7 ft,,3,0
7,1,10:46.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by A. Gordon),3,3
8,1,10:39.0,Personal foul by B. Biyombo (drawn by B. Lopez),,3,3
9,1,10:35.0,B. Lopez misses 2-pt dunk from 3 ft (block by B. Biyombo),,3,3
10,1,10:34.0,,Defensive rebound by B. Biyombo,3,3
11,1,10:26.0,,S. Ibaka makes 2-pt layup at rim (assist by D. Augustin),3,5
12,1,10:26.0,,Shooting foul by B. Lopez (drawn by S. Ibaka),3,5
13,1,10:26.0,,S. Ibaka misses free throw 1 of 1,3,5
14,1,10:25.0,Defensive rebound by S. Kilpatrick,,3,5
15,1,10:10.0,Turnover by I. Whitehead (bad pass),,3,5
16,1,9:55.0,,E. Fournier misses 2-pt jump shot from 14 ft,3,5
17,1,9:54.0,Defensive rebound by B. Bogdanović,,3,5
18,1,9:47.0,B. Bogdanović misses 2-pt layup from 1 ft,,3,5
19,1,9:47.0,,Defensive rebound by B. Biyombo,3,5
20,1,9:41.0,,Personal foul by S. Kilpatrick (drawn by E. Fournier),3,5
21,1,9:29.0,,Turnover by D. Augustin (bad pass; steal by B. Bogdanović),3,5
22,1,9:26.0,,Violation by S. Ibaka (def goaltending),3,5
23,1,9:26.0,B. Bogdanović makes 2-pt layup from 1 ft,,5,5
24,1,9:10.0,,E. Fournier misses 2-pt layup from 1 ft,5,5
25,1,9:10.0,Defensive rebound by I. Whitehead,,5,5
26,1,9:07.0,Turnover by I. Whitehead (lost ball),,5,5
27,1,8:47.0,,A. Gordon misses 2-pt jump shot from 15 ft,5,5
28,1,8:46.0,,Offensive rebound by B. Biyombo,5,5
29,1,8:38.0,,S. Ibaka misses 2-pt jump shot from 18 ft,5,5
30,1,8:37.0,Defensive rebound by S. Kilpatrick,,5,5
31,1,8:20.0,S. Kilpatrick makes 3-pt jump shot from 25 ft (assist by I. Whitehead),,8,5
32,1,7:59.0,,A. Gordon makes 3-pt jump shot from 25 ft (assist by D. Augustin),8,8
33,1,7:28.0,S. Kilpatrick makes 2-pt layup from 2 ft,,10,8
34,1,7:25.0,,Orlando full timeout,10,8
35,1,7:25.0,A. Bennett enters the game for B. Lopez,,10,8
36,1,7:08.0,,A. Gordon misses 2-pt layup from 2 ft,10,8
37,1,7:07.0,,Offensive rebound by A. Gordon,10,8
38,1,7:07.0,,A. Gordon makes 2-pt layup from 2 ft,10,10
39,1,6:53.0,A. Bennett misses 3-pt jump shot from 25 ft,,10,10
40,1,6:53.0,,Defensive rebound by S. Ibaka,10,10
41,1,6:45.0,,D. Augustin makes 3-pt jump shot from 24 ft,10,13
42,1,6:27.0,I. Whitehead makes 2-pt jump shot from 8 ft,,12,13
43,1,6:26.0,Violation by Team (delay of game),,12,13
44,1,6:15.0,,Shooting foul by A. Bennett (drawn by B. Biyombo),12,13
45,1,6:15.0,,B. Biyombo misses free throw 1 of 2,12,13
46,1,6:15.0,,Offensive rebound by Team,12,13
47,1,6:15.0,,B. Biyombo makes free throw 2 of 2,12,14
48,1,6:05.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by T. Booker),,14,14
49,1,5:43.0,,E. Fournier misses 2-pt layup from 1 ft,14,14
50,1,5:43.0,,Offensive rebound by E. Fournier,14,14
51,1,5:34.0,,D. Augustin misses 2-pt jump shot from 6 ft (block by A. Bennett),14,14
52,1,5:33.0,Defensive rebound by S. Kilpatrick,,14,14
53,1,5:26.0,I. Whitehead misses 2-pt jump shot from 16 ft (block by S. Ibaka),,14,14
54,1,5:25.0,,Defensive rebound by S. Ibaka,14,14
55,1,5:17.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by D. Augustin),14,17
56,1,5:04.0,B. Bogdanović misses 2-pt layup from 2 ft,,14,17
57,1,5:03.0,,Defensive rebound by S. Ibaka,14,17
58,1,4:57.0,,A. Gordon makes 2-pt layup from 2 ft (assist by D. Augustin),14,19
59,1,4:41.0,T. Booker misses 3-pt jump shot from 24 ft,,14,19
60,1,4:40.0,,Defensive rebound by B. Biyombo,14,19
61,1,4:25.0,,E. Fournier misses 3-pt jump shot from 25 ft,14,19
62,1,4:24.0,Defensive rebound by T. Booker,,14,19
63,1,4:17.0,Shooting foul by S. Ibaka (drawn by T. Booker),,14,19
64,1,4:17.0,T. Booker makes free throw 1 of 2,,15,19
65,1,4:17.0,R. Hollis-Jefferson enters the game for B. Bogdanović,,15,19
66,1,4:17.0,J. Harris enters the game for S. Kilpatrick,,15,19
67,1,4:17.0,J. Lin enters the game for I. Whitehead,,15,19
68,1,4:17.0,,E. Payton enters the game for B. Biyombo,15,19
69,1,4:17.0,,N. Vučević enters the game for D. Augustin,15,19
70,1,4:17.0,T. Booker makes free throw 2 of 2,,16,19
71,1,3:57.0,,A. Gordon misses 2-pt jump shot from 15 ft,16,19
72,1,3:56.0,Defensive rebound by Team,,16,19
73,1,3:37.0,J. Harris misses 3-pt jump shot from 22 ft,,16,19
74,1,3:36.0,,Defensive rebound by N. Vučević,16,19
75,1,3:30.0,Violation by T. Booker (kicked ball),,16,19
76,1,3:30.0,,J. Green enters the game for A. Gordon,16,19
77,1,3:30.0,B. Lopez enters the game for T. Booker,,16,19
78,1,3:20.0,,S. Ibaka misses 3-pt jump shot from 25 ft,16,19
79,1,3:20.0,Defensive rebound by J. Harris,,16,19
80,1,3:00.0,A. Bennett makes 3-pt jump shot from 23 ft (assist by J. Lin),,19,19
81,1,2:52.0,,N. Vučević misses 2-pt layup from 2 ft,19,19
82,1,2:52.0,Defensive rebound by R. Hollis-Jefferson,,19,19
83,1,2:45.0,B. Lopez misses 3-pt jump shot from 24 ft,,19,19
84,1,2:44.0,,Defensive rebound by E. Payton,19,19
85,1,2:35.0,,E. Payton misses 2-pt layup at rim,19,19
86,1,2:35.0,Defensive rebound by J. Harris,,19,19
