,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ORLANDO_ACTION,MEMPHIS_SCORE,ORLANDO_SCORE
0,1,11:38.0,,D. Augustin makes 3-pt jump shot from 24 ft (assist by S. Ibaka),0,3
1,1,11:13.0,C. Parsons misses 3-pt jump shot from 26 ft,,0,3
2,1,11:12.0,,Defensive rebound by B. Biyombo,0,3
3,1,10:49.0,,A. Gordon misses 2-pt jump shot from 21 ft,0,3
4,1,10:48.0,,Offensive rebound by B. Biyombo,0,3
5,1,10:38.0,,Turnover by S. Ibaka (bad pass; steal by M. Gasol),0,3
6,1,10:31.0,M. Conley misses 3-pt jump shot from 26 ft,,0,3
7,1,10:30.0,,Defensive rebound by B. Biyombo,0,3
8,1,10:24.0,,Shooting foul by J. Green (drawn by A. Gordon),0,3
9,1,10:24.0,,A. Gordon misses free throw 1 of 2,0,3
10,1,10:24.0,,Offensive rebound by Team,0,3
11,1,10:24.0,,A. Gordon makes free throw 2 of 2,0,4
12,1,10:16.0,Turnover by M. Conley (bad pass; steal by D. Augustin),,0,4
13,1,10:12.0,,B. Biyombo makes 2-pt dunk at rim (assist by D. Augustin),0,6
14,1,9:54.0,Personal foul by J. Meeks (drawn by M. Conley),,0,6
15,1,9:45.0,M. Gasol makes 2-pt hook shot from 7 ft,,2,6
16,1,9:23.0,,A. Gordon makes 2-pt hook shot from 7 ft,2,8
17,1,9:09.0,C. Parsons misses 2-pt jump shot from 12 ft,,2,8
18,1,9:08.0,,Defensive rebound by B. Biyombo,2,8
19,1,8:56.0,,J. Meeks makes 3-pt jump shot from 25 ft (assist by S. Ibaka),2,11
20,1,8:34.0,J. Green makes 2-pt layup from 2 ft,,4,11
21,1,8:07.0,,D. Augustin misses 2-pt layup from 1 ft,4,11
22,1,8:07.0,Defensive rebound by M. Conley,,4,11
23,1,8:05.0,Personal foul by A. Gordon (drawn by M. Conley),,4,11
24,1,7:49.0,,Violation by B. Biyombo (def goaltending),4,11
25,1,7:49.0,T. Allen makes 2-pt layup from 3 ft,,6,11
