,QUARTER,TIME_REMAINING,HOUSTON_ACTION,SAN ANTONIO_ACTION,HOUSTON_SCORE,SAN ANTONIO_SCORE
0,1,11:45.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,2,0
1,1,11:30.0,,L. Aldridge misses 2-pt jump shot from 17 ft,2,0
2,1,11:29.0,Defensive rebound by C. Brewer,,2,0
3,1,11:12.0,T. Ariza misses 3-pt jump shot from 25 ft,,2,0
4,1,11:12.0,Offensive rebound by C. Capela,,2,0
5,1,10:59.0,C. Brewer misses 3-pt jump shot from 23 ft,,2,0
6,1,10:58.0,,Defensive rebound by P. Gasol,2,0
7,1,10:47.0,,Turnover by L. Aldridge (bad pass; steal by T. Ariza),2,0
8,1,10:41.0,R. Anderson makes 3-pt jump shot from 27 ft (assist by J. Harden),,5,0
9,1,10:22.0,,Shooting foul by T. Ariza (drawn by K. Leonard),5,0
10,1,10:22.0,,K. Leonard makes free throw 1 of 2,5,1
11,1,10:22.0,,K. Leonard makes free throw 2 of 2,5,2
12,1,10:15.0,Personal foul by P. Mills,,5,2
13,1,10:07.0,Turnover by J. Harden (bad pass; steal by K. Leonard),,5,2
14,1,9:56.0,,P. Mills makes 2-pt layup from 1 ft (assist by P. Gasol),5,4
15,1,9:40.0,C. Capela makes 2-pt hook shot from 7 ft (assist by J. Harden),,7,4
16,1,9:28.0,,L. Aldridge misses 2-pt jump shot from 19 ft,7,4
17,1,9:27.0,Defensive rebound by J. Harden,,7,4
18,1,9:19.0,J. Harden makes 2-pt jump shot from 7 ft,,9,4
19,1,9:05.0,,P. Gasol makes 2-pt jump shot from 17 ft (assist by P. Mills),9,6
20,1,8:50.0,Shooting foul by D. Green (drawn by R. Anderson),,9,6
21,1,8:50.0,R. Anderson makes free throw 1 of 2,,10,6
22,1,8:50.0,R. Anderson misses free throw 2 of 2,,10,6
23,1,8:49.0,,Defensive rebound by L. Aldridge,10,6
24,1,8:32.0,,P. Mills makes 2-pt jump shot from 15 ft (assist by L. Aldridge),10,8
25,1,8:25.0,C. Brewer misses 2-pt jump shot from 7 ft,,10,8
26,1,8:24.0,,Defensive rebound by P. Gasol,10,8
27,1,8:17.0,,D. Green misses 3-pt jump shot from 25 ft,10,8
28,1,8:16.0,,Offensive rebound by L. Aldridge,10,8
29,1,8:07.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. Mills),10,11
30,1,7:47.0,Turnover by C. Brewer (traveling),,10,11
31,1,7:32.0,,K. Leonard misses 2-pt jump shot from 17 ft,10,11
32,1,7:31.0,Defensive rebound by J. Harden,,10,11
33,1,7:24.0,J. Harden makes 3-pt jump shot from 26 ft,,13,11
34,1,7:24.0,,San Antonio full timeout,13,11
35,1,7:24.0,E. Gordon enters the game for C. Brewer,,13,11
36,1,7:14.0,,L. Aldridge misses 2-pt jump shot from 18 ft,13,11
37,1,7:13.0,Defensive rebound by C. Capela,,13,11
38,1,6:54.0,Turnover by T. Ariza (bad pass; steal by P. Gasol),,13,11
39,1,6:35.0,,D. Green makes 3-pt jump shot from 23 ft (assist by P. Mills),13,14
